,Concept_ID,sv,hu
0,Auge::N,öga,szem
1,Ohr::N,öra,fül
2,Nase::N,näsa,orr
3,Mund::N,mun,száj
4,Zahn::N,tand,fog
5,Zunge::N,tunga,nyelv
6,Lippe::N,läpp,ajak
7,Wange::N,kind,orca
8,Gesicht::N,syn,arc
9,Gesicht::N,ansikte,arc
10,Stirn::N,panna,homlok
11,Haar::N,hår,haj
12,Schnurrbart::N,mustasch,bajusz
13,Bart::N,skägg,szakáll
14,Kinn::N,haka,áll
15,Kiefer[Anatomie]::N,käke,állkapocs
16,Kehle::N,strupe,gége
17,Kehle::N,strupe,torok
18,Hals::N,hals,nyak
19,Genick::N,nacke,tarkó
20,Kopf::N,huvud,fő
21,Kopf::N,huvud,fej
22,Rücken::N,rygg,hát
23,Bauch::N,buk,has
24,Bauch::N,mage,has
25,Nabel::N,navel,köldök
26,Busen::N,barm,mell
27,Busen::N,barm,kebel
28,Brust::N,bröst,mell
29,Schulter::N,skuldra,váll
30,Arm::N,arm,kar
31,Ellenbogen::N,armbåge,könyök
32,Hand::N,hand,kéz
33,Handfläche::N,handflata,tenyér
34,Finger::N,finger,ujj
35,Fingernagel::N,fingernagel,köröm
36,Nagel[Anatomie]::N,nagel,köröm
37,Zeh::N,tå,lábujj
38,Fuß::N,fot,láb
39,Ferse::N,häl,sarok
40,Knie::N,knä,térd
41,Oberschenkel::N,lår,comb
42,Bein::N,ben,láb
43,Bein::N,ben,lábszár
44,Körper::N,kropp,test
45,Haut::N,hud,bőr
46,Haut::N,skinn,bőr
47,Blut::N,blod,vér
48,Ader::N,åder,ér
49,Sehne::N,sena,ín
50,Knochen::N,ben,csont
51,Gehirn::N,hjärna,agy
52,Gehirn::N,hjärna,agyvelő
53,Herz::N,hjärta,szív
54,Magen::N,mage,gyomor
55,Leber::N,lever,máj
56,Atem::N,anda,lehelet
57,Atem::N,anda,lélegzet
58,Atem::N,andedräkt,lehelet
59,Atem::N,andedräkt,lélegzet
60,Hunger::N,svält,éhség
61,Hunger::N,hunger,éhség
62,Träne::N,tår,könny
63,Geschmack::N,smak,íz
64,Geruch::N,lukt,szag
65,Schlaf::N,sömn,álom
66,Schlaf::N,sömn,alvás
67,Traum::N,dröm,álom
68,Himmel::N,himmel,ég
69,Himmel::N,himmel,menny
70,Sonne::N,sol,nap
71,Mond::N,måne,hold
72,Stern::N,stjärna,csillag
73,Luft::N,luft,levegő
74,Wind::N,vind,szél
75,Welle::N,våg,hullám
76,Welle::N,bölja,hullám
77,Wasser::N,vatten,víz
78,Stein::N,sten,kő
79,Boden::N,mark,föld
80,Boden::N,mark,talaj
81,Erde::N,jord,föld
82,Staub::N,damm,por
83,Rauch::N,rök,füst
84,Funke::N,gnista,szikra
85,Feuer::N,eld,tűz
86,Licht::N,ljus,fény
87,Schatten::N,skugga,árnyék
88,Wetter::N,väder,idő
89,Wetter::N,väder,időjárás
90,Nebel::N,dimma,köd
91,Nebel::N,töcken,köd
92,Wolke::N,sky,felhő
93,Wolke::N,moln,felhő
94,Regen::N,regn,eső
95,Schnee::N,snö,hó
96,Eis::N,is,jég
97,Frost::N,frost,fagy
98,Kälte::N,köld,hideg
99,Hitze::N,hetta,hő
100,Hitze::N,hetta,hőség
101,Raureif::N,rimfrost,zúzmara
102,Regenbogen::N,regnbåge,szivárvány
103,Donner::N,åska,dörgés
104,Donner::N,åska,mennydörgés
105,Donner::N,dunder,dörgés
106,Donner::N,dunder,mennydörgés
107,Strömung::N,strömning,áramlat
108,Tropfen::N,dropper,csepp
109,Schaum::N,skum,hab
110,Schaum::N,skum,tajték
111,Schmutz::N,lort,piszok
112,Schmutz::N,smuts,piszok
113,See::N,sjö,tó
114,Sumpf::N,träsk,mocsár
115,Moor::N,myr,láp
116,Moor::N,mosse,láp
117,Wiese::N,äng,rét
118,Wiese::N,äng,mező
119,Wald::N,skog,erdő
120,Hügel::N,höjd,domb
121,Hügel::N,kulle,domb
122,Anhöhe::N,höjd,magaslat
123,Anhöhe::N,backe,magaslat
124,Berg::N,berg,hegy
125,Berg::N,fjäll,hegy
126,Gipfel::N,topp,csúcs
127,Höhle::N,håla,barlang
128,Höhle::N,grotta,barlang
129,Abhang::N,slänt,lejtő
130,Abhang::N,sluttning,lejtő
131,Quelle::N,källa,forrás
132,Bach::N,bäck,patak
133,Fluss::N,älv,folyó
134,Fluss::N,flod,folyó
135,Ufer::N,strand,part
136,Küste::N,kust,tengerpart
137,Festland::N,fastland,szárazföld
138,Meer::N,hav,tenger
139,Bucht::N,vik,öböl
140,Bucht::N,bukt,öböl
141,Insel::N,ö,sziget
142,Blume::N,blomma,virág
143,Blume::N,blomster,virág
144,Gras::N,gräs,fű
145,Wurzel::N,rot,gyökér
146,Baum::N,träd,fa
147,Stamm::N,stam,tő
148,Stamm::N,stam,törzs
149,Rinde::N,bark,kéreg
150,Ast::N,gren,ág
151,Zweig::N,kvist,gally
152,Blatt::N,löv,levél
153,Blatt::N,blad,levél
154,Birke::N,björk,nyír
155,Kiefer[Baum]::N,tall,fenyő
156,Weide[Baum]::N,pil,fűz
157,Weide[Baum]::N,vide,fűz
158,Tanne::N,gran,fenyő
159,Horn::N,horn,szarv
160,Feder::N,fjäder,toll
161,Fell::N,fäll,szőr
162,Fell::N,fäll,bunda
163,Fell::N,skinn,szőr
164,Fell::N,skinn,bunda
165,Flügel::N,vinge,szárny
166,Klaue::N,klöv,köröm
167,Kralle::N,klo,karom
168,Schwanz::N,svans,farok
169,Schwanz::N,stjärt,farok
170,Ei::N,ägg,tojás
171,Nest::N,rede,fészek
172,Nest::N,näste,fészek
173,Bau::N,bo,odú
174,Tier::N,djur,állat
175,Herde::N,flock,nyáj
176,Herde::N,flock,csorda
177,Kuh::N,ko,tehén
178,Bulle::N,tjur,bika
179,Pferd::N,häst,ló
180,Schaf::N,får,juh
181,Schaf::N,får,birka
182,Schwein::N,svin,sertés
183,Hund::N,hund,eb
184,Hund::N,hund,kutya
185,Katze::N,katt,macska
186,Bär::N,björn,medve
187,Eichhörnchen::N,ekorre,mókus
188,Elch::N,älg,jávorszarvas
189,Fuchs::N,räv,róka
190,Hase::N,hare,nyúl
191,Maus::N,mus,egér
192,Wolf::N,varg,farkas
193,Vogel::N,fågel,madár
194,Schwarm::N,svärm,raj
195,Huhn::N,höns,tyúk
196,Hahn::N,tupp,kakas
197,Gans::N,gås,lúd
198,Gans::N,gås,liba
199,Adler::N,örn,sas
200,Ente::N,anka,kacsa
201,Eule::N,uggla,bagoly
202,Kranich::N,trana,daru
203,Krähe::N,kråka,varjú
204,Kuckuck::N,gök,kakukk
205,Schwan::N,svan,hattyú
206,Fisch::N,fisk,hal
207,Barsch::N,abborre,sügér
208,Hecht::N,gädda,csuka
209,Schlange[Tier]::N,orm,kígyó
210,Wurm::N,mask,kukac
211,Spinne::N,spindel,pók
212,Ameise::N,myra,hangya
213,Laus::N,lus,tetű
214,Mücke::N,mygga,szúnyog
215,Fliege::N,fluga,légy
216,Schmetterling::N,fjäril,lepke
217,Schmetterling::N,fjäril,pillangó
218,Beere::N,bär,bogyó
219,Apfel::N,äpple,alma
220,Pilz::N,svamp,gomba
221,Zwiebel::N,lök,hagyma
222,Saat::N,sådd,vetőmag
223,Korn::N,korn,mag
224,Korn::N,korn,szem
225,Heu::N,hö,széna
226,Schale::N,skal,héj
227,Grube::N,grop,verem
228,Falle::N,fälla,csapda
229,Schlinge::N,snara,tőr
230,Spur::N,spår,nyom
231,Asche::N,aska,hamu
232,Dreck::N,lort,sár
233,Dreck::N,lort,piszok
234,Eisen::N,järn,vas
235,Gold::N,guld,arany
236,Silber::N,silver,ezüst
237,Kohle::N,kol,szén
238,Glas::N,glas,üveg
239,Lehm::N,lera,agyag
240,Lehm::N,lera,vályog
241,Sand::N,sand,homok
242,Mensch::N,människa,ember
243,Mann::N,man,úr
244,Mann::N,man,férfi
245,Frau::N,kvinna,nő
246,Frau::N,kvinna,asszony
247,Kind::N,barn,gyerek
248,Kind::N,barn,gyermek
249,Junge::N,pojke,fiú
250,Mädchen::N,flicka,lány
251,Familie::N,familj,család
252,Großvater::N,morfar,nagyapa
253,Großmutter::N,farmor,nagyanya
254,Eltern::N,föräldrar,szülők
255,Vater::N,far,apa
256,Vater::N,far,atya
257,Mutter::N,mor,anya
258,Sohn::N,son,fiú
259,Tochter::N,dotter,lány
260,Bruder::N,bror,fivér
261,Bruder::N,bror,testvér
