,Concept_ID,en,uk
0,Auge::N,eye,око
1,Ohr::N,ear,вухо
2,Nase::N,nose,ніс
3,Mund::N,mouth,рот
4,Zahn::N,tooth,зуб
5,Zunge::N,tongue,язик
6,Lippe::N,lip,губа
7,Wange::N,cheek,щока
8,Gesicht::N,face,обличчя
9,Stirn::N,forehead,лоб
10,Haar::N,hair,волосся
11,Schnurrbart::N,moustache,вуса
12,Bart::N,beard,борода
13,Kinn::N,chin,підборіддя
14,Kiefer[Anatomie]::N,jaw,щелепа
15,Kehle::N,throat,горло
16,Hals::N,neck,шия
17,Genick::N,nape,потилиця
18,Kopf::N,head,голова
19,Rücken::N,back,спина
20,Rücken::N,spine,спина
21,Bauch::N,belly,живіт
22,Nabel::N,navel,пупок
23,Busen::N,bosom,груди
24,Brust::N,chest,груди
25,Brust::N,breast,груди
26,Schulter::N,shoulder,плече
27,Arm::N,arm,рука
28,Ellenbogen::N,elbow,лікоть
29,Hand::N,hand,рука
30,Handfläche::N,palm,долоня
31,Finger::N,finger,палець
32,Fingernagel::N,fingernail,ніготь
33,Nagel[Anatomie]::N,nail,ніготь
34,Zeh::N,toe,палець на нозі
35,Fuß::N,foot,нога
36,Ferse::N,heel,п’ятка
37,Knie::N,knee,коліно
38,Oberschenkel::N,thigh,стегно
39,Bein::N,leg,нога
40,Körper::N,body,тіло
41,Haut::N,skin,шкіра
42,Blut::N,blood,кров
43,Ader::N,vein,вена
44,Sehne::N,sinew,сухожилля
45,Knochen::N,bone,кістка
46,Gehirn::N,brain,мозок
47,Herz::N,heart,серце
48,Magen::N,stomach,шлунок
49,Leber::N,liver,печінка
50,Atem::N,breath,дихання
51,Hunger::N,hunger,голод
52,Träne::N,tear,сльоза
53,Geschmack::N,flavour,смак
54,Geschmack::N,flavor,смак
55,Geruch::N,odour,запах
56,Geruch::N,odor,запах
57,Schlaf::N,sleep,сон
58,Schlaf::N,sleep,сплячка
59,Traum::N,dream,сон
60,Himmel::N,sky,небо
61,Sonne::N,sun,сонце
62,Mond::N,moon,місяць
63,Stern::N,star,зірка
64,Luft::N,air,повітря
65,Wind::N,wind,вітер
66,Welle::N,wave,хвиля
67,Wasser::N,water,вода
68,Stein::N,stone,камінь
69,Boden::N,soil,ґрунт
70,Boden::N,ground,ґрунт
71,Erde::N,earth,земля
72,Staub::N,dust,пил
73,Rauch::N,smoke,дим
74,Funke::N,spark,іскра
75,Feuer::N,fire,вогонь
76,Licht::N,light,світло
77,Schatten::N,shadow,тінь
78,Wetter::N,weather,погода
79,Nebel::N,fog,туман
80,Wolke::N,cloud,хмара
