,Concept_ID,ka,tr
0,Auge::N,თვალი,göz
1,Ohr::N,ყური,kulak
2,Nase::N,ცხვირი,burun
3,Mund::N,პირი,ağız
4,Zahn::N,კბილი,diş
5,Zunge::N,ენა,dil
6,Lippe::N,ბაგე,dudak
7,Wange::N,ლოყა,yanak
8,Gesicht::N,სახე,yüz
9,Stirn::N,შუბლი,alın
10,Haar::N,თმა,saç
11,Schnurrbart::N,ულვაში,bıyık
12,Bart::N,წვერი,sakal
13,Kinn::N,ნიკაპი,çene
14,Kiefer[Anatomie]::N,ყბა,çene
15,Kehle::N,ყელი,boğaz
16,Hals::N,ყელი,boyun
17,Hals::N,ყელი,gerdan
18,Hals::N,კისერი,boyun
19,Hals::N,კისერი,gerdan
20,Genick::N,კეფა,ense
21,Kopf::N,თავი,baş
22,Kopf::N,თავი,kafa
23,Rücken::N,ზურგი,arka
24,Bauch::N,მუცელი,karın
25,Nabel::N,ჭიპი,göbek
26,Busen::N,ძუძუ,koyun
27,Brust::N,მკერდი,göğüs
28,Schulter::N,მხარი,omuz
29,Schulter::N,მკლავი,omuz
30,Arm::N,ხელი,kol
31,Ellenbogen::N,იდაყვი,dirsek
32,Hand::N,ხელი,el
33,Handfläche::N,ნები,avuç
34,Handfläche::N,ნები,el ayası
35,Handfläche::N,ხელისგული,avuç
36,Handfläche::N,ხელისგული,el ayası
37,Finger::N,თითი,parmak
38,Fingernagel::N,ფრჩხილი,el tırnağı
39,Nagel[Anatomie]::N,ფრჩხილი,tırnak
40,Zeh::N,ფეხის თითი,ayak parmağı
41,Fuß::N,ტერფი,ayak
42,Fuß::N,ფეხისგული,ayak
43,Ferse::N,ქუსლი,topuk
44,Knie::N,მუხლი,diz
45,Oberschenkel::N,ბარძაყი,uyluk
46,Bein::N,ფეხი,bacak
47,Körper::N,ტანი,vücut
48,Körper::N,სხეული,vücut
49,Haut::N,კანი,cilt
50,Blut::N,სისხლი,kan
51,Ader::N,ძარღვი,damar
52,Sehne::N,მყესი,kiriş
53,Knochen::N,ძვალი,kemik
54,Gehirn::N,ტვინი,beyin
55,Herz::N,გული,kalp
56,Herz::N,გული,yürek
57,Magen::N,კუჭი,mide
58,Leber::N,ღვიძლი,karaciğer
59,Atem::N,სუნთქვა,nefes
60,Hunger::N,შიმშილი,açlık
61,Träne::N,ცრემლი,gözyaşı
62,Geschmack::N,გემო,tat
63,Geschmack::N,გემო,lezzet
64,Geruch::N,სუნი,koku
65,Schlaf::N,ძილი,uyku
66,Traum::N,სიზმარი,düş
67,Traum::N,სიზმარი,rüya
68,Himmel::N,ცა,gök
69,Sonne::N,მზე,güneş
70,Mond::N,მთვარე,ay
71,Stern::N,ვარსკვლავი,yıldız
72,Luft::N,ჰაერი,hava
73,Wind::N,ქარი,yel
74,Wind::N,ქარი,rüzgâr
75,Welle::N,ტალღა,dalga
76,Wasser::N,წყალი,su
77,Stein::N,ქვა,taş
78,Boden::N,მიწა,yer
79,Boden::N,მიწა,zemin
80,Erde::N,ნიადაგი,toprak
81,Staub::N,მტვერი,toz
82,Rauch::N,ბოლი,duman
83,Rauch::N,კვამლი,duman
84,Funke::N,ნაკვესი,kıvılcım
85,Feuer::N,ცეცხლი,ateş
86,Licht::N,შუქი,ışık
87,Licht::N,სინათლე,ışık
88,Schatten::N,ლანდი,gölge
89,Schatten::N,ჩრდილი,gölge
90,Wetter::N,ამინდი,hava
91,Nebel::N,ნისლი,pus
92,Wolke::N,ღრუბელი,bulut
93,Regen::N,წვიმა,yağmur
94,Schnee::N,თოვლი,kar
95,Eis::N,თოში,buz
96,Eis::N,ყინული,buz
97,Frost::N,ყინვა,don
98,Kälte::N,სიცივე,soğukluk
99,Hitze::N,სიცხე,sıcaklık
100,Raureif::N,ჭირხლი,kırç
101,Raureif::N,თრთვილი,kırç
102,Regenbogen::N,ცისარტყელა,gökkuşağı
103,Donner::N,ქუხილი,gök gürlemesi
104,Strömung::N,დინება,akıntı
105,Strömung::N,დინება,cereyan
106,Tropfen::N,წვეთი,damla
107,Schaum::N,ქაფი,köpük
108,Schaum::N,დორბლი,köpük
109,Schmutz::N,ჭუჭყი,çamur
110,Schmutz::N,ჭუჭყი,pislik
111,Schmutz::N,ტალახი,çamur
112,Schmutz::N,ტალახი,pislik
113,See::N,ტბა,göl
114,Sumpf::N,ჭაობი,batak
115,Moor::N,ტორფნარი,cılgıt
116,Wiese::N,ველი,çimen
117,Wiese::N,მდელო,çimen
118,Wald::N,ტყე,koru
119,Wald::N,ტყე,orman
120,Hügel::N,ბორცვი,tepe
121,Anhöhe::N,მაღლობი,tümsek
122,Anhöhe::N,მაღლობი,yükseklik
123,Berg::N,მთა,dağ
124,Gipfel::N,მწვერვალი,zirve
125,Höhle::N,მღვიმე,in
126,Höhle::N,მღვიმე,mağara
127,Höhle::N,გამოქვებული,in
128,Höhle::N,გამოქვებული,mağara
129,Abhang::N,ფერდობი,bayır
130,Quelle::N,წყარო,pınar
131,Quelle::N,წყარო,kaynak
132,Quelle::N,სათავე,pınar
133,Quelle::N,სათავე,kaynak
134,Bach::N,რუ,çay
135,Bach::N,რუ,dere
136,Bach::N,ნაკადული,çay
137,Bach::N,ნაკადული,dere
138,Fluss::N,მდინარე,nehir
139,Ufer::N,კიდე,kıyı
140,Ufer::N,კიდე,sahil
141,Ufer::N,ნაპირი,kıyı
142,Ufer::N,ნაპირი,sahil
143,Küste::N,ნაპირი,kıyı
144,Küste::N,ნაპირი,sahil
145,Festland::N,ხმელეთი,kara
146,Meer::N,ზღვა,deniz
147,Bucht::N,ყურე,koy
148,Bucht::N,ყურე,körfez
149,Insel::N,კუნძული,ada
150,Blume::N,ყვავილი,çiçek
151,Gras::N,ბალახი,ot
152,Gras::N,ბალახი,çim
153,Wurzel::N,ძირი,kök
154,Wurzel::N,ფესვი,kök
155,Baum::N,ხე,ağaç
156,Stamm::N,ტანი,gövde
157,Rinde::N,ქერქი,kabuk
158,Ast::N,ტოტი,dal
159,Ast::N,ტოტი,budak
160,Zweig::N,შტო,dal
161,Blatt::N,ფოთოლი,yaprak
162,Birke::N,არყი,huş
163,Kiefer[Baum]::N,ფიჭვი,çam
164,Weide[Baum]::N,ტირიფი,söğüt
165,Tanne::N,ნაძვი,çam
166,Tanne::N,ნაძვი,köknar
167,Horn::N,რქა,boynuz
168,Feder::N,ფრთა,tüy
169,Fell::N,ტყავი,post
170,Flügel::N,ფრთა,kanat
171,Klaue::N,კლანჭი,pençe
172,Kralle::N,ტორი,tırnak
173,Schwanz::N,კუდი,kuyruk
174,Ei::N,კვერცხი,yumurta
175,Nest::N,ბუდე,yuva
176,Bau::N,სორო,in
177,Tier::N,ნადირი,hayvan
178,Tier::N,ცხოველი,hayvan
179,Herde::N,ფარა,sürü
180,Kuh::N,ფური,inek
181,Kuh::N,ძროხა,inek
182,Bulle::N,ხარი,boğa
183,Pferd::N,რაში,at
184,Pferd::N,რაში,beygir
185,Pferd::N,ცხენი,at
186,Pferd::N,ცხენი,beygir
187,Schaf::N,ცხვარი,koyun
188,Schwein::N,ღორი,domuz
189,Hund::N,ძაღლი,it
190,Hund::N,ძაღლი,köpek
191,Katze::N,კატა,kedi
192,Bär::N,დათვი,ayı
193,Eichhörnchen::N,ციყვი,sincap
194,Elch::N,ცხენ-ირემი,büyük kuzey geyiği
195,Fuchs::N,მელა,tilki
196,Hase::N,კურდღელი,tavşan
197,Maus::N,თაგვი,fare
198,Maus::N,თაგვი,sıçan
199,Wolf::N,მგელი,kurt
200,Vogel::N,ჩიტი,kuş
201,Vogel::N,ფრინველი,kuş
202,Schwarm::N,გუნდი,sürü
203,Huhn::N,დედალი,tavuk
204,Hahn::N,მამალი,horoz
205,Gans::N,ბატი,kaz
206,Adler::N,არწივი,kartal
207,Adler::N,არწივი,karakuş
208,Ente::N,იხვი,ördek
209,Eule::N,ბუ,baykuş
210,Kranich::N,წერო,turna
211,Krähe::N,ყვავი,karga
212,Kuckuck::N,გუგული,guguk
213,Schwan::N,გედი,kuğu
214,Fisch::N,თევზი,balık
215,Barsch::N,ქორჭილა,hani
216,Barsch::N,ქორჭილა,levrek
217,Hecht::N,ქარიყლაპია,turnabalığı
218,Schlange[Tier]::N,გველი,yılan
219,Wurm::N,ჭია,kurt
220,Wurm::N,ჭია,solucan
221,Spinne::N,ობობა,örümcek
222,Ameise::N,ჭიანჭველა,karınca
223,Laus::N,ტილი,bit
224,Laus::N,მკბენარი,bit
225,Mücke::N,კოღო,sivrisinek
226,Fliege::N,ბუზი,sinek
227,Schmetterling::N,პეპელა,kelebek
228,Beere::N,კენკრა,tane
229,Apfel::N,ვაშლი,elma
230,Pilz::N,სოკო,mantar
231,Zwiebel::N,ხახვი,soğan
232,Saat::N,თესლი,ekin
233,Korn::N,მარცვალი,tane
234,Heu::N,თივა,kuru ot
235,Schale::N,ჩენჩო,kabuk
236,Grube::N,ორმო,çukur
237,Falle::N,ხაფანგი,tuzak
238,Schlinge::N,მახე,ilmik
239,Spur::N,კვალი,iz
240,Asche::N,ფერფლი,kül
241,Dreck::N,ტალახი,pislik
242,Dreck::N,სიბინძურე,pislik
243,Eisen::N,რკინა,demir
244,Gold::N,ოქრო,altın
245,Silber::N,ვერცხლი,gümüş
246,Kohle::N,ნახშირი,kömür
247,Glas::N,მინა,cam
248,Lehm::N,თიხა,balçık
249,Sand::N,ქვიშა,kum
250,Mensch::N,ადამიანი,insan
251,Mann::N,კაცი,adam
252,Mann::N,კაცი,erkek
253,Frau::N,ქალი,bayan
254,Kind::N,ბავშვი,çocuk
255,Junge::N,ვაჟი,erkek çocuk
256,Mädchen::N,გოგო,kız
257,Familie::N,ოჯახი,aile
258,Großvater::N,პაპა,dede
259,Großvater::N,პაპა,büyükbaba
260,Großvater::N,ბაბუა,dede
261,Großvater::N,ბაბუა,büyükbaba
262,Großmutter::N,ბებია,nine
263,Großmutter::N,ბებია,büyükanne
264,Großmutter::N,დიდედა,nine
265,Großmutter::N,დიდედა,büyükanne
266,Eltern::N,მშობლები,ebeveyn
267,Eltern::N,მშობლები,ana baba
268,Vater::N,მამა,ata
269,Vater::N,მამა,baba
270,Mutter::N,დედა,ana
271,Mutter::N,დედა,anne
272,Sohn::N,ვაჟიშვილი,oğul
273,Tochter::N,ქალიშვილი,kız
274,Tochter::N,ქალიშვილი,kız evlât
275,Bruder::N,ძმა,abi
276,Bruder::N,ძმა,erkek kardeş
277,Schwester::N,და,abla
278,Schwester::N,და,kız kardeş
279,Onkel::N,ბიძა,dayı
280,Tante::N,დეიდა,hala
281,Tante::N,დეიდა,teyze
282,Tante::N,მამიდა,hala
283,Tante::N,მამიდა,teyze
284,Ehemann::N,ქმარი,koca
285,Ehefrau::N,ცოლი,karı
286,Freude::N,სიხარული,neşe
287,Freude::N,სიხარული,sevinç
288,Gelächter::N,სიცილი,gülme
289,Gelächter::N,სიცილი,kahkaha
290,Glück::N,ბედნიერება,mutluluk
291,Kummer::N,მწუხარება,dert
292,Kummer::N,მწუხარება,keder
293,Wunsch::N,წადილი,arzu
294,Wunsch::N,წადილი,istek
295,Wunsch::N,სურვილი,arzu
296,Wunsch::N,სურვილი,istek
297,Lust::N,წადილი,arzu
298,Lust::N,წადილი,heves
299,Geist::N,სული,tin
300,Gedanke::N,ფიქრი,fikir
301,Gedanke::N,ფიქრი,düşünce
302,Gedächtnis::N,მეხსიერება,bellek
303,Verstand::N,ჭკუა,zekâ
304,Verstand::N,გონება,zekâ
305,Sinn::N,მნიშვნელობა,anlam
306,Grund::N,მიზეზი,sebep
307,Wahrheit::N,სიმართლე,doğruluk
308,Wahrheit::N,სიმართლე,gerçeklik
309,Wahrheit::N,ჭეშმარიტება,doğruluk
310,Wahrheit::N,ჭეშმარიტება,gerçeklik
311,Gespräch::N,ბაასი,görüşme
312,Gespräch::N,საუბარი,görüşme
313,Märchen::N,არაკი,masal
314,Märchen::N,ზღაპარი,masal
315,Erzählung::N,თქმულება,öykü
316,Erzählung::N,თქმულება,hikâye
317,Nachricht::N,ცნობა,haber
318,Nachricht::N,ამბავი,haber
319,Neuigkeit::N,სიახლე,haber
320,Name::N,სახელი,ad
321,Name::N,სახელი,isim
322,Rätsel::N,გამოცანა,bilmece
323,Rede::N,სიტყვა,söylev
324,Rede::N,სიტყვა,konuşma
