,Concept_ID,vep,fi
0,Auge::N,sil'm,silmä
1,Ohr::N,korv,korva
2,Nase::N,nena,nenä
3,Mund::N,su,suu
4,Zahn::N,pi,hammas
5,Zahn::N,hambaz,hammas
6,Zunge::N,kel',kieli
7,Lippe::N,hul',huuli
8,Wange::N,modpolišk,poski
9,Gesicht::N,mod,naama
10,Gesicht::N,mod,kasvot
11,Stirn::N,oc,otsa
12,Haar::N,tuk,hius
13,Haar::N,tuk,tukka
14,Haar::N,hibuz,hius
15,Haar::N,hibuz,tukka
16,Schnurrbart::N,habinod,viikset
17,Bart::N,bard,parta
18,Kinn::N,löug,leuka
19,Kiefer[Anatomie]::N,hambazlu,leukaluu
20,Kehle::N,kurk,kurkku
21,Hals::N,kagl,kaula
22,Genick::N,tagarai,niska
23,Kopf::N,pä,pää
24,Rücken::N,sel'g,selkä
25,Bauch::N,vac,maha
26,Bauch::N,vac,vatsa
27,Bauch::N,koht,maha
28,Bauch::N,koht,vatsa
29,Nabel::N,naba,napa
30,Busen::N,niža,rinta
31,Brust::N,rind,rinta
32,Schulter::N,oug,olka
33,Schulter::N,oug,hartia
34,Schulter::N,oug,olkapää
35,Arm::N,käzi,käsivarsi
36,Ellenbogen::N,künambruz,kyynärpää
37,Hand::N,käzi,käsi
38,Hand::N,käzitera,käsi
39,Handfläche::N,kämen,kämmen
40,Finger::N,sor'm,sormi
41,Fingernagel::N,künz',kynsi
42,Nagel[Anatomie]::N,künz',kynsi
43,Zeh::N,barbaz,varvas
44,Fuß::N,jaug,jalka
45,Ferse::N,kand,kantapää
46,Knie::N,komb,polvi
47,Knie::N,pol'v,polvi
48,Oberschenkel::N,riiže,reisi
49,Bein::N,jaug,jalka
50,Körper::N,hibj,keho
51,Körper::N,hibj,ruumis
52,Haut::N,nahk,iho
53,Blut::N,čak,veri
54,Blut::N,veri,veri
55,Ader::N,son',suoni
56,Sehne::N,jände,jänne
57,Knochen::N,lu,luu
58,Gehirn::N,aivod,aivot
59,Herz::N,südäin,sydän
60,Magen::N,südäikoht,maha
61,Magen::N,südäikoht,vatsa
62,Leber::N,maks,maksa
63,Atem::N,hengaiduz,henki
64,Atem::N,hengaiduz,hengitys
65,Hunger::N,näl'g,nälkä
