,Concept_ID,mdf,no
0,Auge::N,сельме,øye
1,Ohr::N,пиле,øre
2,Nase::N,шалхка,nese
3,Mund::N,курга,munn
4,Zahn::N,пей,tann
5,Zunge::N,кяль,tunge
6,Lippe::N,търва́,leppe
7,Wange::N,щёка,kinn
8,Gesicht::N,шама,fjes
9,Gesicht::N,шама,ansikt
10,Stirn::N,коня,panne
11,Haar::N,шя́ярь,hår
12,Schnurrbart::N,уса́,bart
13,Bart::N,сакал,skjegg
14,Kinn::N,ула,hake
15,Kiefer[Anatomie]::N,саласка,kjeve
16,Kehle::N,кълдома,strupe
17,Kehle::N,кърга́парь,strupe
18,Hals::N,сялдаз,hals
19,Genick::N,шовонь,nakke
20,Kopf::N,пря,hode
21,Rücken::N,копорь,rygg
22,Bauch::N,пеке,buk
23,Bauch::N,пеке,mage
24,Nabel::N,по́кон,navle
25,Busen::N,потя,barm
26,Brust::N,мяште,bryst
27,Schulter::N,лафту,skulder
28,Arm::N,кядь,arm
29,Ellenbogen::N,кенерьба́карь,albue
30,Hand::N,кядь,hånd
31,Handfläche::N,кядьлапш,håndflate
32,Finger::N,сур,finger
33,Fingernagel::N,кенже,fingernegl
34,Nagel[Anatomie]::N,кенже,negl
35,Zeh::N,пильгосу́р,tå
36,Fuß::N,пильге,fot
37,Fuß::N,пильгелапа,fot
38,Ferse::N,кочкяря,hæl
39,Knie::N,эль,kne
40,Knie::N,пълма́нжа,kne
41,Oberschenkel::N,пильгепукша,lår
42,Bein::N,пильге,bein
43,Körper::N,ро́нга,kropp
44,Körper::N,ро́нга,legeme
45,Körper::N,по́нда,kropp
46,Körper::N,по́нда,legeme
47,Haut::N,киське,hud
48,Haut::N,киське,skinn
49,Blut::N,вер,blod
50,Ader::N,сан,åre
51,Ader::N,верза́н,åre
52,Sehne::N,коське сан,sene
53,Knochen::N,пакарь,bein
54,Knochen::N,пакарь,knokkel
55,Gehirn::N,уй,hjerne
56,Herz::N,седи,hjerte
57,Magen::N,коткърдазь,mage
58,Leber::N,макса,lever
59,Atem::N,лекома,pust
60,Atem::N,ваймонь тарксема,pust
61,Hunger::N,вачеши,sult
62,Träne::N,сельмове́дь,tåre
63,Geschmack::N,таньф,smak
64,Geruch::N,шине,lukt
65,Schlaf::N,удома́,søvn
66,Traum::N,он,drøm
67,Himmel::N,менель,himmel
68,Sonne::N,ши,sol
69,Mond::N,ков,måne
70,Stern::N,тяште,stjerne
71,Luft::N,кожф,luft
72,Wind::N,варма,vind
73,Welle::N,тавла,bølge
74,Wasser::N,ведь,vann
75,Stein::N,кев,stein
76,Boden::N,мода,bakke
77,Boden::N,потмакс,bakke
78,Erde::N,мода,jord
79,Erde::N,мастор,jord
80,Staub::N,пуль,støv
81,Rauch::N,качам,røyk
82,Funke::N,ця́тка,gnist
83,Feuer::N,тол,ild
84,Licht::N,ва́лда,lys
85,Schatten::N,цильф,skygge
86,Wetter::N,уша,vær
87,Nebel::N,тума́н,tåke
88,Wolke::N,ковол,sky
89,Regen::N,пизем,regn
90,Schnee::N,лов,snø
91,Eis::N,эй,is
92,Frost::N,ке́льме,frost
93,Kälte::N,якшама,kulde
94,Hitze::N,пси,hete
95,Raureif::N,леш,rimfrost
96,Regenbogen::N,а́тямъёнга,regnbue
97,Donner::N,атям,torden
98,Strömung::N,шудема́,strømning
99,Tropfen::N,путькс,dråpe
100,Tropfen::N,пътняфкс,dråpe
101,Schaum::N,шов,skum
102,Schmutz::N,ърда́з,søl
103,Schmutz::N,ърда́з,skitt
104,See::N,эрьхке,sjø
105,Sumpf::N,шяй,sump
106,Sumpf::N,шяй,myrlende
107,Moor::N,шяй,myr
108,Moor::N,шяй,myrhei
109,Wiese::N,луга,eng
110,Wald::N,вирь,skog
111,Hügel::N,губо́р,haug
112,Hügel::N,губо́р,bakke
113,Hügel::N,пандоня,haug
114,Hügel::N,пандоня,bakke
115,Anhöhe::N,губо́р,haug
116,Anhöhe::N,губо́р,bakke
117,Berg::N,панда,berg
118,Berg::N,панда,fjell
119,Gipfel::N,пря,topp
120,Höhle::N,у́нда,hule
121,Abhang::N,па́нда ша́ма,li
122,Abhang::N,па́нда ша́ма,skråning
123,Quelle::N,эшиня,kilde
124,Bach::N,шудерькс,bekk
125,Fluss::N,ляй,elv
126,Ufer::N,търва́,bredd
127,Küste::N,ляйтърва́,kyst
128,Festland::N,мода,fastland
129,Meer::N,моря,hav
130,Bucht::N,ведьуське,bukt
131,Insel::N,цёнга,øy
132,Blume::N,панчф,blomst
133,Gras::N,тише,gress
134,Wurzel::N,юр,rot
135,Wurzel::N,ункс,rot
136,Baum::N,шуфта,tre
137,Stamm::N,ро́нга,stamme
138,Rinde::N,кер,bark
139,Ast::N,морга,gren
140,Zweig::N,тарад,kvist
141,Blatt::N,лопа,blad
142,Birke::N,ке́лу,bjørk
143,Kiefer[Baum]::N,пиче,furu
144,Weide[Baum]::N,каль,selje
145,Weide[Baum]::N,каль,piletre
146,Tanne::N,куз,gran
147,Horn::N,сюра,horn
148,Feder::N,толга,fjær
149,Fell::N,кедь,skinn
150,Flügel::N,паця,vinge
151,Klaue::N,кенже,klauv
152,Kralle::N,кенже,klo
153,Schwanz::N,пула,hale
154,Ei::N,ал,egg
155,Nest::N,пиза,rede
156,Bau::N,пиза,hi
157,Tier::N,жува́та,dyr
158,Herde::N,нал,flokk
159,Herde::N,стада,flokk
160,Kuh::N,скал,ku
161,Kuh::N,тракс,ku
162,Bulle::N,бука,tyr
163,Pferd::N,лишме,hest
164,Schaf::N,уча́,får
165,Schwein::N,тува,gris
166,Hund::N,пине,hund
167,Katze::N,катоня,katt
168,Katze::N,аваката,katt
169,Bär::N,офта,bjørn
170,Eichhörnchen::N,ур,ekorn
171,Elch::N,ся́рда,elg
172,Fuchs::N,келазь,rev
173,Hase::N,ну́мол,hare
174,Maus::N,шеер,mus
175,Wolf::N,върьгаз,ulv
176,Wolf::N,върьгаз,varg
177,Vogel::N,нармонь,fugl
178,Schwarm::N,ко́вол,sverm
179,Schwarm::N,ме́швеле,sverm
180,Huhn::N,сараз,høne
181,Hahn::N,а́тякш,hane
182,Gans::N,маци,gås
183,Adler::N,куцькан,ørn
184,Ente::N,яксярга,and
185,Eule::N,ко́рож,ugle
186,Kranich::N,ка́рга,trane
187,Krähe::N,ва́рси,kråke
188,Kuckuck::N,ку́ку,gjøk
189,Schwan::N,ло́ксти,svane
190,Fisch::N,кал,fisk
191,Barsch::N,о́кунь,abbor
192,Hecht::N,щу́ка,gjedde
193,Schlange[Tier]::N,куй,orm
194,Schlange[Tier]::N,куй,slange
195,Wurm::N,сукс,orm
196,Wurm::N,сукс,mark
197,Spinne::N,унжа́,edderkopp
198,Ameise::N,панжам,maur
199,Laus::N,си,lus
200,Mücke::N,ся́ське,mygg
201,Fliege::N,кару,flue
202,Schmetterling::N,ме́лав,sommerfugl
203,Beere::N,и́мож,bær
204,Apfel::N,марь,eple
205,Pilz::N,панга,sopp
206,Zwiebel::N,шурьхкя́,løk
207,Saat::N,видьмот,sæd
208,Korn::N,сёра,korn
209,Heu::N,тише,høy
210,Schale::N,кедь,skall
211,Grube::N,лотка,grop
212,Falle::N,туфкс,felle
213,Falle::N,кунда́ма,felle
214,Schlinge::N,килькш,snare
215,Spur::N,пильгоки́,spor
216,Asche::N,кулу,aske
217,Dreck::N,ърда́з,møkk
218,Dreck::N,ърда́з,skitt
219,Eisen::N,кшни,jern
220,Gold::N,ока,gull
221,Gold::N,золота,gull
222,Silber::N,сия́,sølv
223,Kohle::N,седь,kol
224,Kohle::N,седь,kull
225,Kohle::N,седьвальмя,kol
226,Kohle::N,седьвальмя,kull
227,Glas::N,кля́нцек,glass
228,Lehm::N,сёвонь,leire
229,Sand::N,шува́р,sand
230,Mensch::N,ломань,menneske
231,Mann::N,аля,mann
232,Mann::N,цёраломань,mann
233,Frau::N,ава,kvinne
234,Kind::N,идь,barn
235,Kind::N,шаба,barn
236,Junge::N,цёраня,gutt
237,Mädchen::N,стирня́,pike
238,Mädchen::N,стирня́,jente
239,Familie::N,тнал,familie
240,Familie::N,семья,familie
241,Großvater::N,атя,bestefar
242,Großvater::N,щя́тя,bestefar
243,Großmutter::N,баба,bestemor
244,Eltern::N,тя́дят-а́лят,foreldre
245,Vater::N,аля,far
246,Mutter::N,ава,mor
247,Mutter::N,тядя,mor
248,Sohn::N,цёра,sønn
249,Tochter::N,стирь,datter
250,Bruder::N,дуган,bror
251,Bruder::N,пяльне,bror
252,Schwester::N,ака,søster
253,Schwester::N,сазор,søster
254,Onkel::N,оця,onkel
255,Onkel::N,патя,onkel
256,Onkel::N,щеня́,onkel
257,Tante::N,ака,tante
258,Tante::N,щака,tante
259,Ehemann::N,мирде,ektemann
260,Ehefrau::N,ърьвя́,hustru
261,Freude::N,ке́нярдема,glede
262,Gelächter::N,рахсема,latter
263,Glück::N,паваз,lykke
264,Kummer::N,ризф,sorg
265,Kummer::N,пичефкс,sorg
266,Wunsch::N,мяль,ønske
267,Wunsch::N,таколдома,ønske
268,Lust::N,таколдома,lyst
269,Geist::N,вайме,ånd
270,Gedanke::N,мяль,tanke
271,Gedächtnis::N,прявий,minne
272,Gedächtnis::N,прявий,hukommelse
273,Verstand::N,прявий,forstand
274,Sinn::N,ён,mening
275,Sinn::N,ён,betydning
276,Grund::N,туфта́л,grunn
277,Wahrheit::N,ви́де,sannhet
278,Wahrheit::N,видеши́,sannhet
279,Gespräch::N,корхтама,samtale
280,Märchen::N,ёфкс,eventyr
281,Erzählung::N,азкс,fortelling
282,Nachricht::N,куля́,melding
283,Neuigkeit::N,куля́,nyhet
284,Name::N,лем,navn
285,Rätsel::N,со́дама ёфкс,gåte
286,Rede::N,вал,tale
287,Rede::N,корхтама,tale
288,Sprache::N,кяль,språk
289,Stimme::N,вайгяль,stemme
290,Wort::N,вал,ord
291,Zeichen::N,тя́ште,tegn
292,Zeichen::N,тя́штькс,tegn
293,Ruf::N,тердема,rop
294,Lärm::N,гайф,bråk
295,Lärm::N,жалакодома,bråk
296,Laut::N,вайгяль,lyd
297,Ton::N,вайгяль,tone
298,Lied::N,мора,vise
299,Ruhe::N,сетьме,ro
300,Leute::N,ломатть,folk
301,Volk::N,наро́д,folk
302,Arbeit::N,тев,arbeid
303,Gast::N,и́нжи,gjest
304,Gast::N,ко́нак,gjest
305,Geschenk::N,казне,gave
306,Spiel::N,налхкома,lek
307,Spiel::N,налхкома,spill
308,Spiel::N,налхксема,lek
309,Spiel::N,налхксема,spill
310,Gesellschaft::N,кружок,selskap
311,Hilfe::N,лездома,hjelp
312,Freund::N,я́лга,venn
313,Kamerad::N,я́лга,kamerat
314,Angelegenheit::N,тев,sak
315,Angelegenheit::N,тев,anliggende
316,Anzahl::N,лувкс,antall
317,Art::N,вид,art
318,Art::N,вид,slag
319,Stück::N,пакш,stykke
320,Teil::N,часть,del
321,Teil::N,пялькс,del
322,Hälfte::N,пяле,halvdel
323,Kreis::N,шаркс,ring
324,Kreis::N,шаркс,sirkel
325,Kreuz::N,крёз,kors
326,Kreuz::N,крёз,kryss
327,Linie::N,межа,linje
328,Linie::N,китькс,linje
329,Strich::N,межа,strek
330,Abstand::N,ётка,avstand
331,Entfernung::N,ётка,avstand
332,Gegend::N,ва́ста,strøk
333,Gegend::N,перьфпя́ль,strøk
334,Platz::N,ва́ста,plass
335,Ort::N,ва́ста,sted
336,Seite::N,пяле,side
337,Mitte::N,кучка́,midte
338,Gegenstand::N,веща,gjenstand
339,Sache::N,тев,sak
340,Sache::N,веща,sak
341,Rand::N,пе,rand
342,Kante::N,и́рдез,kant
343,Ecke::N,ужа,hjørne
344,Spitze::N,пря,spiss
345,Ende::N,пе,ende
346,Loch::N,варя,hull
347,Winkel::N,ужа,vinkel
348,Muster::N,сёрма,mønster
349,Größe::N,серь,størrelse
350,Länge::N,кува́лма,lengde
351,Höhe::N,серь,høyde
352,Gewicht::N,сталма,vekt
353,Menge::N,лувкс,mengde
354,Haufen::N,мар,haug
355,Haufen::N,мар,bunke
356,Reihe::N,ряд,rekke
357,Boot::N,венеж,båt
358,Ruder::N,миле,åre
359,Schlitten::N,ну́рда,slede
360,Schlitten::N,ну́рда,kjelke
361,Ski::N,сокс,ski
362,Lagerfeuer::N,то́лмар,leirbål
363,Last::N,канкс,bør
364,Last::N,канкс,last
365,Last::N,сталма,bør
366,Last::N,сталма,last
367,Gang::N,молема,gang
368,Schritt::N,аськолкс,steg
369,Schritt::N,аськолкс,skritt
370,Norden::N,якшама шире,nord
371,Süden::N,ля́мбе ши́ре,sør
372,Westen::N,ши валгома шире,vest
373,Osten::N,шинь стяма шире,øst
374,Holz::N,вирь,tre
375,Holz::N,шуфта,tre
376,Brett::N,лавця,fjøl
377,Brett::N,лавця,brett
378,Platte::N,плита́,plate
379,Stütze::N,неже,støtte
380,Stange::N,олга,stang
381,Stock::N,байдек,pinne
382,Stab::N,олгоня,stav
383,Stab::N,олгоня,kjepp
384,Rohr::N,турама,rør
385,Haus::N,куд,hus
386,Heim::N,куд,hjem
387,Ofen::N,пянакуд,ovn
388,Fußboden::N,кия́кс,gulv
389,Tisch::N,шра,bord
390,Tisch::N,моркш,bord
391,Stuhl::N,стул,stol
392,Wiege::N,нюря́м,vogge
393,Bett::N,ацам,seng
394,Regal::N,лавцяланга,reol
395,Regal::N,лавцяланга,hylle
396,Kiste::N,парга,kasse
397,Fenster::N,валмья,vindu
398,Tür::N,кенкш,dør
399,Tor::N,ортат,port
400,Zaun::N,перяфкс,gjerde
401,Dach::N,кудпря,tak
402,Leiter::N,куцема,stige
403,Besen::N,тяльме,kost
404,Spaten::N,ка́йме,spade
405,Schaufel::N,ко́поня,skuffe
406,Schaufel::N,ця́рдом,skuffe
407,Gabel::N,ця́нгоня,gaffel
408,Löffel::N,куцю,skje
409,Messer::N,пеель,kniv
410,Nagel::N,эска,spiker
411,Haken::N,кя́чказ,krok
412,Griff::N,недь,tak
413,Griff::N,недь,håndtak
414,Griff::N,кунда́мка,tak
415,Griff::N,кунда́мка,håndtak
416,Schloss::N,замо́к,lås
417,Bild::N,карти́на,bilde
418,Figur::N,ронга-понда,figur
419,Puppe::N,ня́ка,dukke
420,Beutel::N,кяскав,pose
421,Bündel::N,кярьме,bylt
422,Tasche::N,кошяльня,veske
423,Eimer::N,ве́дарка,bøtte
424,Deckel::N,тавадкс,lokk
425,Deckel::N,вельхкс,lokk
426,Geschirr::N,кядьге,kjøkkentøy
427,Sack::N,кяскав,sekk
428,Tasse::N,ша́ваня,kopp
429,Topf::N,кавозь,gryte
430,Kessel::N,сргавозь,kjele
431,Essen::N,ярхцама,mål
432,Nahrung::N,ярхцампяль,mat
433,Nahrung::N,ярхцампяль,næring
434,Speise::N,ярхцама,matrett
435,Fleisch::N,пал,kjøtt
436,Fleisch::N,сиволь,kjøtt
437,Getreide::N,сёра,korn
438,Brei::N,ям,grøt
439,Brot::N,кши,brød
440,Scheibe::N,кочам,skive
441,Fett::N,куя́,fett
442,Butter::N,вай,smør
443,Öl::N,вай,olje
444,Salz::N,сал,salt
445,Suppe::N,шонгарям,suppe
446,Suppe::N,коршампяль,suppe
447,Honig::N,медь,honning
448,Milch::N,лофца,melk
449,Tee::N,чай,te
450,Leder::N,кедь,lær
451,Leder::N,кедь,skinn
452,Wolle::N,пона,ull
453,Stoff::N,котф,tøy
454,Stoff::N,котф,stoff
455,Nadel::N,салмокс,nål
456,Faden::N,сюре,tråd
457,Knopf::N,пуня,knapp
458,Knoten::N,сюлма,knute
459,Farbe::N,архтомбяль,farge
460,Kleidung::N,щам,påkledning
461,Hemd::N,па́нар,skjorte
462,Kragen::N,сиве,krage
463,Ärmel::N,ожа,erme
464,Hose::N,понкст,bukse
465,Gürtel::N,каркс,belte
466,Mütze::N,вазь,lue
467,Schuh::N,башма́к,sko
468,Stiefel::N,кя́ме,støvel
469,Ring::N,суркс,ring
470,Band::N,керькс,band
471,Band::N,лента,band
472,Kamm::N,сюрьхцем,kam
473,Spiegel::N,ванома,speil
474,Riemen::N,шнань каркс,rem
475,Schnur::N,пикс,snor
476,Schnur::N,карькскя,snor
477,Leine::N,вядьме,line
478,Decke::N,вельхкс,teppe
479,Kissen::N,тоду,pute
480,Tuch::N,руця́,tøy
481,Handtuch::N,на́рдама,håndkle
482,Kraft::N,вий,kraft
483,Stärke::N,вииши,styrke
484,Gesundheit::N,шумбраши́,helse
485,Gesundheit::N,шумбраши́,sunnhet
486,Krankheit::N,урма́,syke
487,Krankheit::N,урма́,sykdom
488,Krankheit::N,сярядема,syke
489,Krankheit::N,сярядема,sykdom
490,Schmerz::N,маряма,smerte
491,Wunde::N,керф,sår
492,Fieber::N,маштыкс,feber
493,Arznei::N,надо́бья,medisin
494,Arznei::N,надо́бья,legemiddel
495,Arznei::N,пъчка́фтома,medisin
496,Arznei::N,пъчка́фтома,legemiddel
497,Brücke::N,седь,bro
498,Brunnen::N,эши,brønn
499,Weide::N,ванома васта,beite
500,Pfad::N,ян,sti
501,Pfad::N,киня́,sti
502,Weg::N,ки,vei
503,Straße::N,ки,gate
504,Dorf::N,веле,landsby
505,Stadt::N,ош,by
506,Brief::N,сёрма,brev
507,Buch::N,книга,bok
508,Buchstabe::N,бу́ква,bokstav
509,Zeitung::N,газе́та,avis
510,Leben::N,эряф,liv
511,Leben::N,эряма,liv
512,Tod::N,кулома́,død
513,Grab::N,калма,grav
514,Kirche::N,це́рькав,kirke
515,Sünde::N,пежеть,synd
516,Sünde::N,муворкс,synd
517,Gott::N,шкай,gud
518,Arbeiter::N,трудендай,arbeider
519,Arbeiter::N,работник,arbeider
520,Chef::N,азор,sjef
521,Chef::N,оцюня,sjef
522,Meister::N,мастяр,mester
523,Arzt::N,врач,lege
524,Arzt::N,доктор,lege
525,Lehrer::N,учи́тель,lærer
526,Geld::N,ярмакт,penger
527,Geschäft::N,ладяфкс,forretning
528,Geschäft::N,ладяф тев,forretning
529,Laden::N,ла́вка,butikk
530,Preis::N,питне,pris
531,Ware::N,миф,vare
532,Ware::N,ра́маф,vare
533,Nutzen::N,пара,nytte
534,Nutzen::N,лезкс,nytte
535,Reichtum::N,ко́зяши,rikdom
536,Welt::N,свет,verden
537,Land::N,мастор,land
538,Staat::N,государства,stat
539,König::N,король,konge
540,Macht::N,азорондама,makt
541,Macht::N,азорксши,makt
542,Grenze::N,ёткаян,grense
543,Krieg::N,война́,krig
544,Feind::N,душман,fiende
545,Feind::N,каршек тюри,fiende
546,Gewalt::N,наругама,vold
547,Kampf::N,тюрема́,kamp
548,Bogen[Waffe]::N,нал,bue
549,Pfeil::N,нал,pil
550,Gewehr::N,винто́вка,gevær
551,Fehler::N,эльбядькс,feil
552,Lüge::N,васькафнема,løgn
553,Schaden::N,зия́н,skade
554,Unglück::N,зия́н,uhell
555,Schuld::N,муворши,skyld
556,Alter::N,эряф кизот,alder
557,Alter::N,эряфонь пинге,alder
558,Schluss::N,пе,slutt
559,Zeit::N,пинге,tid
560,Tag::N,ши,dag
561,Morgen::N,шобдава,morgen
562,Mittag::N,шикучка,middag
563,Abend::N,иля́дь,aften
564,Nacht::N,ве,natt
565,Woche::N,недя́ля,uke
566,Monat::N,ков,måned
567,Jahr::N,киза,år
568,Frühling::N,тунда́,vår
569,Sommer::N,киза,sommer
570,Herbst::N,сёксе,høst
571,Winter::N,тяла,vinter
572,Januar::N,кельмеков,januar
573,Februar::N,уфайков,februar
574,März::N,марайков,mars
575,April::N,шудиков,april
576,Mai::N,панжиков,mai
577,Juni::N,лямбеков,juni
578,Juli::N,псиков,juli
579,August::N,сёроньков,august
580,September::N,тюжягов,september
581,Oktober::N,кельмазаков,oktober
582,November::N,эйндамков,november
583,Dezember::N,кучкаков,desember
584,Montag::N,одговши,mandag
585,Dienstag::N,ша́вши,tirsdag
586,Mittwoch::N,вержи,onsdag
587,Donnerstag::N,шува́ланя,torsdag
588,Freitag::N,пя́денця,fredag
589,Samstag::N,ёткши,lørdag
590,Sonntag::N,таргоши,søndag
591,groß::A,оцю,stor
592,klein::A,ёмла,liten
593,lang::A,кува́ка,lang
594,kurz::A,нюрьхкя́ня,kort
595,breit::A,кели,bred
596,schmal::A,тяйня,smal
597,dicht::A,сиде,tett
598,dicht::A,туста,tett
599,dick[Gegenstand]::A,эчке,tykk
600,dünn::A,шува́ня,tynn
601,fein::A,шува́ня,fin
602,fest::A,кеме,fast
603,flach::A,лапш,flat
604,glatt::A,вадяв,glatt
605,glatt::A,такор,glatt
606,hart::A,калгода,hard
607,weich::A,ляпе,myk
608,weich::A,ляпе,bløt
609,rund::A,кру́глай,rund
610,spitz::A,ботаз,spiss
611,spitz::A,оржа,spiss
612,scharf::A,оржа,kvass
613,stumpf::A,ношка,stubb
614,schwer::A,стака,tung
615,schön::A,мазы,pen
616,schön::A,мазы,vakker
617,heiß::A,пси,het
618,warm::A,лямбе,varm
619,kalt::A,кельме,kald
620,kühl::A,эше,kjølig
621,frisch::A,свежай,fersk
622,feucht::A,летьке,fuktig
623,nass::A,начка,våt
624,trocken::A,коське,tørr
625,voll::A,пяшксе,full
626,leer::A,шава,tom
627,offen::A,панжада,åpen
628,offen::A,виде,åpen
629,geschlossen::A,пякстаф,lukket
630,geschlossen::A,сёлгф,lukket
631,sauber::A,ару,ren
632,schmutzig::A,рда́зу,skitten
633,schmutzig::A,пя́ндра,skitten
634,roh::A,верок,rå
635,reif::A,ке́нерьф,moden
636,lecker::A,танцти,lekker
637,süß::A,ламбама,søt
638,bitter::A,сяпи,besk
639,bitter::A,сяпи,bitter
640,sauer::A,шапама,sur
641,hell::A,валда,lys
642,dunkel::A,шобда,mørk
643,schwarz::A,равжа,svart
644,weiß::A,акша,hvit
645,rot::A,якстерь,rød
646,gelb::A,тюжя́,gul
647,blau::A,сенем,blå
648,grün::A,пиже,grønn
649,grün::A,сянгяря,grønn
650,grau::A,уле,grå
651,bunt::A,сёрмав,broket
652,billig::A,у́цез,billig
653,billig::A,аф пи́тни,billig
654,teuer::A,пи́тни,dyr
655,wertvoll::A,питни,verdifull
656,blind::A,сокор,blind
657,taub::A,пярав,døv
658,kräftig::A,пяк вии,kraftig
659,stark::A,вии,sterk
660,schwach::A,лафча,svak
661,fett::A,куя́,fet
662,schlank::A,виде ронга,slank
663,hübsch::A,мазы,pen
664,böse::A,кяжи,slem
665,dumm::A,аф ёню,dum
666,dumm::A,шава пря,dum
667,faul::A,нола,lat
668,faul::A,нола,doven
669,fleißig::A,ку́лхцонды,flittig
670,geizig::A,кирьжя,gjerrig
671,geizig::A,жаднай,gjerrig
672,klug::A,ёню,klok
673,klug::A,пря́ви,klok
674,geschickt::A,маштозь тиф,hendig
675,geschickt::A,маштозь тиф,skikket
676,lieb::A,цебярь,kjær
677,lieb::A,цебярь,snill
678,lustig::A,ра́хси,morsom
679,sanft::A,сетьме,blid
680,hungrig::A,вача,sulten
681,hungrig::A,вачеда,sulten
682,krank::A,сяряди,syk
683,nackt::A,штада,naken
684,nackt::A,кърхтапа,naken
685,traurig::A,ла́жнай,sørgmodig
686,lebendig::A,эряй,levende
687,gut::A,пара,god
688,gut::A,цебярь,god
689,schlecht::A,кальдяв,dårlig
690,richtig::A,виде,riktig
691,schlimm::A,кальдяв,slem
692,wahr::A,афкуксонь,sann
693,alt::A,ташта,gammel
694,neu::A,од,ny
695,ehemalig::A,и́нгольдень,forhenværende
696,alt[Lebewesen]::A,сире,gammel
697,jung::A,од,ung
698,arm::A,а́шу,fattig
699,reich::A,козя,rik
700,bekannt::A,содаф,kjent
701,berühmt::A,содавикс,berømt
702,fremd::A,лия,fremmed
703,fremd::A,аф содаф,fremmed
704,verschieden::A,аф фкя ла́цонь,forskjellig
705,nah::A,мала,nær
706,nah::A,аф ичкоздень,nær
707,fern::A,и́чкоздень,fjern
708,fern::A,куна́рдонь,fjern
709,linker::A,кержи,venstre
710,rechter::A,види,høyre
711,anderer::A,лия,annen
712,erster::A,васенце,første
713,zweiter::A,омбоце,annen
714,dritter::A,колмоце,tredje
715,letzter::A,ме́кольце,sist
716,allein::ADV,ськамонза,alene
717,auf einmal::ADV,вихцок,med ett
718,zusammen::ADV,марс,sammen
719,zusammen::ADV,ма́рса,sammen
720,lange::ADV,кува́тьс,lenge
721,plötzlich::ADV,а́пак учт,plutselig
722,sofort::ADV,тяникиге,straks
723,später::ADV,ме́ле,senere
724,jetzt::ADV,тяни,nå
725,heute::ADV,тячи,i dag
726,morgen::ADV,ва́нды,i morgen
727,bald::ADV,курок,snart
728,dann::ADV,меле,så
729,dann::ADV,сяда меле,så
