,Concept_ID,pt,nl
0,Auge::N,olho,oog
1,Ohr::N,orelha,oor
2,Nase::N,nariz,neus
3,Mund::N,boca,mond
4,Zahn::N,dente,tand
5,Zunge::N,língua,tong
6,Lippe::N,lábio,lip
7,Wange::N,face,wang
8,Gesicht::N,cara,gelaat
9,Gesicht::N,cara,gezicht
10,Gesicht::N,rosto,gelaat
11,Gesicht::N,rosto,gezicht
12,Stirn::N,testa,voorhoofd
13,Haar::N,cabelo,haar
14,Schnurrbart::N,bigode,snor
15,Bart::N,barba,baard
16,Kinn::N,queixo,kin
17,Kiefer[Anatomie]::N,maxila,kaak
18,Kiefer[Anatomie]::N,mandíbula,kaak
19,Kehle::N,garganta,keel
20,Kehle::N,garganta,strot
21,Hals::N,colo,hals
22,Hals::N,pescoço,hals
23,Genick::N,nuca,nek
24,Kopf::N,cabeça,hoofd
25,Rücken::N,dorso,rug
26,Rücken::N,costas,rug
27,Bauch::N,ventre,buik
28,Bauch::N,barriga,buik
29,Nabel::N,umbigo,navel
30,Busen::N,seio,boezem
31,Brust::N,peito,borst
32,Schulter::N,ombro,schouder
33,Arm::N,braço,arm
34,Ellenbogen::N,cotovelo,elleboog
35,Hand::N,mão,hand
36,Handfläche::N,palma,handpalm
37,Handfläche::N,palma da mão,handpalm
38,Finger::N,dedo,vinger
39,Fingernagel::N,unha,nagel
40,Nagel[Anatomie]::N,unha,nagel
41,Zeh::N,dedo do pé,teen
42,Fuß::N,pé,voet
43,Ferse::N,calcanhar,hak
44,Ferse::N,calcanhar,hiel
45,Knie::N,joelho,knie
46,Oberschenkel::N,coxa,dij
47,Bein::N,perna,been
48,Körper::N,corpo,lichaam
49,Haut::N,pele,huid
50,Blut::N,sangue,bloed
51,Ader::N,veia,ader
52,Sehne::N,tendão,pees
53,Knochen::N,osso,bot
54,Knochen::N,osso,been
55,Knochen::N,osso,knook
56,Gehirn::N,cérebro,hersenen
57,Herz::N,coração,hart
58,Magen::N,estômago,maag
59,Leber::N,fígado,lever
60,Atem::N,fôlego,adem
61,Hunger::N,fome,honger
