,Concept_ID,it,lv
0,Auge::N,occhio,син
1,Auge::N,occhio,acs
2,Ohr::N,orecchio,пель
3,Ohr::N,orecchio,auss
4,Nase::N,naso,ныр
5,Nase::N,naso,deguns
6,Mund::N,bocca,вом
7,Mund::N,bocca,mute
8,Zahn::N,dente,пинь
9,Zahn::N,dente,zobs
10,Zunge::N,lingua,кыв
11,Zunge::N,lingua,mēle
12,Lippe::N,labbro,вом дор
13,Lippe::N,labbro,lūpa
14,Wange::N,guancia,бан
15,Wange::N,guancia,vaigs
16,Gesicht::N,viso,чужӧм
17,Gesicht::N,viso,seja
18,Gesicht::N,viso,ģīmis
19,Gesicht::N,faccia,чужӧм
20,Gesicht::N,faccia,seja
21,Gesicht::N,faccia,ģīmis
22,Stirn::N,fronte,плеш
23,Stirn::N,fronte,кымӧс
24,Stirn::N,fronte,piere
25,Haar::N,capello,си
26,Haar::N,capello,юрси
27,Haar::N,capello,mats
28,Schnurrbart::N,baffi,ус
29,Schnurrbart::N,baffi,пыртсим
30,Schnurrbart::N,baffi,ūsas
31,Schnurrbart::N,mustacchi,ус
32,Schnurrbart::N,mustacchi,пыртсим
33,Schnurrbart::N,mustacchi,ūsas
34,Bart::N,barba,тош
35,Bart::N,barba,bārda
36,Kinn::N,mento,тшӧка
37,Kinn::N,mento,zods
38,Kinn::N,mento,smakrs
39,Kiefer[Anatomie]::N,mascella,черлы
40,Kiefer[Anatomie]::N,mascella,алака лы
41,Kiefer[Anatomie]::N,mascella,вомкӧтш лы
42,Kiefer[Anatomie]::N,mascella,žoklis
43,Kehle::N,gola,голя
44,Kehle::N,gola,rīkle
45,Hals::N,collo,сьылі
46,Hals::N,collo,kakls
47,Genick::N,nuca,юрбӧр
48,Genick::N,nuca,балябӧж
49,Genick::N,nuca,sprands
50,Kopf::N,capo,юр
51,Kopf::N,capo,galva
52,Kopf::N,testa,юр
53,Kopf::N,testa,galva
54,Rücken::N,dorso,мыш
55,Rücken::N,dorso,mugura
56,Rücken::N,schiena,мыш
57,Rücken::N,schiena,mugura
58,Bauch::N,ventre,рушку
59,Bauch::N,ventre,vēders
60,Nabel::N,ombelico,гӧг
61,Nabel::N,ombelico,naba
62,Busen::N,seno,морӧс
63,Busen::N,seno,krūts
64,Brust::N,petto,морӧс
65,Brust::N,petto,krūts
66,Schulter::N,spalla,пельпом
67,Schulter::N,spalla,plecs
68,Arm::N,braccio,ки
69,Arm::N,braccio,roka
70,Arm::N,braccio,delms
71,Ellenbogen::N,gomito,гырддза
72,Ellenbogen::N,gomito,elkonis
73,Hand::N,mano,ки
74,Hand::N,mano,roka
75,Hand::N,mano,plauksta
76,Handfläche::N,palma,ки пыдӧс
77,Handfläche::N,palma,delna
78,Handfläche::N,palma,plauksta
79,Finger::N,dito,чунь
80,Finger::N,dito,pirksts
81,Fingernagel::N,unghia,гыж
82,Fingernagel::N,unghia,nags
83,Nagel[Anatomie]::N,unghia,гыж
84,Nagel[Anatomie]::N,unghia,nags
85,Zeh::N,dito del piede,кок чунь
86,Zeh::N,dito del piede,pirksts
87,Fuß::N,piede,кок
88,Fuß::N,piede,kāja
89,Ferse::N,tallone,кокбӧр
90,Ferse::N,tallone,papēdis
91,Ferse::N,calcagno,кокбӧр
92,Ferse::N,calcagno,papēdis
93,Knie::N,ginocchio,пидзӧс
94,Knie::N,ginocchio,celis
95,Oberschenkel::N,fèmore,лядьвей
96,Oberschenkel::N,fèmore,бек
97,Oberschenkel::N,fèmore,ciska
98,Oberschenkel::N,fèmore,augšstilbs
99,Bein::N,gamba,кок
100,Bein::N,gamba,kāja
101,Körper::N,corpo,туша
102,Körper::N,corpo,вывтыр
103,Körper::N,corpo,miesa
104,Körper::N,corpo,ķermenis
105,Haut::N,pelle,ку
106,Haut::N,pelle,āda
107,Blut::N,sangue,вир
108,Blut::N,sangue,asins
109,Ader::N,vena,сӧн
110,Ader::N,vena,asinsvads
111,Sehne::N,tèndine,вез
112,Sehne::N,tèndine,dzīsla
113,Knochen::N,osso,лы
114,Knochen::N,osso,kauls
115,Gehirn::N,cervello,вем
116,Gehirn::N,cervello,smadzenes
117,Herz::N,cuore,сьӧлӧм
118,Herz::N,cuore,sirds
119,Magen::N,stòmaco,кынӧм
120,Magen::N,stòmaco,kuņģis
121,Leber::N,fegato,мус
122,Leber::N,fegato,aknas
123,Atem::N,fiato,лов
124,Atem::N,fiato,elpa
125,Atem::N,respiro,лов
126,Atem::N,respiro,elpa
127,Hunger::N,fame,тшыг
128,Hunger::N,fame,bads
129,Hunger::N,fame,izsalkums
130,Träne::N,làcrima,синва
131,Träne::N,làcrima,asara
132,Geschmack::N,gusto,кӧр
133,Geschmack::N,gusto,чӧсмӧс
134,Geschmack::N,gusto,garša
135,Geschmack::N,sapore,кӧр
136,Geschmack::N,sapore,чӧсмӧс
137,Geschmack::N,sapore,garša
138,Geruch::N,odore,зын
139,Geruch::N,odore,дук
140,Geruch::N,odore,smaka
141,Schlaf::N,sonno,узьӧм
142,Schlaf::N,sonno,miegs
143,Traum::N,sogno,вӧт
144,Traum::N,sogno,вӧтасьӧм
145,Traum::N,sogno,sapnis
146,Himmel::N,cielo,енэж
147,Himmel::N,cielo,debess
148,Sonne::N,sole,шонді
149,Sonne::N,sole,saule
150,Mond::N,luna,тӧлысь
151,Mond::N,luna,mēness
152,Stern::N,stella,кодзув
153,Stern::N,stella,zvaigzne
154,Luft::N,aria,сынӧд
155,Luft::N,aria,gaiss
156,Wind::N,vento,тӧв
157,Wind::N,vento,vējš
158,Welle::N,onda,гы
159,Welle::N,onda,vilnis
160,Wasser::N,acqua,ва
161,Wasser::N,acqua,ūdens
162,Stein::N,sasso,из
163,Stein::N,sasso,akmens
164,Stein::N,pietra,из
165,Stein::N,pietra,akmens
166,Boden::N,suolo,му
167,Boden::N,suolo,augsne
168,Boden::N,terreno,му
169,Boden::N,terreno,augsne
170,Erde::N,terra,му
171,Erde::N,terra,му-ва
172,Erde::N,terra,zeme
173,Staub::N,polvere,бус
174,Staub::N,polvere,putekļi
175,Rauch::N,fumo,тшын
176,Rauch::N,fumo,dūmi
177,Funke::N,scintilla,кинь
