,Concept_ID,be,nl
0,Auge::N,вока,oog
1,Ohr::N,вуха,oor
2,Nase::N,нос,neus
3,Mund::N,рот,mond
4,Zahn::N,зуб,tand
5,Zunge::N,язык,tong
6,Lippe::N,губа,lip
7,Wange::N,шчака,wang
8,Gesicht::N,твар,gelaat
9,Gesicht::N,твар,gezicht
10,Stirn::N,лоб,voorhoofd
11,Haar::N,волас,haar
12,Haar::N,валасы,haar
13,Schnurrbart::N,вус,snor
14,Schnurrbart::N,вусы,snor
15,Bart::N,барада,baard
16,Kinn::N,падбародак,kin
17,Kiefer[Anatomie]::N,сківіца,kaak
18,Kehle::N,горла,keel
19,Kehle::N,горла,strot
20,Hals::N,шыя,hals
21,Genick::N,патыліца,nek
22,Kopf::N,галава,hoofd
23,Rücken::N,спіна,rug
24,Bauch::N,жывот,buik
25,Nabel::N,пупок,navel
26,Busen::N,грудзі,boezem
27,Brust::N,грудзі,borst
28,Schulter::N,плячо,schouder
29,Arm::N,рука,arm
30,Ellenbogen::N,локаць,elleboog
31,Hand::N,кісць,hand
32,Handfläche::N,далонь,handpalm
33,Finger::N,палец,vinger
34,Fingernagel::N,ногаць,nagel
35,Nagel[Anatomie]::N,ногаць,nagel
36,Zeh::N,палец,teen
37,Fuß::N,нага,voet
38,Ferse::N,пята,hak
39,Ferse::N,пята,hiel
40,Ferse::N,пятка,hak
41,Ferse::N,пятка,hiel
42,Knie::N,калена,knie
43,Oberschenkel::N,бядро,dij
44,Oberschenkel::N,сцягно,dij
45,Bein::N,нага,been
46,Körper::N,цела,lichaam
47,Haut::N,скура,huid
48,Blut::N,кроў,bloed
49,Ader::N,вена,ader
50,Ader::N,сасуд,ader
51,Sehne::N,жыла,pees
52,Sehne::N,цеціва,pees
53,Sehne::N,сухажылле,pees
54,Knochen::N,косць,bot
55,Knochen::N,косць,been
56,Knochen::N,косць,knook
57,Gehirn::N,мозг,hersenen
58,Herz::N,сэрца,hart
59,Magen::N,страўнік,maag
60,Leber::N,печань,lever
61,Atem::N,дыханне,adem
62,Hunger::N,голад,honger
63,Träne::N,сляза,traan
64,Geschmack::N,смак,smaak
65,Geruch::N,пах,geur
66,Schlaf::N,сон,slaap
67,Traum::N,сон,droom
68,Himmel::N,неба,hemel
69,Sonne::N,сонца,zon
70,Mond::N,месяц,maan
71,Stern::N,зорка,ster
72,Luft::N,паветра,lucht
73,Wind::N,вецер,wind
74,Welle::N,хваля,golf
75,Wasser::N,вада,water
76,Stein::N,камень,steen
77,Boden::N,глеба,grond
78,Erde::N,зямля,aarde
79,Staub::N,пыл,stof
80,Rauch::N,дым,rook
81,Funke::N,іскра,vonk
82,Feuer::N,агонь,vuur
83,Licht::N,святло,licht
84,Schatten::N,цень,schaduw
85,Wetter::N,пагода,weer
86,Wetter::N,надворʼе,weer
87,Nebel::N,туман,mist
88,Nebel::N,туман,nevel
89,Wolke::N,воблака,wolk
90,Regen::N,дождж,regen
91,Schnee::N,снег,sneeuw
92,Eis::N,лёд,ijs
93,Frost::N,мароз,vorst
94,Kälte::N,холад,kou
95,Kälte::N,холад,koude
96,Hitze::N,спёка,hitte
97,Raureif::N,іней,rijp
98,Regenbogen::N,вясёлка,regenboog
99,Donner::N,гром,donder
100,Strömung::N,цячэнне,stroming
101,Tropfen::N,кропля,druppel
102,Schaum::N,пена,schuim
103,Schmutz::N,гразь,vuil
104,See::N,возера,meer
105,Sumpf::N,багна,moeras
106,Moor::N,балота,veen
107,Wiese::N,луг,wei
108,Wiese::N,луг,weide
109,Wald::N,лес,bos
110,Hügel::N,узгорак,heuvel
111,Anhöhe::N,узвышша,hoogte
112,Berg::N,гара,berg
113,Gipfel::N,вяршыня,top
114,Höhle::N,пячора,hol
115,Abhang::N,схіл,helling
116,Quelle::N,крыніца,bron
117,Bach::N,ручай,beek
118,Fluss::N,рака,stroom
119,Ufer::N,бераг,wal
120,Ufer::N,бераг,oever
121,Küste::N,узбярэжжа,kust
122,Festland::N,суша,vasteland
123,Meer::N,мора,zee
124,Bucht::N,бухта,baai
125,Bucht::N,бухта,inham
126,Insel::N,востраў,eiland
127,Blume::N,кветка,bloem
128,Gras::N,трава,gras
129,Wurzel::N,корань,wortel
130,Baum::N,дрэва,boom
131,Stamm::N,ствол,stam
132,Rinde::N,кара,schors
133,Ast::N,сук,tak
134,Zweig::N,галіна,twijg
135,Blatt::N,ліст,blad
136,Birke::N,бяроза,berk
137,Kiefer[Baum]::N,хвоя,den
138,Kiefer[Baum]::N,сасна,den
139,Weide[Baum]::N,вярба,wilg
140,Tanne::N,яліна,spar
141,Horn::N,рог,hoorn
142,Feder::N,пяро,veer
143,Feder::N,пяро,pluim
144,Fell::N,шкура,vel
145,Flügel::N,крыло,vleugel
146,Klaue::N,кіпцюр,klauw
147,Kralle::N,лапа,klauw
148,Schwanz::N,хвост,staart
149,Ei::N,яйка,ei
150,Nest::N,гняздо,nest
151,Bau::N,нара,hol
152,Tier::N,жывёла,dier
153,Herde::N,статак,kudde
154,Kuh::N,карова,koe
155,Bulle::N,бык,stier
156,Pferd::N,конь,paard
157,Schaf::N,авечка,schaap
158,Schwein::N,свіння,varken
159,Hund::N,сабака,hond
160,Katze::N,кошка,kat
161,Bär::N,мядзведзь,beer
162,Eichhörnchen::N,вавёрка,eekhoorntje
163,Elch::N,лось,eland
164,Fuchs::N,ліса,vos
165,Hase::N,заяц,haas
166,Maus::N,мыш,muis
167,Wolf::N,воўк,wolf
168,Vogel::N,птах,vogel
169,Vogel::N,птушка,vogel
170,Schwarm::N,чарада,zwerm
171,Huhn::N,курыца,kip
172,Huhn::N,курыца,hoen
173,Hahn::N,певень,haan
174,Gans::N,гусь,gans
175,Adler::N,арол,arend
176,Ente::N,качка,eend
177,Eule::N,сава,uil
178,Kranich::N,жораў,kraanvogel
179,Kranich::N,журавель,kraanvogel
180,Krähe::N,варона,kraai
181,Kuckuck::N,зязюля,koekoek
182,Schwan::N,лебедзь,zwaan
183,Fisch::N,рыба,vis
184,Barsch::N,акунь,baars
185,Hecht::N,шчупак,snoek
186,Schlange[Tier]::N,змяя,slang
187,Wurm::N,чарвяк,worm
188,Spinne::N,павук,spin
189,Ameise::N,мурашка,mier
190,Laus::N,вош,luis
191,Mücke::N,камар,mug
192,Fliege::N,муха,vlieg
193,Schmetterling::N,матыль,vlinder
194,Beere::N,ягада,bes
195,Apfel::N,яблык,appel
196,Pilz::N,грыб,paddestoel
197,Zwiebel::N,цыбуля,ui
198,Saat::N,семя,zaad
199,Korn::N,зерне,graan
200,Korn::N,зерне,korrel
201,Heu::N,сена,hooi
202,Schale::N,шалупінне,schil
203,Grube::N,яма,kuil
204,Falle::N,пастка,val
205,Schlinge::N,сіло,strop
206,Spur::N,след,spoor
207,Asche::N,попел,as
208,Dreck::N,бруд,drek
209,Eisen::N,жалеза,ijzer
210,Gold::N,золата,goud
211,Silber::N,сребра,zilver
212,Kohle::N,вугаль,kool
213,Glas::N,шкло,glas
214,Lehm::N,гліна,klei
215,Sand::N,пясок,zand
216,Mensch::N,чалавек,mens
217,Mann::N,мужчына,man
