,Concept_ID,nl,uk
0,Auge::N,oog,око
1,Ohr::N,oor,вухо
2,Nase::N,neus,ніс
3,Mund::N,mond,рот
4,Zahn::N,tand,зуб
5,Zunge::N,tong,язик
6,Lippe::N,lip,губа
7,Wange::N,wang,щока
8,Gesicht::N,gelaat,обличчя
9,Gesicht::N,gezicht,обличчя
10,Stirn::N,voorhoofd,лоб
11,Haar::N,haar,волосся
12,Schnurrbart::N,snor,вуса
13,Bart::N,baard,борода
14,Kinn::N,kin,підборіддя
15,Kiefer[Anatomie]::N,kaak,щелепа
16,Kehle::N,keel,горло
17,Kehle::N,strot,горло
18,Hals::N,hals,шия
19,Genick::N,nek,потилиця
20,Kopf::N,hoofd,голова
21,Rücken::N,rug,спина
22,Bauch::N,buik,живіт
23,Nabel::N,navel,пупок
24,Busen::N,boezem,груди
25,Brust::N,borst,груди
26,Schulter::N,schouder,плече
27,Arm::N,arm,рука
28,Ellenbogen::N,elleboog,лікоть
29,Hand::N,hand,рука
30,Handfläche::N,handpalm,долоня
31,Finger::N,vinger,палець
32,Fingernagel::N,nagel,ніготь
33,Nagel[Anatomie]::N,nagel,ніготь
34,Zeh::N,teen,палець на нозі
35,Fuß::N,voet,нога
36,Ferse::N,hak,п’ятка
37,Ferse::N,hiel,п’ятка
38,Knie::N,knie,коліно
39,Oberschenkel::N,dij,стегно
40,Bein::N,been,нога
41,Körper::N,lichaam,тіло
42,Haut::N,huid,шкіра
43,Blut::N,bloed,кров
44,Ader::N,ader,вена
45,Sehne::N,pees,сухожилля
46,Knochen::N,bot,кістка
47,Knochen::N,been,кістка
48,Knochen::N,knook,кістка
49,Gehirn::N,hersenen,мозок
50,Herz::N,hart,серце
51,Magen::N,maag,шлунок
52,Leber::N,lever,печінка
53,Atem::N,adem,дихання
54,Hunger::N,honger,голод
55,Träne::N,traan,сльоза
56,Geschmack::N,smaak,смак
57,Geruch::N,geur,запах
58,Schlaf::N,slaap,сон
59,Schlaf::N,slaap,сплячка
60,Traum::N,droom,сон
61,Himmel::N,hemel,небо
62,Sonne::N,zon,сонце
63,Mond::N,maan,місяць
64,Stern::N,ster,зірка
65,Luft::N,lucht,повітря
66,Wind::N,wind,вітер
67,Welle::N,golf,хвиля
68,Wasser::N,water,вода
69,Stein::N,steen,камінь
70,Boden::N,grond,ґрунт
71,Erde::N,aarde,земля
72,Staub::N,stof,пил
73,Rauch::N,rook,дим
74,Funke::N,vonk,іскра
75,Feuer::N,vuur,вогонь
76,Licht::N,licht,світло
77,Schatten::N,schaduw,тінь
78,Wetter::N,weer,погода
79,Nebel::N,mist,туман
80,Nebel::N,nevel,туман
81,Wolke::N,wolk,хмара
82,Regen::N,regen,дощ
83,Schnee::N,sneeuw,сніг
84,Eis::N,ijs,лід
85,Frost::N,vorst,мороз
86,Kälte::N,kou,холод
87,Kälte::N,koude,холод
88,Hitze::N,hitte,жар
89,Raureif::N,rijp,іній
90,Regenbogen::N,regenboog,райдуга
91,Donner::N,donder,грім
92,Strömung::N,stroming,струмина
93,Tropfen::N,druppel,крапля
94,Schaum::N,schuim,піна
95,Schmutz::N,vuil,бруд
96,See::N,meer,озеро
97,Sumpf::N,moeras,драговина
98,Moor::N,veen,болото
99,Wiese::N,wei,луг
100,Wiese::N,wei,лука
101,Wiese::N,weide,луг
102,Wiese::N,weide,лука
103,Wald::N,bos,ліс
104,Hügel::N,heuvel,горб
105,Anhöhe::N,hoogte,височина
106,Berg::N,berg,гора
107,Gipfel::N,top,вершина
108,Höhle::N,hol,печера
109,Abhang::N,helling,схил
110,Quelle::N,bron,джерело
111,Bach::N,beek,струмок
112,Fluss::N,stroom,річка
113,Ufer::N,wal,берег
114,Ufer::N,oever,берег
115,Küste::N,kust,узбережжя
116,Festland::N,vasteland,суша
117,Meer::N,zee,море
118,Bucht::N,baai,бухта
119,Bucht::N,baai,затока
120,Bucht::N,inham,бухта
121,Bucht::N,inham,затока
122,Insel::N,eiland,острів
123,Blume::N,bloem,квітка
124,Gras::N,gras,трава
125,Wurzel::N,wortel,корінь
126,Baum::N,boom,дерево
127,Stamm::N,stam,стовбур
128,Rinde::N,schors,кора
129,Ast::N,tak,гілка
130,Zweig::N,twijg,галузь
131,Blatt::N,blad,лист
132,Birke::N,berk,береза
133,Kiefer[Baum]::N,den,сосна
134,Weide[Baum]::N,wilg,верба
135,Tanne::N,spar,ялиця
136,Horn::N,hoorn,ріг
137,Feder::N,veer,перо
138,Feder::N,pluim,перо
139,Fell::N,vel,хутро
140,Flügel::N,vleugel,крило
141,Klaue::N,klauw,кіготь
142,Kralle::N,klauw,лапа
143,Schwanz::N,staart,хвіст
144,Ei::N,ei,яйце
145,Nest::N,nest,гніздо
146,Bau::N,hol,лігво
147,Tier::N,dier,тварина
148,Herde::N,kudde,стадо
149,Kuh::N,koe,корова
150,Bulle::N,stier,бик
151,Bulle::N,stier,бугай
152,Pferd::N,paard,кінь
153,Schaf::N,schaap,вівця
154,Schwein::N,varken,свиня
155,Hund::N,hond,собака
156,Katze::N,kat,кішка
157,Bär::N,beer,ведмідь
158,Eichhörnchen::N,eekhoorntje,білка
159,Elch::N,eland,лось
160,Fuchs::N,vos,лисиця
161,Hase::N,haas,заєць
162,Maus::N,muis,миша
163,Wolf::N,wolf,вовк
164,Vogel::N,vogel,птах
165,Schwarm::N,zwerm,зграя
166,Huhn::N,kip,курка
167,Huhn::N,hoen,курка
168,Hahn::N,haan,півень
169,Gans::N,gans,гуска
170,Adler::N,arend,орел
171,Ente::N,eend,качка
172,Eule::N,uil,сова
173,Kranich::N,kraanvogel,журавель
174,Krähe::N,kraai,ворона
175,Kuckuck::N,koekoek,зозуля
176,Schwan::N,zwaan,лебідь
177,Fisch::N,vis,риба
178,Barsch::N,baars,окунь
179,Hecht::N,snoek,щука
180,Schlange[Tier]::N,slang,змія
181,Wurm::N,worm,черв’як
182,Spinne::N,spin,павук
183,Ameise::N,mier,мурашка
184,Laus::N,luis,воша
185,Mücke::N,mug,комар
186,Fliege::N,vlieg,муха
187,Schmetterling::N,vlinder,метелик
188,Beere::N,bes,ягода
189,Apfel::N,appel,яблуко
190,Pilz::N,paddestoel,гриб
191,Zwiebel::N,ui,цибуля
192,Saat::N,zaad,сім’я
193,Korn::N,graan,зерно
194,Korn::N,korrel,зерно
195,Heu::N,hooi,сіно
196,Schale::N,schil,шкірка
197,Grube::N,kuil,яма
198,Falle::N,val,пастка
199,Schlinge::N,strop,петля
200,Spur::N,spoor,слід
201,Asche::N,as,зола
202,Asche::N,as,попіл
203,Dreck::N,drek,бруд
204,Eisen::N,ijzer,залізо
205,Gold::N,goud,золото
206,Silber::N,zilver,срібло
207,Kohle::N,kool,вугілля
208,Glas::N,glas,скло
209,Lehm::N,klei,глина
210,Sand::N,zand,пісок
211,Mensch::N,mens,людина
212,Mann::N,man,чоловік
213,Frau::N,vrouw,жінка
214,Kind::N,kind,дитина
215,Junge::N,jongen,хлопець
216,Mädchen::N,meisje,дівчина
217,Familie::N,gezin,сім’я
218,Familie::N,gezin,родина
219,Familie::N,familie,сім’я
220,Familie::N,familie,родина
221,Großvater::N,grootvader,дідусь
222,Großmutter::N,grootmoeder,бабуся
223,Eltern::N,ouders,батьки
224,Vater::N,vader,батько
225,Mutter::N,moeder,мати
226,Sohn::N,zoon,син
227,Tochter::N,dochter,дочка
228,Bruder::N,broer,брат
229,Bruder::N,broeder,брат
230,Schwester::N,zus,сестра
231,Schwester::N,zuster,сестра
232,Onkel::N,oom,дядько
233,Tante::N,tante,тітка
234,Ehemann::N,echtgenoot,чоловік
235,Ehefrau::N,echtgenote,жінка
236,Ehefrau::N,echtgenote,дружина
237,Freude::N,vreugde,радощі
238,Gelächter::N,gelach,сміх
239,Glück::N,geluk,щастя
240,Kummer::N,verdriet,горе
241,Wunsch::N,wens,бажання
242,Wunsch::N,verlangen,бажання
243,Lust::N,zin,бажання
244,Lust::N,lust,бажання
245,Geist::N,geest,дух
246,Gedanke::N,gedachte,думка
247,Gedächtnis::N,geheugen,пам’ять
248,Verstand::N,verstand,розум
249,Sinn::N,betekenis,зміст
250,Sinn::N,betekenis,значення
251,Grund::N,reden,причина
252,Wahrheit::N,waarheid,правда
253,Gespräch::N,gesprek,розмова
254,Märchen::N,sprookje,байка
255,Erzählung::N,verhaal,повість
256,Erzählung::N,verhaal,оповідання
257,Nachricht::N,tijding,повідомлення
258,Neuigkeit::N,nieuws,новина
259,Neuigkeit::N,nieuwtje,новина
260,Name::N,naam,ім’я
261,Rätsel::N,raadsel,загадка
262,Rede::N,rede,промова
263,Sprache::N,taal,мова
264,Stimme::N,stem,голос
265,Wort::N,woord,слово
266,Zeichen::N,teken,знак
267,Ruf::N,roep,оклик
268,Lärm::N,lawaai,шум
269,Laut::N,klank,звук
270,Laut::N,geluid,звук
271,Ton::N,toon,тон
272,Ton::N,klank,тон
273,Lied::N,lied,пісня
274,Ruhe::N,rust,спокій
275,Ruhe::N,stilte,спокій
276,Leute::N,lui,люди
277,Leute::N,mensen,люди
278,Volk::N,volk,народ
279,Arbeit::N,werk,робота
