,Concept_ID,mn,no
0,Auge::N,нүд,øye
1,Ohr::N,чих,øre
2,Nase::N,хамар,nese
3,Mund::N,ам,munn
4,Zahn::N,шүд,tann
5,Zunge::N,хэл,tunge
6,Lippe::N,уруул,leppe
7,Wange::N,хацар,kinn
8,Gesicht::N,царай,fjes
9,Gesicht::N,царай,ansikt
10,Gesicht::N,нүүр,fjes
11,Gesicht::N,нүүр,ansikt
12,Stirn::N,дух,panne
13,Haar::N,үс,hår
14,Schnurrbart::N,дээд сахал,bart
15,Schnurrbart::N,живэр сахал,bart
16,Bart::N,сахал,skjegg
17,Kinn::N,эрүү,hake
18,Kiefer[Anatomie]::N,эрүү,kjeve
19,Kehle::N,хоолой,strupe
20,Hals::N,хүзүү,hals
21,Genick::N,шил,nakke
22,Genick::N,хүзүү,nakke
23,Kopf::N,толгой,hode
24,Rücken::N,ар,rygg
25,Rücken::N,нуруу,rygg
26,Bauch::N,хэвлий,buk
27,Bauch::N,хэвлий,mage
28,Bauch::N,гэдэс,buk
29,Bauch::N,гэдэс,mage
30,Nabel::N,хүйс,navle
31,Busen::N,хөх,barm
32,Brust::N,цээж,bryst
33,Schulter::N,мөр,skulder
34,Schulter::N,бугалга,skulder
35,Arm::N,гар,arm
36,Ellenbogen::N,тохой,albue
37,Hand::N,гар,hånd
38,Hand::N,алга,hånd
39,Handfläche::N,алга,håndflate
40,Finger::N,хуруу,finger
41,Fingernagel::N,хурууны хумс,fingernegl
42,Nagel[Anatomie]::N,хумс,negl
43,Zeh::N,хуруу,tå
44,Fuß::N,хөл,fot
45,Ferse::N,өсгий,hæl
46,Knie::N,өвдөг,kne
47,Oberschenkel::N,гуя,lår
48,Bein::N,хөл,bein
49,Körper::N,бие,kropp
50,Körper::N,бие,legeme
51,Haut::N,арьс,hud
52,Haut::N,арьс,skinn
53,Blut::N,цус,blod
54,Ader::N,судас,åre
55,Sehne::N,бүлх,sene
56,Sehne::N,шандас,sene
57,Knochen::N,яс,bein
58,Knochen::N,яс,knokkel
59,Gehirn::N,тархи,hjerne
60,Herz::N,зүрх,hjerte
61,Magen::N,ходоод,mage
62,Leber::N,элэг,lever
63,Atem::N,амьсгаа,pust
64,Hunger::N,өлсгөлөн,sult
65,Träne::N,нулимс,tåre
66,Geschmack::N,амт,smak
67,Geruch::N,үнэр,lukt
68,Schlaf::N,нойр,søvn
69,Traum::N,зүүд,drøm
70,Himmel::N,тэнгэр,himmel
71,Himmel::N,огторгуй,himmel
72,Sonne::N,нар,sol
73,Mond::N,сар,måne
74,Stern::N,од,stjerne
75,Luft::N,агаар,luft
76,Wind::N,салхи,vind
77,Welle::N,долгио,bølge
78,Welle::N,давалгаа,bølge
79,Wasser::N,ус,vann
80,Stein::N,чулуу,stein
81,Boden::N,хөрс,bakke
82,Erde::N,газар,jord
83,Erde::N,шороо,jord
84,Staub::N,тоос,støv
85,Rauch::N,утаа,røyk
86,Funke::N,оч,gnist
87,Feuer::N,гал,ild
88,Licht::N,гэрэл,lys
89,Licht::N,гэгээ,lys
90,Schatten::N,сүүдэр,skygge
