,Concept_ID,myv,no
0,Auge::N,сельме,øye
1,Ohr::N,пиле,øre
2,Nase::N,судо,nese
3,Mund::N,курго,munn
4,Zahn::N,пей,tann
5,Zunge::N,кель,tunge
6,Lippe::N,турва,leppe
7,Wange::N,чамабока,kinn
8,Wange::N,чамаумарь,kinn
9,Gesicht::N,чама,fjes
10,Gesicht::N,чама,ansikt
11,Stirn::N,коня,panne
12,Haar::N,черь,hår
13,Schnurrbart::N,ус,bart
14,Schnurrbart::N,муюк,bart
15,Bart::N,сакал,skjegg
16,Kinn::N,уло,hake
17,Kiefer[Anatomie]::N,пейпакар,kjeve
18,Kiefer[Anatomie]::N,пейловажа,kjeve
19,Kehle::N,кирьгапарь,strupe
20,Hals::N,кирьга,hals
21,Genick::N,човонь,nakke
22,Kopf::N,пря,hode
23,Rücken::N,копорь,rygg
24,Bauch::N,пеке,buk
25,Bauch::N,пеке,mage
26,Nabel::N,почо,navle
27,Busen::N,поте,barm
28,Brust::N,меште,bryst
29,Schulter::N,лавтов,skulder
30,Arm::N,кедь,arm
31,Ellenbogen::N,кенерепакарь,albue
32,Hand::N,кедь,hånd
33,Handfläche::N,кедькуншка,håndflate
34,Handfläche::N,кедьлапушка,håndflate
35,Finger::N,сур,finger
36,Fingernagel::N,кенже,fingernegl
37,Nagel[Anatomie]::N,кенже,negl
38,Zeh::N,пильге сур,tå
39,Fuß::N,пильге,fot
40,Ferse::N,кочкаря,hæl
41,Knie::N,эле,kne
42,Knie::N,эзне,kne
43,Knie::N,кумажа,kne
44,Oberschenkel::N,качо,lår
45,Bein::N,пильге,bein
46,Körper::N,рунго,kropp
47,Körper::N,рунго,legeme
48,Haut::N,киське,hud
49,Haut::N,киське,skinn
50,Blut::N,верь,blod
51,Ader::N,сан,åre
52,Sehne::N,коське сан,sene
53,Knochen::N,пакарь,bein
54,Knochen::N,пакарь,knokkel
55,Gehirn::N,удем,hjerne
56,Herz::N,седей,hjerte
57,Magen::N,пеке,mage
58,Leber::N,максо,lever
59,Atem::N,лексема,pust
60,Atem::N,оймень таргсема,pust
61,Hunger::N,вачочи,sult
62,Träne::N,селведь,tåre
63,Geschmack::N,тансть,smak
64,Geruch::N,чине,lukt
65,Schlaf::N,удома,søvn
66,Traum::N,он,drøm
67,Himmel::N,менель,himmel
68,Sonne::N,чи,sol
69,Mond::N,ков,måne
70,Stern::N,теште,stjerne
71,Luft::N,кошт,luft
72,Wind::N,варма,vind
73,Welle::N,толкун,bølge
74,Wasser::N,ведь,vann
75,Stein::N,кев,stein
76,Boden::N,мода,bakke
77,Erde::N,мастор,jord
78,Staub::N,пуль,støv
79,Rauch::N,качамо,røyk
80,Funke::N,сятко,gnist
81,Feuer::N,тол,ild
82,Licht::N,валдо,lys
83,Schatten::N,сулей,skygge
84,Schatten::N,сулейкс,skygge
85,Wetter::N,ушо,vær
86,Nebel::N,сув,tåke
87,Wolke::N,пель,sky
88,Regen::N,пиземс,regn
89,Schnee::N,лов,snø
90,Eis::N,эй,is
91,Frost::N,кельме,frost
92,Kälte::N,якшамо,kulde
93,Hitze::N,пси,hete
94,Raureif::N,лекш,rimfrost
95,Regenbogen::N,пурьгинечирьке,regnbue
96,Regenbogen::N,пурьгинеёнкс,regnbue
97,Donner::N,пурьгине,torden
98,Strömung::N,чудема,strømning
99,Strömung::N,чудевкс,strømning
100,Tropfen::N,петнявкс,dråpe
101,Schaum::N,чов,skum
102,Schmutz::N,рудаз,søl
103,Schmutz::N,рудаз,skitt
104,See::N,эрьке,sjø
105,Sumpf::N,чей,sump
106,Sumpf::N,чей,myrlende
107,Moor::N,чей,myr
108,Moor::N,чей,myrhei
109,Wiese::N,луга,eng
110,Wald::N,вирь,skog
111,Hügel::N,губорь,haug
112,Hügel::N,губорь,bakke
113,Hügel::N,пандыне,haug
114,Hügel::N,пандыне,bakke
115,Anhöhe::N,губорь,haug
116,Anhöhe::N,губорь,bakke
117,Anhöhe::N,пандыне,haug
118,Anhöhe::N,пандыне,bakke
119,Berg::N,пандо,berg
120,Berg::N,пандо,fjell
121,Gipfel::N,пря,topp
122,Höhle::N,пещера,hule
123,Abhang::N,пандочама,li
124,Abhang::N,пандочама,skråning
125,Quelle::N,ушодкс,kilde
126,Bach::N,чудикерькс,bekk
127,Fluss::N,лей,elv
128,Ufer::N,чире,bredd
129,Küste::N,лейчире,kyst
130,Festland::N,мода,fastland
131,Meer::N,моря,hav
132,Bucht::N,усия,bukt
133,Insel::N,усия,øy
134,Blume::N,цеця,blomst
135,Gras::N,тикше,gress
136,Wurzel::N,юр,rot
137,Wurzel::N,ундокс,rot
138,Baum::N,чувто,tre
139,Stamm::N,рунго,stamme
140,Rinde::N,суд,bark
141,Rinde::N,керь,bark
142,Ast::N,морго,gren
143,Zweig::N,тарад,kvist
144,Blatt::N,лопа,blad
145,Birke::N,килей,bjørk
146,Kiefer[Baum]::N,пиче,furu
147,Weide[Baum]::N,каль,selje
148,Weide[Baum]::N,каль,piletre
149,Tanne::N,куз,gran
150,Horn::N,сюро,horn
151,Feder::N,толга,fjær
152,Fell::N,пона,skinn
153,Flügel::N,сёлмо,vinge
154,Klaue::N,кенже,klauv
155,Kralle::N,кенже,klo
156,Schwanz::N,пуло,hale
157,Ei::N,ал,egg
158,Nest::N,пизэ,rede
159,Bau::N,варя,hi
160,Bau::N,пизе,hi
161,Tier::N,ракша,dyr
162,Herde::N,стада,flokk
163,Kuh::N,скал,ku
164,Bulle::N,бука,tyr
165,Pferd::N,лишме,hest
166,Schaf::N,реве,får
167,Schwein::N,туво,gris
168,Hund::N,пине,hund
169,Hund::N,киска,hund
170,Katze::N,псака,katt
171,Bär::N,овто,bjørn
172,Eichhörnchen::N,ур,ekorn
173,Elch::N,сярдо,elg
174,Fuchs::N,ривезь,rev
175,Hase::N,нумоло,hare
176,Maus::N,чеерь,mus
177,Wolf::N,верьгиз,ulv
178,Wolf::N,верьгиз,varg
179,Vogel::N,нармунь,fugl
180,Schwarm::N,полк,sverm
181,Schwarm::N,стада,sverm
182,Huhn::N,сараз,høne
183,Hahn::N,атякш,hane
184,Gans::N,гала,gås
185,Gans::N,мацей,gås
186,Adler::N,куцькан,ørn
187,Adler::N,тумоатякш,ørn
188,Ente::N,яксярго,and
189,Eule::N,корж,ugle
190,Kranich::N,карго,trane
191,Krähe::N,варака,kråke
192,Kuckuck::N,куко,gjøk
193,Schwan::N,локсей,svane
194,Fisch::N,кал,fisk
195,Barsch::N,окунь,abbor
196,Hecht::N,щука,gjedde
197,Schlange[Tier]::N,гуй,orm
198,Schlange[Tier]::N,гуй,slange
199,Wurm::N,сукс,orm
200,Wurm::N,сукс,mark
201,Spinne::N,шанжав,edderkopp
202,Ameise::N,коткудав,maur
203,Laus::N,сий,lus
204,Mücke::N,сеське,mygg
205,Fliege::N,карво,flue
206,Schmetterling::N,нимиляв,sommerfugl
207,Beere::N,умарь,bær
208,Apfel::N,умарь,eple
209,Pilz::N,панго,sopp
210,Zwiebel::N,чурька,løk
211,Saat::N,видьметь,sæd
212,Korn::N,сюро,korn
213,Heu::N,тикше,høy
214,Schale::N,кедь,skall
215,Schale::N,ваткавкс,skall
216,Grube::N,латко,grop
217,Falle::N,тувор,felle
218,Falle::N,кундамка,felle
219,Schlinge::N,килькш,snare
220,Spur::N,челькс,spor
221,Spur::N,пильгеки,spor
222,Asche::N,кулов,aske
223,Dreck::N,рудаз,møkk
224,Dreck::N,рудаз,skitt
225,Eisen::N,кшни,jern
226,Gold::N,сырне,gull
227,Silber::N,сия,sølv
228,Kohle::N,сэдь,kol
229,Kohle::N,сэдь,kull
230,Kohle::N,уголия,kol
231,Kohle::N,уголия,kull
232,Glas::N,сулика,glass
233,Lehm::N,сёвонь,leire
234,Sand::N,човар,sand
235,Mensch::N,ломань,menneske
236,Mann::N,аля,mann
237,Mann::N,цёраломань,mann
238,Frau::N,ава,kvinne
239,Kind::N,эйкакш,barn
240,Junge::N,цёрыне,gutt
241,Mädchen::N,тейтерне,pike
242,Mädchen::N,тейтерне,jente
243,Familie::N,семия,familie
244,Großvater::N,покштя,bestefar
245,Großmutter::N,баба,bestemor
246,Eltern::N,тетят-ават,foreldre
247,Vater::N,тетя,far
248,Mutter::N,ава,mor
249,Sohn::N,цёра,sønn
250,Tochter::N,тейтерь,datter
251,Bruder::N,леля,bror
252,Bruder::N,ялакс,bror
253,Schwester::N,сазор,søster
254,Onkel::N,леля,onkel
255,Tante::N,патя,tante
256,Ehemann::N,мирде,ektemann
257,Ehefrau::N,ни,hustru
258,Freude::N,кеняркс,glede
259,Gelächter::N,ракамо,latter
260,Gelächter::N,пейдема,latter
261,Glück::N,уцяска,lykke
262,Kummer::N,рискс,sorg
263,Kummer::N,мелявкс,sorg
264,Wunsch::N,мель,ønske
265,Wunsch::N,бажамо,ønske
266,Lust::N,бажамо,lyst
267,Geist::N,ойме,ånd
268,Gedanke::N,мель,tanke
269,Gedächtnis::N,мель,minne
270,Gedächtnis::N,мель,hukommelse
271,Verstand::N,прев,forstand
272,Sinn::N,толк,mening
273,Sinn::N,толк,betydning
274,Sinn::N,смысла,mening
275,Sinn::N,смысла,betydning
276,Grund::N,тувтал,grunn
277,Wahrheit::N,видечи,sannhet
278,Gespräch::N,кортнема,samtale
279,Märchen::N,ёвкс,eventyr
280,Erzählung::N,ёвтнема,fortelling
281,Nachricht::N,куля,melding
282,Neuigkeit::N,куля,nyhet
283,Name::N,лем,navn
284,Rätsel::N,содамоёвкс,gåte
285,Rede::N,кортамо,tale
286,Sprache::N,кель,språk
287,Stimme::N,ваигель,stemme
288,Wort::N,вал,ord
289,Zeichen::N,теште,tegn
290,Ruf::N,тердема,rop
291,Lärm::N,шалнома,bråk
292,Laut::N,вайгель,lyd
293,Ton::N,гайнема,tone
294,Lied::N,моро,vise
295,Ruhe::N,оймамо,ro
296,Leute::N,ломанть,folk
297,Volk::N,народ,folk
298,Arbeit::N,тев,arbeid
299,Gast::N,инже,gjest
300,Geschenk::N,казне,gave
301,Spiel::N,налксема,lek
302,Spiel::N,налксема,spill
303,Gesellschaft::N,община,selskap
304,Hilfe::N,лездамо,hjelp
305,Freund::N,оя,venn
306,Freund::N,ялга,venn
307,Kamerad::N,оя,kamerat
308,Kamerad::N,ялга,kamerat
309,Angelegenheit::N,тев,sak
310,Angelegenheit::N,тев,anliggende
311,Anzahl::N,ламоксчи,antall
312,Art::N,вид,art
313,Art::N,вид,slag
314,Stück::N,пакш,stykke
315,Stück::N,пелькс,stykke
316,Teil::N,часть,del
317,Teil::N,пелькс,del
318,Hälfte::N,пель,halvdel
319,Hälfte::N,пелькс,halvdel
320,Kreis::N,кирькс,ring
321,Kreis::N,кирькс,sirkel
322,Kreuz::N,крёст,kors
323,Kreuz::N,крёст,kryss
324,Linie::N,кикс,linje
325,Strich::N,межа,strek
326,Abstand::N,ютко,avstand
327,Entfernung::N,ютко,avstand
328,Gegend::N,тарка,strøk
329,Gegend::N,пертьпелькс,strøk
330,Platz::N,васолкс,plass
331,Ort::N,тарка,sted
332,Seite::N,ён,side
333,Seite::N,чире,side
334,Mitte::N,куншка,midte
335,Gegenstand::N,предмет,gjenstand
336,Sache::N,тев,sak
337,Sache::N,веща,sak
338,Rand::N,пе,rand
339,Rand::N,чире,rand
340,Kante::N,ирдез,kant
341,Ecke::N,ужо,hjørne
342,Spitze::N,пряне,spiss
343,Spitze::N,пе,spiss
344,Ende::N,пе,ende
345,Loch::N,варя,hull
346,Winkel::N,ужо,vinkel
347,Muster::N,сёрма,mønster
348,Größe::N,сэрь,størrelse
349,Größe::N,покшолма,størrelse
350,Länge::N,кувалмо,lengde
351,Höhe::N,сэрь,høyde
352,Höhe::N,пандо,høyde
353,Gewicht::N,сталмо,vekt
354,Menge::N,лововкс,mengde
355,Haufen::N,мар,haug
356,Haufen::N,мар,bunke
357,Haufen::N,валявкс,haug
358,Haufen::N,валявкс,bunke
359,Reihe::N,ряд,rekke
360,Boot::N,венч,båt
361,Ruder::N,милё,åre
362,Schlitten::N,нурдт,slede
363,Schlitten::N,нурдт,kjelke
364,Ski::N,сокс,ski
365,Lagerfeuer::N,толбандя,leirbål
366,Last::N,сталмо,bør
367,Last::N,сталмо,last
368,Last::N,кандома,bør
369,Last::N,кандома,last
370,Gang::N,молема,gang
371,Gang::N,якамо,gang
372,Schritt::N,эскелькс,steg
373,Schritt::N,эскелькс,skritt
374,Norden::N,якшамо ёнкс,nord
375,Süden::N,лембе ёнкс,sør
376,Westen::N,чивалгома,vest
377,Osten::N,чилисема,øst
378,Holz::N,чувто,tre
379,Brett::N,лаз,fjøl
380,Brett::N,лаз,brett
381,Platte::N,плита,plate
382,Stütze::N,неже,støtte
383,Stange::N,олга,stang
384,Stock::N,мандо,pinne
385,Stab::N,олога,stav
386,Stab::N,олога,kjepp
387,Rohr::N,турба,rør
388,Haus::N,кудо,hus
389,Heim::N,кудо,hjem
390,Ofen::N,каштомо,ovn
391,Fußboden::N,киякс,gulv
392,Tisch::N,столь,bord
393,Stuhl::N,стул,stol
394,Wiege::N,лавсь,vogge
395,Wiege::N,нурямот,vogge
396,Bett::N,ацамо,seng
397,Regal::N,лався,reol
398,Regal::N,лався,hylle
399,Regal::N,лавсяланго,reol
400,Regal::N,лавсяланго,hylle
401,Kiste::N,горобия,kasse
402,Kiste::N,сундук,kasse
403,Fenster::N,вальма,vindu
404,Tür::N,кенкш,dør
405,Tor::N,ортат,port
406,Zaun::N,пирявт,gjerde
407,Zaun::N,пирвякс,gjerde
408,Dach::N,кудопря,tak
409,Leiter::N,кузтема,stige
410,Besen::N,тенсть,kost
411,Spaten::N,койме,spade
412,Schaufel::N,кече,skuffe
413,Schaufel::N,келей койме,skuffe
414,Gabel::N,сянгине,gaffel
415,Löffel::N,пенч,skje
416,Messer::N,пеель,kniv
417,Nagel::N,эске,spiker
418,Netz::N,алтыма,nett
419,Haken::N,кечказ,krok
420,Griff::N,кедне,tak
421,Griff::N,кедне,håndtak
422,Schloss::N,замок,lås
423,Schloss::N,панжома,lås
424,Bild::N,картина,bilde
425,Figur::N,рунго,figur
426,Puppe::N,няка,dukke
427,Beutel::N,кескав,pose
428,Bündel::N,керькс,bylt
429,Tasche::N,юдма,veske
430,Eimer::N,ведра,bøtte
431,Deckel::N,велькс,lokk
432,Geschirr::N,кедьге,kjøkkentøy
433,Sack::N,кескав,sekk
434,Tasse::N,чакш,kopp
435,Topf::N,кастрюля,gryte
436,Kessel::N,котёл,kjele
437,Essen::N,ярсамо,mål
438,Nahrung::N,ярсамопель,mat
439,Nahrung::N,ярсамопель,næring
440,Speise::N,ярсамопель,matrett
441,Fleisch::N,сывель,kjøtt
442,Getreide::N,сюро,korn
443,Brei::N,каша,grøt
444,Brot::N,кши,brød
445,Scheibe::N,кочом,skive
446,Scheibe::N,сускомо,skive
447,Fett::N,куя,fett
448,Butter::N,ой,smør
449,Öl::N,ой,olje
450,Salz::N,сал,salt
451,Suppe::N,ям,suppe
452,Honig::N,медь,honning
453,Milch::N,ловсо,melk
454,Tee::N,чай,te
455,Leder::N,киське,lær
456,Leder::N,киське,skinn
457,Wolle::N,пона,ull
458,Stoff::N,коцт,tøy
459,Stoff::N,коцт,stoff
460,Nadel::N,салмукс,nål
461,Faden::N,суре,tråd
462,Knopf::N,пов,knapp
463,Knoten::N,сюлмо,knute
464,Farbe::N,артомапель,farge
465,Kleidung::N,оршамот,påkledning
466,Hemd::N,панар,skjorte
467,Kragen::N,сиве,krage
468,Ärmel::N,ожа,erme
469,Hose::N,понкст,bukse
470,Gürtel::N,каркс,belte
471,Mütze::N,чапка,lue
472,Schuh::N,туфля,sko
473,Stiefel::N,кем,støvel
474,Ring::N,суркс,ring
475,Band::N,лента,band
476,Kamm::N,сурсеме,kam
477,Spiegel::N,чавачамо,speil
478,Riemen::N,кшнань каркс,rem
479,Schnur::N,пикс,snor
480,Leine::N,ведьме,line
481,Decke::N,вельтямо,teppe
482,Kissen::N,тодов,pute
483,Tuch::N,паця,tøy
484,Handtuch::N,нардамо,håndkle
485,Kraft::N,вий,kraft
486,Stärke::N,виевчи,styrke
487,Gesundheit::N,шумбрачи,helse
488,Gesundheit::N,шумбрачи,sunnhet
489,Krankheit::N,орма,syke
490,Krankheit::N,орма,sykdom
491,Krankheit::N,сэредема,syke
492,Krankheit::N,сэредема,sykdom
493,Schmerz::N,сэредькс,smerte
494,Wunde::N,керявкс,sår
495,Fieber::N,маштыкс,feber
496,Arznei::N,ормаменькс,medisin
497,Arznei::N,ормаменькс,legemiddel
498,Brücke::N,сэдь,bro
499,Brücke::N,мадамо,bro
500,Brunnen::N,лисьма,brønn
501,Weide::N,ракшань ванома тарка,beite
502,Pfad::N,ян,sti
503,Weg::N,ки,vei
504,Straße::N,ки,gate
505,Dorf::N,веле,landsby
506,Stadt::N,ош,by
507,Brief::N,сёрма,brev
508,Buch::N,книга,bok
509,Buchstabe::N,буква,bokstav
510,Zeitung::N,газета,avis
511,Leben::N,эрямо,liv
512,Tod::N,кулома,død
513,Grab::N,калмо,grav
514,Kirche::N,церькова,kirke
515,Sünde::N,чумочи,synd
516,Gott::N,паз,gud
517,Arbeiter::N,робочей,arbeider
518,Chef::N,прявт,sjef
519,Meister::N,кол тевень тенця,mester
520,Arzt::N,врач,lege
521,Lehrer::N,учитель,lærer
522,Lehrer::N,тонавтыця,lærer
523,Geld::N,ярмак,penger
524,Geschäft::N,ладязь тев,forretning
525,Laden::N,лавка,butikk
526,Preis::N,питне,pris
527,Ware::N,миевкс,vare
528,Ware::N,рамавкс,vare
529,Nutzen::N,паро,nytte
530,Nutzen::N,лезэ,nytte
531,Reichtum::N,сюпавчи,rikdom
532,Welt::N,мир,verden
533,Welt::N,мастор ланго,verden
534,Land::N,мастор,land
535,Staat::N,государства,stat
536,König::N,король,konge
537,Macht::N,азорксчи,makt
538,Grenze::N,буен тешкс,grense
539,Krieg::N,война,krig
540,Feind::N,душман,fiende
541,Gewalt::N,нарьгамо,vold
542,Kampf::N,тюрема,kamp
543,Bogen[Waffe]::N,нал,bue
544,Pfeil::N,нал,pil
545,Gewehr::N,ружия,gevær
546,Gewehr::N,винтовка,gevær
547,Fehler::N,ильведькс,feil
548,Fehler::N,ильведевкс,feil
549,Lüge::N,манчема,løgn
550,Lüge::N,кенгелема,løgn
551,Schaden::N,зыян,skade
552,Unglück::N,зыян,uhell
553,Schuld::N,чумочи,skyld
554,Alter::N,шка,alder
555,Schluss::N,пе,slutt
556,Zeit::N,шка,tid
557,Zeit::N,пинге,tid
558,Tag::N,чи,dag
559,Morgen::N,валске,morgen
560,Mittag::N,чикуншка,middag
561,Abend::N,чокшнэ,aften
562,Nacht::N,ве,natt
563,Woche::N,недля,uke
564,Monat::N,ков,måned
565,Jahr::N,ие,år
566,Frühling::N,тундо,vår
567,Sommer::N,кизэ,sommer
568,Herbst::N,сёксь,høst
569,Winter::N,теле,vinter
570,Januar::N,якшамков,januar
571,Februar::N,февраль,februar
572,März::N,март,mars
573,April::N,апрель,april
574,Mai::N,май,mai
575,Juni::N,июнь,juni
576,Juli::N,июль,juli
577,August::N,август,august
578,September::N,сентября,september
579,Oktober::N,октября,oktober
580,November::N,ноября,november
581,Dezember::N,декабря,desember
582,Montag::N,пондельник,mandag
583,Dienstag::N,овторник,tirsdag
584,Mittwoch::N,серёда,onsdag
585,Donnerstag::N,цетьверьг,torsdag
586,Freitag::N,пеця,fredag
587,Samstag::N,субута,lørdag
588,Samstag::N,шлямочи,lørdag
589,Sonntag::N,недлячи,søndag
590,groß::A,ине,stor
591,groß::A,покш,stor
592,klein::A,вишка,liten
593,lang::A,кувака,lang
594,kurz::A,нурькине,kort
595,breit::A,келей,bred
596,schmal::A,теине,smal
597,dicht::A,тусто,tett
598,dick[Gegenstand]::A,эчке,tykk
599,dünn::A,човине,tynn
600,fein::A,човине,fin
601,fest::A,кеме,fast
602,flach::A,лапужа,flat
603,glatt::A,валаня,glatt
604,hart::A,калгодо,hard
605,weich::A,чевте,myk
606,weich::A,чевте,bløt
607,rund::A,кеверь,rund
608,spitz::A,пшти,spiss
609,scharf::A,пшти,kvass
610,stumpf::A,ношка,stubb
611,schwer::A,стака,tung
612,schön::A,мазый,pen
613,schön::A,мазый,vakker
614,heiß::A,пси,het
615,warm::A,лембе,varm
616,kalt::A,якшамо,kald
617,kühl::A,экше,kjølig
618,frisch::A,свежа,fersk
619,feucht::A,летьке,fuktig
620,nass::A,начко,våt
621,trocken::A,коське,tørr
622,voll::A,пешксе,full
623,leer::A,чаво,tom
624,offen::A,панжадо,åpen
625,offen::A,виде,åpen
626,geschlossen::A,пекстазь,lukket
627,geschlossen::A,сёлгозь,lukket
628,sauber::A,ванькс,ren
629,schmutzig::A,ливезев,skitten
630,roh::A,верек,rå
631,reif::A,кенерезь,moden
632,lecker::A,тантей,lekker
633,süß::A,ламбамо,søt
634,bitter::A,сэпей,besk
635,bitter::A,сэпей,bitter
636,sauer::A,чапамо,sur
637,hell::A,валдо,lys
638,dunkel::A,чопода,mørk
639,schwarz::A,раужо,svart
640,weiß::A,ашо,hvit
641,rot::A,якстере,rød
642,gelb::A,ожо,gul
643,blau::A,сэнь,blå
644,grün::A,пиже,grønn
645,grau::A,шержев,grå
646,bunt::A,сёрмав,broket
647,billig::A,аволь питней,billig
648,teuer::A,питней,dyr
649,wertvoll::A,питней,verdifull
650,blind::A,сокор,blind
651,taub::A,амариця,døv
652,kräftig::A,пек виев,kraftig
653,stark::A,виев,sterk
654,schwach::A,лавшо,svak
655,fett::A,куя,fet
656,schlank::A,виде ронга,slank
657,hübsch::A,мазый,pen
658,böse::A,кежей,slem
659,dumm::A,чавола,dum
660,dumm::A,превтеме,dum
661,faul::A,нузякс,lat
662,faul::A,нузякс,doven
663,fleißig::A,мелень путыця,flittig
664,geizig::A,скупой,gjerrig
665,klug::A,превей,klok
666,geschickt::A,маштозь теезь,hendig
667,geschickt::A,маштозь теезь,skikket
668,lieb::A,вадря,kjær
669,lieb::A,вадря,snill
670,lustig::A,весёла,morsom
671,sanft::A,сэтьме,blid
672,hungrig::A,вачо,sulten
673,krank::A,сэредиця,syk
674,nackt::A,штапо,naken
675,traurig::A,нусманя,sørgmodig
676,lebendig::A,эриця,levende
677,gut::A,паро,god
678,schlecht::A,берянь,dårlig
679,richtig::A,виде,riktig
680,schlimm::A,берянь,slem
681,wahr::A,алкуксонь,sann
682,alt::A,ташто,gammel
683,neu::A,од,ny
684,ehemalig::A,икелень,forhenværende
685,alt[Lebewesen]::A,сыре,gammel
686,jung::A,од,ung
687,arm::A,кажов,fattig
688,reich::A,сюпав,rik
689,bekannt::A,содавикс,kjent
690,berühmt::A,содавикс,berømt
691,fremd::A,лия,fremmed
692,fremd::A,асодавикс,fremmed
693,verschieden::A,эрьва,forskjellig
694,nah::A,а васолонь,nær
695,fern::A,умонь,fjern
696,fern::A,кезэрень,fjern
697,linker::A,керш,venstre
698,rechter::A,вить,høyre
699,anderer::A,лия,annen
700,erster::A,васень,første
701,erster::A,васенце,første
702,zweiter::A,омбоце,annen
703,dritter::A,колмоце,tredje
704,letzter::A,меельце,sist
705,allein::ADV,башка,alene
706,allein::ADV,ськамонзо,alene
707,auf einmal::ADV,вейсэ,med ett
708,zusammen::ADV,вейс,sammen
709,zusammen::ADV,вейсэ,sammen
710,lange::ADV,кувать,lenge
711,plötzlich::ADV,апак учо,plutselig
712,sofort::ADV,курок,straks
713,sofort::ADV,нейке,straks
714,später::ADV,мейле,senere
715,jetzt::ADV,ней,nå
716,heute::ADV,течи,i dag
717,morgen::ADV,ванды,i morgen
718,bald::ADV,курок,snart
719,dann::ADV,мейле,så
720,dann::ADV,седе мейле,så
721,gestern::ADV,исяк,i går
722,einst::ADV,весть,engang
723,einst::ADV,зярдо-бути,engang
724,damals::ADV,сестэ,den gang
725,danach::ADV,мейле,deretter
726,danach::ADV,седе мейле,deretter
727,vorher::ADV,васняяк,før
728,vorher::ADV,васняяк,i forveien
729,zuerst::ADV,васня,først
730,einmal::ADV,весть,en gang
731,manchmal::ADV,лиясто,somme tider
732,oft::ADV,сеетьстэ,ofte
733,immer::ADV,свал,alltid
734,niemals::ADV,а зярдояк,aldri
735,hier::ADV,тесэ,her
736,hierhin::ADV,тей,hit
737,von hier::ADV,тестэ,herfra
738,dort::ADV,тосо,der
739,dorthin::ADV,тов,dit
740,geradeaus::ADV,витьстэ,rett fram
741,vorwärts::ADV,икелев,fram
742,vorwärts::ADV,икелев,framover
743,rückwärts::ADV,мекев,baklengs
