,Concept_ID,lv,pt
0,Auge::N,син,olho
1,Auge::N,acs,olho
2,Ohr::N,пель,orelha
3,Ohr::N,auss,orelha
4,Nase::N,ныр,nariz
5,Nase::N,deguns,nariz
6,Mund::N,вом,boca
7,Mund::N,mute,boca
8,Zahn::N,пинь,dente
9,Zahn::N,zobs,dente
10,Zunge::N,кыв,língua
11,Zunge::N,mēle,língua
12,Lippe::N,вом дор,lábio
13,Lippe::N,lūpa,lábio
14,Wange::N,бан,face
15,Wange::N,vaigs,face
16,Gesicht::N,чужӧм,cara
17,Gesicht::N,чужӧм,rosto
18,Gesicht::N,seja,cara
19,Gesicht::N,seja,rosto
20,Gesicht::N,ģīmis,cara
21,Gesicht::N,ģīmis,rosto
22,Stirn::N,плеш,testa
23,Stirn::N,кымӧс,testa
24,Stirn::N,piere,testa
25,Haar::N,си,cabelo
26,Haar::N,юрси,cabelo
27,Haar::N,mats,cabelo
28,Schnurrbart::N,ус,bigode
29,Schnurrbart::N,пыртсим,bigode
30,Schnurrbart::N,ūsas,bigode
31,Bart::N,тош,barba
32,Bart::N,bārda,barba
33,Kinn::N,тшӧка,queixo
34,Kinn::N,zods,queixo
35,Kinn::N,smakrs,queixo
36,Kiefer[Anatomie]::N,черлы,maxila
37,Kiefer[Anatomie]::N,черлы,mandíbula
38,Kiefer[Anatomie]::N,алака лы,maxila
39,Kiefer[Anatomie]::N,алака лы,mandíbula
40,Kiefer[Anatomie]::N,вомкӧтш лы,maxila
41,Kiefer[Anatomie]::N,вомкӧтш лы,mandíbula
42,Kiefer[Anatomie]::N,žoklis,maxila
43,Kiefer[Anatomie]::N,žoklis,mandíbula
44,Kehle::N,голя,garganta
45,Kehle::N,rīkle,garganta
46,Hals::N,сьылі,colo
47,Hals::N,сьылі,pescoço
48,Hals::N,kakls,colo
49,Hals::N,kakls,pescoço
50,Genick::N,юрбӧр,nuca
51,Genick::N,балябӧж,nuca
52,Genick::N,sprands,nuca
53,Kopf::N,юр,cabeça
54,Kopf::N,galva,cabeça
55,Rücken::N,мыш,dorso
56,Rücken::N,мыш,costas
57,Rücken::N,mugura,dorso
58,Rücken::N,mugura,costas
59,Bauch::N,рушку,ventre
60,Bauch::N,рушку,barriga
61,Bauch::N,vēders,ventre
62,Bauch::N,vēders,barriga
63,Nabel::N,гӧг,umbigo
64,Nabel::N,naba,umbigo
65,Busen::N,морӧс,seio
66,Busen::N,krūts,seio
67,Brust::N,морӧс,peito
68,Brust::N,krūts,peito
69,Schulter::N,пельпом,ombro
70,Schulter::N,plecs,ombro
71,Arm::N,ки,braço
72,Arm::N,roka,braço
73,Arm::N,delms,braço
74,Ellenbogen::N,гырддза,cotovelo
75,Ellenbogen::N,elkonis,cotovelo
76,Hand::N,ки,mão
77,Hand::N,roka,mão
78,Hand::N,plauksta,mão
79,Handfläche::N,ки пыдӧс,palma
80,Handfläche::N,ки пыдӧс,palma da mão
81,Handfläche::N,delna,palma
82,Handfläche::N,delna,palma da mão
83,Handfläche::N,plauksta,palma
84,Handfläche::N,plauksta,palma da mão
85,Finger::N,чунь,dedo
86,Finger::N,pirksts,dedo
87,Fingernagel::N,гыж,unha
88,Fingernagel::N,nags,unha
89,Nagel[Anatomie]::N,гыж,unha
90,Nagel[Anatomie]::N,nags,unha
91,Zeh::N,кок чунь,dedo do pé
92,Zeh::N,pirksts,dedo do pé
93,Fuß::N,кок,pé
