,Concept_ID,lbe,da
0,Auge::N,я,øje
1,Ohr::N,вичӏи,øre
2,Nase::N,май,næse
3,Mund::N,кьацӏ,mund
4,Zahn::N,ккарччи,tand
5,Zunge::N,маз,tunge
6,Lippe::N,мурччи,læbe
7,Wange::N,чӏав,kind
8,Gesicht::N,лажин,ansigt
9,Stirn::N,ненттабакӏ,pande
10,Haar::N,чӏара,hår
11,Schnurrbart::N,ссирссилтту,overskæg
12,Bart::N,чӏири,skæg
13,Kinn::N,лунттубакӏ,hage
14,Kiefer[Anatomie]::N,ххинчулул,kæbe
15,Kehle::N,кьакьари,strube
16,Hals::N,ссурссу,hals
17,Genick::N,махъабакӏ,nakke
18,Kopf::N,бакӏ,hoved
19,Rücken::N,ттиликӏ,ryg
20,Bauch::N,лякьа,mave
21,Nabel::N,цӏумуккутӏ,navle
22,Busen::N,ккукку,barm
23,Brust::N,хъазам,bryst
24,Schulter::N,хъачӏ,skulder
25,Arm::N,ка,arm
26,Ellenbogen::N,ссюрхъ,albue
27,Hand::N,бартка,hånd
28,Handfläche::N,хъат,håndflade
29,Handfläche::N,битӏянхъ,håndflade
30,Finger::N,кӏисса,finger
31,Fingernagel::N,михь,fingernegl
32,Nagel[Anatomie]::N,михь,negl
33,Zeh::N,кӏисса,tå
34,Fuß::N,чӏанччан,fod
35,Ferse::N,никъа,hæl
36,Knie::N,ник,knæ
37,Oberschenkel::N,жира,lår
38,Bein::N,ччан,ben
39,Körper::N,чурх,krop
40,Körper::N,чурх,legeme
41,Haut::N,бурчу,hud
42,Blut::N,оь,blod
43,Ader::N,тунну,åre
44,Sehne::N,хьхьа,sene
45,Knochen::N,ттаркӏ,ben
46,Gehirn::N,ня,hjerne
47,Herz::N,дакӏ,hjerte
48,Herz::N,къюкӏ,hjerte
49,Magen::N,лякьа,mave
50,Atem::N,ссихӏ ласаву,ånde
51,Atem::N,ссихӏ бигьаву,ånde
52,Hunger::N,ккаши,sult
53,Träne::N,макь,tåre
54,Geschmack::N,тӏин,smag
55,Geschmack::N,тӏааьн,smag
56,Geruch::N,кьанкь,lugt
57,Schlaf::N,шану,søvn
58,Traum::N,макӏру,drøm
59,Himmel::N,ссав,himmel
60,Sonne::N,баргъ,sol
61,Mond::N,барз,måne
62,Stern::N,цӏуку,stjerne
63,Luft::N,гьава,luft
64,Wind::N,марч,vind
65,Welle::N,щатӏи,bølge
66,Wasser::N,щин,vand
67,Stein::N,чару,sten
68,Boden::N,аьрщи,jord
69,Erde::N,аьрщи,jord
70,Staub::N,ххит,støv
71,Rauch::N,пуркӏу,røg
72,Funke::N,пиягь,gnist
73,Feuer::N,цӏу,ild
74,Licht::N,чани,lys
75,Schatten::N,ххют,skygge
76,Wetter::N,гьава,vejr
77,Nebel::N,шархь ттурлу,tåge
78,Wolke::N,ттурлу,sky
79,Regen::N,гъарал,regn
80,Schnee::N,марххала,sne
81,Eis::N,микӏ,is
82,Frost::N,дяркъу,frost
83,Frost::N,замгьар,frost
84,Kälte::N,дяркъу,kulde
85,Hitze::N,кӏиришиву,hede
86,Raureif::N,сил,rimfrost
87,Raureif::N,бурса,rimfrost
88,Regenbogen::N,ссурул ккуртта,regnbue
89,Donner::N,къув,torden
90,Strömung::N,экьинанаву,strømning
91,Tropfen::N,кӏунтӏ,dråbe
92,Schaum::N,хьама,skum
93,Schmutz::N,кьяркьи,snavs
94,See::N,бяр,sø
95,Sumpf::N,кунцӏа,sump
96,Wiese::N,кьан,eng
97,Wald::N,вацӏа,skov
98,Hügel::N,бакӏу,høj
99,Hügel::N,бакӏу,bakke
100,Berg::N,зунтту,bjerg
101,Gipfel::N,мицӏ,top
102,Höhle::N,нух,hule
103,Abhang::N,сун,skrænt
104,Abhang::N,сун,skråning
105,Quelle::N,дайдихьу,kilde
106,Quelle::N,бакӏ,kilde
107,Bach::N,чӏрир нех,bæk
108,Fluss::N,нех,flod
109,Ufer::N,зума,bred
110,Küste::N,зумаинхалу,kyst
111,Küste::N,зуманицӏалу,kyst
112,Festland::N,кьири,fastland
113,Meer::N,хьхьири,hav
114,Insel::N,жазира,ø
115,Blume::N,тӏутӏи,blomst
116,Gras::N,уртту,græs
117,Wurzel::N,мархха,rod
118,Baum::N,мурхь,træ
119,Stamm::N,ттарцӏ,stamme
120,Rinde::N,ккамара,bark
121,Ast::N,матӏи,gren
122,Zweig::N,къяртта,kvist
123,Blatt::N,чӏапӏи,blad
124,Birke::N,кӏялахӏи,birk
125,Birke::N,кӏялахӏилул мурхь,birk
126,Kiefer[Baum]::N,ттар,fyrretræ
127,Kiefer[Baum]::N,ттарлил мурхь,fyrretræ
128,Weide[Baum]::N,щавщи,piletræ
129,Tanne::N,ттарлил мурхь,gran
130,Horn::N,хъи,horn
131,Feder::N,лелуххул тӏиму,fjer
132,Fell::N,бурчу,skind
133,Flügel::N,хъа,vinge
134,Flügel::N,ххурупӏайрал тӏиму,vinge
135,Klaue::N,михь,klov
136,Kralle::N,ххяппа,klo
137,Schwanz::N,магъ,hale
138,Ei::N,ккунук,æg
139,Nest::N,кюру,rede
140,Bau::N,цукъуккутӏ,bo
141,Tier::N,хӏайван,dyr
142,Herde::N,газу,flok
143,Kuh::N,оьл,ko
144,Bulle::N,ниц,tyr
145,Pferd::N,чу,hest
146,Schaf::N,тта,får
147,Schwein::N,дунгъуз,gris
148,Hund::N,ккаччи,hund
149,Katze::N,ччиту,kat
150,Bär::N,цуша,bjørn
151,Eichhörnchen::N,бюрхттукку,egern
152,Elch::N,ниц-бюрин,elg
153,Fuchs::N,цулчӏа,ræv
154,Fuchs::N,куча цулчӏа,ræv
155,Hase::N,бюрх,hare
156,Maus::N,кӏулу,mus
157,Wolf::N,барцӏ,ulv
158,Vogel::N,лелуххи,fugl
159,Schwarm::N,гьухъала,sværm
160,Huhn::N,аьнакӏи,høne
161,Hahn::N,ажари,hane
162,Gans::N,къаз,gås
163,Adler::N,барзу,ørn
164,Ente::N,урдак,and
165,Eule::N,ису,ugle
166,Eule::N,ччиккумяв,ugle
167,Kranich::N,кьурукь,trane
168,Krähe::N,хъатӏу,krage
169,Kuckuck::N,ччикку,gøg
170,Schwan::N,урттил къаз,svane
171,Fisch::N,чавахъ,fisk
172,Schlange[Tier]::N,шатта,slange
173,Wurm::N,кьюнукьай шатта,orm
174,Spinne::N,ххялцу,edderkop
175,Ameise::N,митӏикьукьу,myre
176,Mücke::N,мичӏак,myg
177,Fliege::N,зимиз,flue
178,Schmetterling::N,чӏимучӏали,sommerfugl
179,Beere::N,хӏаллил ахъулсса,bær
180,Apfel::N,гьивч,æble
181,Pilz::N,ттуккул иис,svamp
182,Zwiebel::N,лаччул чсмусул бакӏ,løg
183,Saat::N,гьанна,sæd
184,Korn::N,къама,korn
185,Heu::N,ххулув,hø
186,Schale::N,ккиртту,skræl
187,Grube::N,кӏаланг,grav
188,Falle::N,къатӏа,fælde
189,Schlinge::N,хӏатӏ,snare
190,Spur::N,ша,spor
191,Asche::N,лах,aske
192,Dreck::N,кьяркьи,snavs
193,Dreck::N,венп,snavs
194,Eisen::N,мах,jern
195,Gold::N,муси,guld
196,Silber::N,арцу,sølv
197,Kohle::N,кӏалаш,kul
198,Kohle::N,хъуручӏ,kul
199,Glas::N,пюрун,glas
200,Lehm::N,сина аьрщи,ler
201,Sand::N,къун,sand
202,Mensch::N,инсан,mennesge
203,Mann::N,чув,mand
204,Mann::N,адимина,mand
205,Frau::N,щарсса,kvinde
206,Frau::N,хъамитайпа,kvinde
207,Kind::N,чӏиви оьрчӏ,barn
208,Junge::N,оьрчӏ,dreng
209,Junge::N,бурхьин оьрчӏ,dreng
210,Mädchen::N,душ,pige
211,Familie::N,кулпат,familie
212,Großvater::N,ттатта,bedstefar
213,Großvater::N,ниттил ппу,bedstefar
214,Großmutter::N,буттал нину,bedstemor
215,Eltern::N,нину-ппу,forældre
216,Vater::N,ппу,far
217,Mutter::N,нину,mor
218,Sohn::N,арс,søn
219,Tochter::N,душ,datter
220,Bruder::N,уссу,bror
221,Schwester::N,ссу,søster
222,Onkel::N,буттауссу,onkel
223,Tante::N,буттал ссу,tante
224,Ehemann::N,лас,ægtemand
225,Ehefrau::N,щар,hustru
226,Ehefrau::N,щарсса,hustru
227,Freude::N,шадшиву,glæde
228,Freude::N,ххаришиву,glæde
229,Gelächter::N,хъяхъаву,latter
230,Glück::N,талихӏ,lykke
231,Kummer::N,дард,sorg
232,Wunsch::N,мурад,ønske
233,Lust::N,гьавас,lyst
234,Lust::N,ччаву,lyst
235,Geist::N,рухӏ,ånd
236,Gedanke::N,пикри,tanke
237,Gedächtnis::N,дакӏний личӏаву,hukommelse
238,Verstand::N,аькьлу,forstand
239,Sinn::N,мяъна,mening
240,Sinn::N,мяъна,betydning
241,Grund::N,багьана,grund
242,Wahrheit::N,тӏайламур,sandhed
243,Wahrheit::N,хӏакьмур,sandhed
244,Gespräch::N,ихтилат,samtale
245,Märchen::N,магьа,eventyr
246,Erzählung::N,хавар,fortælling
247,Nachricht::N,хавар,efterretning
248,Neuigkeit::N,хавар,nyhed
249,Name::N,цӏа,navn
250,Rätsel::N,ссигьа,gåde
251,Rede::N,гъалгъа,tale
252,Sprache::N,маз,sprog
253,Stimme::N,чӏу,stemme
254,Stimme::N,чӏукӏа,stemme
255,Wort::N,махъ,ord
256,Zeichen::N,лишан,tegn
257,Lärm::N,чӏу,larm
258,Laut::N,чӏу,lyd
259,Ton::N,чӏу,tone
260,Lied::N,балай,sang
261,Ruhe::N,дигьалагру,ro
262,Ruhe::N,дигьалагру,hvile
263,Leute::N,инсантал,folk
