,Concept_ID,ka,en
0,Auge::N,თვალი,eye
1,Ohr::N,ყური,ear
2,Nase::N,ცხვირი,nose
3,Mund::N,პირი,mouth
4,Zahn::N,კბილი,tooth
5,Zunge::N,ენა,tongue
6,Lippe::N,ბაგე,lip
7,Wange::N,ლოყა,cheek
8,Gesicht::N,სახე,face
9,Stirn::N,შუბლი,forehead
10,Haar::N,თმა,hair
11,Schnurrbart::N,ულვაში,moustache
12,Bart::N,წვერი,beard
13,Kinn::N,ნიკაპი,chin
14,Kiefer[Anatomie]::N,ყბა,jaw
15,Kehle::N,ყელი,throat
16,Hals::N,ყელი,neck
17,Hals::N,კისერი,neck
18,Genick::N,კეფა,nape
19,Kopf::N,თავი,head
20,Rücken::N,ზურგი,back
21,Rücken::N,ზურგი,spine
22,Bauch::N,მუცელი,belly
23,Nabel::N,ჭიპი,navel
24,Busen::N,ძუძუ,bosom
25,Brust::N,მკერდი,chest
26,Brust::N,მკერდი,breast
27,Schulter::N,მხარი,shoulder
28,Schulter::N,მკლავი,shoulder
29,Arm::N,ხელი,arm
30,Ellenbogen::N,იდაყვი,elbow
31,Hand::N,ხელი,hand
32,Handfläche::N,ნები,palm
33,Handfläche::N,ხელისგული,palm
34,Finger::N,თითი,finger
35,Fingernagel::N,ფრჩხილი,fingernail
36,Nagel[Anatomie]::N,ფრჩხილი,nail
37,Zeh::N,ფეხის თითი,toe
38,Fuß::N,ტერფი,foot
39,Fuß::N,ფეხისგული,foot
40,Ferse::N,ქუსლი,heel
41,Knie::N,მუხლი,knee
42,Oberschenkel::N,ბარძაყი,thigh
43,Bein::N,ფეხი,leg
44,Körper::N,ტანი,body
45,Körper::N,სხეული,body
46,Haut::N,კანი,skin
47,Blut::N,სისხლი,blood
48,Ader::N,ძარღვი,vein
49,Sehne::N,მყესი,sinew
50,Knochen::N,ძვალი,bone
51,Gehirn::N,ტვინი,brain
52,Herz::N,გული,heart
53,Magen::N,კუჭი,stomach
54,Leber::N,ღვიძლი,liver
55,Atem::N,სუნთქვა,breath
56,Hunger::N,შიმშილი,hunger
57,Träne::N,ცრემლი,tear
58,Geschmack::N,გემო,flavour
59,Geschmack::N,გემო,flavor
60,Geruch::N,სუნი,odour
61,Geruch::N,სუნი,odor
62,Schlaf::N,ძილი,sleep
63,Traum::N,სიზმარი,dream
64,Himmel::N,ცა,sky
65,Sonne::N,მზე,sun
66,Mond::N,მთვარე,moon
67,Stern::N,ვარსკვლავი,star
68,Luft::N,ჰაერი,air
69,Wind::N,ქარი,wind
70,Welle::N,ტალღა,wave
71,Wasser::N,წყალი,water
72,Stein::N,ქვა,stone
73,Boden::N,მიწა,soil
74,Boden::N,მიწა,ground
75,Erde::N,ნიადაგი,earth
76,Staub::N,მტვერი,dust
77,Rauch::N,ბოლი,smoke
78,Rauch::N,კვამლი,smoke
79,Funke::N,ნაკვესი,spark
80,Feuer::N,ცეცხლი,fire
81,Licht::N,შუქი,light
82,Licht::N,სინათლე,light
83,Schatten::N,ლანდი,shadow
84,Schatten::N,ჩრდილი,shadow
85,Wetter::N,ამინდი,weather
86,Nebel::N,ნისლი,fog
87,Wolke::N,ღრუბელი,cloud
88,Regen::N,წვიმა,rain
89,Schnee::N,თოვლი,snow
90,Eis::N,თოში,ice
91,Eis::N,ყინული,ice
92,Frost::N,ყინვა,frost
93,Kälte::N,სიცივე,chill
94,Hitze::N,სიცხე,heat
95,Raureif::N,ჭირხლი,hoarfrost
96,Raureif::N,თრთვილი,hoarfrost
97,Regenbogen::N,ცისარტყელა,rainbow
98,Donner::N,ქუხილი,thunder
99,Strömung::N,დინება,current
100,Tropfen::N,წვეთი,drop
101,Schaum::N,ქაფი,foam
102,Schaum::N,დორბლი,foam
103,Schmutz::N,ჭუჭყი,dirt
104,Schmutz::N,ტალახი,dirt
105,See::N,ტბა,lake
106,Sumpf::N,ჭაობი,swamp
107,Moor::N,ტორფნარი,moor
108,Wiese::N,ველი,meadow
109,Wiese::N,მდელო,meadow
110,Wald::N,ტყე,forest
111,Hügel::N,ბორცვი,hill
