,Concept_ID,nl,ru
0,Auge::N,oog,глаз
1,Ohr::N,oor,ухо
2,Nase::N,neus,нос
3,Mund::N,mond,рот
4,Zahn::N,tand,зуб
5,Zunge::N,tong,язык
6,Lippe::N,lip,губа
7,Wange::N,wang,щека
8,Gesicht::N,gelaat,лицо
9,Gesicht::N,gezicht,лицо
10,Stirn::N,voorhoofd,лоб
11,Haar::N,haar,волос
12,Haar::N,haar,волосы
13,Schnurrbart::N,snor,ус
14,Schnurrbart::N,snor,усы
15,Bart::N,baard,борода
16,Kinn::N,kin,подбородок
17,Kiefer[Anatomie]::N,kaak,челюсть
18,Kehle::N,keel,горло
19,Kehle::N,strot,горло
20,Hals::N,hals,шея
21,Genick::N,nek,затылок
22,Kopf::N,hoofd,голова
23,Rücken::N,rug,спина
24,Bauch::N,buik,живот
25,Nabel::N,navel,пупок
26,Busen::N,boezem,женская грудь
27,Brust::N,borst,грудь
28,Schulter::N,schouder,плечо
29,Arm::N,arm,рука
30,Ellenbogen::N,elleboog,локоть
31,Hand::N,hand,кисть
32,Handfläche::N,handpalm,ладонь
33,Finger::N,vinger,палец
34,Fingernagel::N,nagel,ноготь
35,Nagel[Anatomie]::N,nagel,ноготь
36,Zeh::N,teen,палец
37,Fuß::N,voet,ступня
38,Ferse::N,hak,пята
39,Ferse::N,hak,пятка
40,Ferse::N,hiel,пята
41,Ferse::N,hiel,пятка
42,Knie::N,knie,колено
43,Oberschenkel::N,dij,бедро
44,Bein::N,been,нога
45,Körper::N,lichaam,тело
46,Haut::N,huid,кожа
47,Blut::N,bloed,кровь
48,Ader::N,ader,вена
49,Ader::N,ader,сосуд
50,Sehne::N,pees,жила
51,Sehne::N,pees,тетива
52,Sehne::N,pees,сухожилие
53,Knochen::N,bot,кость
54,Knochen::N,been,кость
55,Knochen::N,knook,кость
56,Gehirn::N,hersenen,мозг
57,Herz::N,hart,сердце
58,Magen::N,maag,желудок
59,Leber::N,lever,печень
60,Atem::N,adem,дух
61,Atem::N,adem,дыхание
62,Hunger::N,honger,голод
63,Träne::N,traan,слеза
64,Geschmack::N,smaak,вкус
65,Geruch::N,geur,запах
66,Schlaf::N,slaap,сон
67,Traum::N,droom,сновидение
68,Himmel::N,hemel,небо
69,Sonne::N,zon,солнце
70,Mond::N,maan,луна
71,Stern::N,ster,звезда
72,Luft::N,lucht,воздух
73,Wind::N,wind,ветер
74,Welle::N,golf,волна
75,Wasser::N,water,вода
76,Stein::N,steen,камень
77,Boden::N,grond,почва
78,Erde::N,aarde,земля
79,Staub::N,stof,пыль
80,Rauch::N,rook,дым
81,Funke::N,vonk,искра
82,Feuer::N,vuur,огонь
83,Licht::N,licht,свет
84,Schatten::N,schaduw,тень
85,Wetter::N,weer,погода
86,Nebel::N,mist,туман
87,Nebel::N,nevel,туман
88,Wolke::N,wolk,облако
89,Regen::N,regen,дождь
90,Schnee::N,sneeuw,снег
91,Eis::N,ijs,лед
92,Frost::N,vorst,мороз
93,Kälte::N,kou,холод
94,Kälte::N,koude,холод
95,Hitze::N,hitte,жара
96,Raureif::N,rijp,иней
97,Regenbogen::N,regenboog,радуга
98,Donner::N,donder,гром
99,Strömung::N,stroming,течение
100,Tropfen::N,druppel,капля
101,Schaum::N,schuim,пена
102,Schmutz::N,vuil,грязь
103,See::N,meer,озеро
104,Sumpf::N,moeras,топь
105,Moor::N,veen,болото
106,Wiese::N,wei,луг
107,Wiese::N,weide,луг
108,Wald::N,bos,лес
109,Hügel::N,heuvel,холм
110,Anhöhe::N,hoogte,возвышенность
111,Berg::N,berg,гора
112,Gipfel::N,top,вершина
113,Höhle::N,hol,пещера
114,Abhang::N,helling,склон
115,Quelle::N,bron,источник
116,Bach::N,beek,ручей
117,Fluss::N,stroom,река
118,Ufer::N,wal,берег
119,Ufer::N,oever,берег
120,Küste::N,kust,побережье
121,Festland::N,vasteland,суша
122,Meer::N,zee,море
123,Bucht::N,baai,бухта
124,Bucht::N,inham,бухта
125,Insel::N,eiland,остров
126,Blume::N,bloem,цветок
127,Gras::N,gras,трава
128,Wurzel::N,wortel,корень
129,Baum::N,boom,дерево
130,Stamm::N,stam,ствол
131,Rinde::N,schors,кора
132,Ast::N,tak,сук
133,Zweig::N,twijg,ветвь
134,Blatt::N,blad,лист
135,Birke::N,berk,береза
136,Kiefer[Baum]::N,den,сосна
137,Weide[Baum]::N,wilg,ива
138,Tanne::N,spar,ель
139,Horn::N,hoorn,рог
140,Feder::N,veer,перо
141,Feder::N,pluim,перо
142,Fell::N,vel,шкура
143,Flügel::N,vleugel,крыло
144,Klaue::N,klauw,коготь
145,Kralle::N,klauw,лапа
146,Schwanz::N,staart,хвост
147,Ei::N,ei,яйцо
148,Nest::N,nest,гнездо
149,Bau::N,hol,нора
150,Tier::N,dier,животное
151,Herde::N,kudde,стадо
152,Kuh::N,koe,корова
153,Bulle::N,stier,бык
154,Pferd::N,paard,лошадь
155,Schaf::N,schaap,овца
156,Schwein::N,varken,свинья
157,Hund::N,hond,собака
158,Katze::N,kat,кошка
159,Bär::N,beer,медведь
160,Eichhörnchen::N,eekhoorntje,белка
161,Elch::N,eland,лось
162,Fuchs::N,vos,лиса
163,Hase::N,haas,заяц
164,Maus::N,muis,мышь
165,Wolf::N,wolf,волк
166,Vogel::N,vogel,птица
167,Schwarm::N,zwerm,стая
168,Huhn::N,kip,курица
169,Huhn::N,hoen,курица
170,Hahn::N,haan,петух
171,Gans::N,gans,гусь
172,Adler::N,arend,орел
173,Ente::N,eend,утка
174,Eule::N,uil,сова
175,Kranich::N,kraanvogel,журавль
176,Krähe::N,kraai,ворона
177,Kuckuck::N,koekoek,кукушка
178,Schwan::N,zwaan,лебедь
179,Fisch::N,vis,рыба
180,Barsch::N,baars,окунь
181,Hecht::N,snoek,щука
182,Schlange[Tier]::N,slang,змея
183,Wurm::N,worm,червяк
184,Spinne::N,spin,паук
185,Ameise::N,mier,муравей
186,Laus::N,luis,вошь
187,Mücke::N,mug,комар
188,Fliege::N,vlieg,муха
189,Schmetterling::N,vlinder,бабочка
190,Beere::N,bes,ягода
191,Apfel::N,appel,яблоко
192,Pilz::N,paddestoel,гриб
193,Zwiebel::N,ui,луковица
194,Saat::N,zaad,семя
195,Korn::N,graan,зерно
196,Korn::N,korrel,зерно
197,Heu::N,hooi,сено
198,Schale::N,schil,шелуха
199,Grube::N,kuil,яма
200,Falle::N,val,ловушка
201,Schlinge::N,strop,силок
202,Spur::N,spoor,след
203,Asche::N,as,зола
204,Asche::N,as,пепел
205,Dreck::N,drek,грязь
206,Eisen::N,ijzer,железо
207,Gold::N,goud,золото
208,Silber::N,zilver,серебро
209,Kohle::N,kool,уголь
210,Glas::N,glas,стекло
211,Lehm::N,klei,глина
212,Sand::N,zand,песок
213,Mensch::N,mens,человек
214,Mann::N,man,мужчина
215,Frau::N,vrouw,женщина
216,Kind::N,kind,ребенок
217,Junge::N,jongen,мальчик
218,Mädchen::N,meisje,девочка
219,Familie::N,gezin,семья
220,Familie::N,familie,семья
221,Großvater::N,grootvader,дедушка
222,Großmutter::N,grootmoeder,бабушка
223,Eltern::N,ouders,родители
224,Vater::N,vader,отец
225,Mutter::N,moeder,мать
226,Sohn::N,zoon,сын
227,Tochter::N,dochter,дочь
228,Bruder::N,broer,брат
229,Bruder::N,broeder,брат
230,Schwester::N,zus,сестра
231,Schwester::N,zuster,сестра
232,Onkel::N,oom,дядя
233,Tante::N,tante,тетя
234,Ehemann::N,echtgenoot,муж
235,Ehefrau::N,echtgenote,жена
236,Freude::N,vreugde,радость
237,Gelächter::N,gelach,смех
238,Glück::N,geluk,счастье
239,Kummer::N,verdriet,горе
240,Wunsch::N,wens,желание
241,Wunsch::N,verlangen,желание
242,Lust::N,zin,влечение
243,Lust::N,lust,влечение
244,Geist::N,geest,дух
245,Gedanke::N,gedachte,мысль
246,Gedächtnis::N,geheugen,память
247,Verstand::N,verstand,ум
248,Sinn::N,betekenis,смысл
249,Grund::N,reden,повод
250,Wahrheit::N,waarheid,правда
251,Gespräch::N,gesprek,беседа
252,Märchen::N,sprookje,сказка
253,Erzählung::N,verhaal,рассказ
254,Nachricht::N,tijding,сообщение
255,Neuigkeit::N,nieuws,новость
256,Neuigkeit::N,nieuwtje,новость
257,Name::N,naam,имя
258,Rätsel::N,raadsel,загадка
259,Rede::N,rede,речь
260,Sprache::N,taal,язык
261,Stimme::N,stem,голос
262,Wort::N,woord,слово
263,Zeichen::N,teken,знак
264,Ruf::N,roep,зов
