,Concept_ID,sv,uk
0,Auge::N,öga,око
1,Ohr::N,öra,вухо
2,Nase::N,näsa,ніс
3,Mund::N,mun,рот
4,Zahn::N,tand,зуб
5,Zunge::N,tunga,язик
6,Lippe::N,läpp,губа
7,Wange::N,kind,щока
8,Gesicht::N,syn,обличчя
9,Gesicht::N,ansikte,обличчя
10,Stirn::N,panna,лоб
11,Haar::N,hår,волосся
12,Schnurrbart::N,mustasch,вуса
13,Bart::N,skägg,борода
14,Kinn::N,haka,підборіддя
15,Kiefer[Anatomie]::N,käke,щелепа
16,Kehle::N,strupe,горло
17,Hals::N,hals,шия
18,Genick::N,nacke,потилиця
19,Kopf::N,huvud,голова
20,Rücken::N,rygg,спина
21,Bauch::N,buk,живіт
22,Bauch::N,mage,живіт
23,Nabel::N,navel,пупок
24,Busen::N,barm,груди
25,Brust::N,bröst,груди
26,Schulter::N,skuldra,плече
27,Arm::N,arm,рука
28,Ellenbogen::N,armbåge,лікоть
29,Hand::N,hand,рука
30,Handfläche::N,handflata,долоня
31,Finger::N,finger,палець
32,Fingernagel::N,fingernagel,ніготь
33,Nagel[Anatomie]::N,nagel,ніготь
34,Zeh::N,tå,палець на нозі
35,Fuß::N,fot,нога
36,Ferse::N,häl,п’ятка
37,Knie::N,knä,коліно
38,Oberschenkel::N,lår,стегно
39,Bein::N,ben,нога
40,Körper::N,kropp,тіло
41,Haut::N,hud,шкіра
42,Haut::N,skinn,шкіра
43,Blut::N,blod,кров
44,Ader::N,åder,вена
45,Sehne::N,sena,сухожилля
46,Knochen::N,ben,кістка
47,Gehirn::N,hjärna,мозок
48,Herz::N,hjärta,серце
49,Magen::N,mage,шлунок
50,Leber::N,lever,печінка
51,Atem::N,anda,дихання
52,Atem::N,andedräkt,дихання
53,Hunger::N,svält,голод
54,Hunger::N,hunger,голод
55,Träne::N,tår,сльоза
56,Geschmack::N,smak,смак
57,Geruch::N,lukt,запах
58,Schlaf::N,sömn,сон
59,Schlaf::N,sömn,сплячка
60,Traum::N,dröm,сон
61,Himmel::N,himmel,небо
62,Sonne::N,sol,сонце
63,Mond::N,måne,місяць
64,Stern::N,stjärna,зірка
65,Luft::N,luft,повітря
66,Wind::N,vind,вітер
67,Welle::N,våg,хвиля
68,Welle::N,bölja,хвиля
69,Wasser::N,vatten,вода
70,Stein::N,sten,камінь
71,Boden::N,mark,ґрунт
72,Erde::N,jord,земля
73,Staub::N,damm,пил
74,Rauch::N,rök,дим
75,Funke::N,gnista,іскра
76,Feuer::N,eld,вогонь
77,Licht::N,ljus,світло
78,Schatten::N,skugga,тінь
79,Wetter::N,väder,погода
80,Nebel::N,dimma,туман
81,Nebel::N,töcken,туман
82,Wolke::N,sky,хмара
83,Wolke::N,moln,хмара
84,Regen::N,regn,дощ
85,Schnee::N,snö,сніг
86,Eis::N,is,лід
87,Frost::N,frost,мороз
88,Kälte::N,köld,холод
89,Hitze::N,hetta,жар
90,Raureif::N,rimfrost,іній
91,Regenbogen::N,regnbåge,райдуга
92,Donner::N,åska,грім
93,Donner::N,dunder,грім
94,Strömung::N,strömning,струмина
95,Tropfen::N,dropper,крапля
96,Schaum::N,skum,піна
97,Schmutz::N,lort,бруд
98,Schmutz::N,smuts,бруд
99,See::N,sjö,озеро
