,Concept_ID,sv,mdf
0,Auge::N,öga,сельме
1,Ohr::N,öra,пиле
2,Nase::N,näsa,шалхка
3,Mund::N,mun,курга
4,Zahn::N,tand,пей
5,Zunge::N,tunga,кяль
6,Lippe::N,läpp,търва́
7,Wange::N,kind,щёка
8,Gesicht::N,syn,шама
9,Gesicht::N,ansikte,шама
10,Stirn::N,panna,коня
11,Haar::N,hår,шя́ярь
12,Schnurrbart::N,mustasch,уса́
13,Bart::N,skägg,сакал
14,Kinn::N,haka,ула
15,Kiefer[Anatomie]::N,käke,саласка
16,Kehle::N,strupe,кълдома
17,Kehle::N,strupe,кърга́парь
18,Hals::N,hals,сялдаз
19,Genick::N,nacke,шовонь
20,Kopf::N,huvud,пря
21,Rücken::N,rygg,копорь
22,Bauch::N,buk,пеке
23,Bauch::N,mage,пеке
24,Nabel::N,navel,по́кон
25,Busen::N,barm,потя
26,Brust::N,bröst,мяште
27,Schulter::N,skuldra,лафту
28,Arm::N,arm,кядь
29,Ellenbogen::N,armbåge,кенерьба́карь
30,Hand::N,hand,кядь
31,Handfläche::N,handflata,кядьлапш
32,Finger::N,finger,сур
33,Fingernagel::N,fingernagel,кенже
34,Nagel[Anatomie]::N,nagel,кенже
35,Zeh::N,tå,пильгосу́р
36,Fuß::N,fot,пильге
37,Fuß::N,fot,пильгелапа
38,Ferse::N,häl,кочкяря
39,Knie::N,knä,эль
40,Knie::N,knä,пълма́нжа
41,Oberschenkel::N,lår,пильгепукша
42,Bein::N,ben,пильге
43,Körper::N,kropp,ро́нга
44,Körper::N,kropp,по́нда
45,Haut::N,hud,киське
46,Haut::N,skinn,киське
47,Blut::N,blod,вер
48,Ader::N,åder,сан
49,Ader::N,åder,верза́н
50,Sehne::N,sena,коське сан
51,Knochen::N,ben,пакарь
52,Gehirn::N,hjärna,уй
53,Herz::N,hjärta,седи
54,Magen::N,mage,коткърдазь
55,Leber::N,lever,макса
56,Atem::N,anda,лекома
57,Atem::N,anda,ваймонь тарксема
58,Atem::N,andedräkt,лекома
59,Atem::N,andedräkt,ваймонь тарксема
60,Hunger::N,svält,вачеши
61,Hunger::N,hunger,вачеши
62,Träne::N,tår,сельмове́дь
63,Geschmack::N,smak,таньф
64,Geruch::N,lukt,шине
65,Schlaf::N,sömn,удома́
66,Traum::N,dröm,он
67,Himmel::N,himmel,менель
68,Sonne::N,sol,ши
69,Mond::N,måne,ков
70,Stern::N,stjärna,тяште
71,Luft::N,luft,кожф
72,Wind::N,vind,варма
73,Welle::N,våg,тавла
74,Welle::N,bölja,тавла
75,Wasser::N,vatten,ведь
76,Stein::N,sten,кев
77,Boden::N,mark,мода
78,Boden::N,mark,потмакс
79,Erde::N,jord,мода
80,Erde::N,jord,мастор
81,Staub::N,damm,пуль
82,Rauch::N,rök,качам
83,Funke::N,gnista,ця́тка
84,Feuer::N,eld,тол
85,Licht::N,ljus,ва́лда
86,Schatten::N,skugga,цильф
87,Wetter::N,väder,уша
88,Nebel::N,dimma,тума́н
89,Nebel::N,töcken,тума́н
90,Wolke::N,sky,ковол
91,Wolke::N,moln,ковол
92,Regen::N,regn,пизем
93,Schnee::N,snö,лов
94,Eis::N,is,эй
95,Frost::N,frost,ке́льме
96,Kälte::N,köld,якшама
97,Hitze::N,hetta,пси
98,Raureif::N,rimfrost,леш
99,Regenbogen::N,regnbåge,а́тямъёнга
100,Donner::N,åska,атям
101,Donner::N,dunder,атям
102,Strömung::N,strömning,шудема́
103,Tropfen::N,dropper,путькс
104,Tropfen::N,dropper,пътняфкс
105,Schaum::N,skum,шов
106,Schmutz::N,lort,ърда́з
107,Schmutz::N,smuts,ърда́з
108,See::N,sjö,эрьхке
109,Sumpf::N,träsk,шяй
110,Moor::N,myr,шяй
111,Moor::N,mosse,шяй
112,Wiese::N,äng,луга
113,Wald::N,skog,вирь
114,Hügel::N,höjd,губо́р
115,Hügel::N,höjd,пандоня
116,Hügel::N,kulle,губо́р
117,Hügel::N,kulle,пандоня
118,Anhöhe::N,höjd,губо́р
119,Anhöhe::N,backe,губо́р
120,Berg::N,berg,панда
121,Berg::N,fjäll,панда
122,Gipfel::N,topp,пря
123,Höhle::N,håla,у́нда
124,Höhle::N,grotta,у́нда
125,Abhang::N,slänt,па́нда ша́ма
126,Abhang::N,sluttning,па́нда ша́ма
127,Quelle::N,källa,эшиня
128,Bach::N,bäck,шудерькс
129,Fluss::N,älv,ляй
130,Fluss::N,flod,ляй
131,Ufer::N,strand,търва́
132,Küste::N,kust,ляйтърва́
133,Festland::N,fastland,мода
134,Meer::N,hav,моря
135,Bucht::N,vik,ведьуське
136,Bucht::N,bukt,ведьуське
137,Insel::N,ö,цёнга
138,Blume::N,blomma,панчф
139,Blume::N,blomster,панчф
140,Gras::N,gräs,тише
141,Wurzel::N,rot,юр
142,Wurzel::N,rot,ункс
143,Baum::N,träd,шуфта
144,Stamm::N,stam,ро́нга
145,Rinde::N,bark,кер
146,Ast::N,gren,морга
147,Zweig::N,kvist,тарад
148,Blatt::N,löv,лопа
149,Blatt::N,blad,лопа
150,Birke::N,björk,ке́лу
151,Kiefer[Baum]::N,tall,пиче
152,Weide[Baum]::N,pil,каль
153,Weide[Baum]::N,vide,каль
154,Tanne::N,gran,куз
155,Horn::N,horn,сюра
156,Feder::N,fjäder,толга
157,Fell::N,fäll,кедь
158,Fell::N,skinn,кедь
159,Flügel::N,vinge,паця
160,Klaue::N,klöv,кенже
161,Kralle::N,klo,кенже
162,Schwanz::N,svans,пула
163,Schwanz::N,stjärt,пула
164,Ei::N,ägg,ал
165,Nest::N,rede,пиза
166,Nest::N,näste,пиза
167,Bau::N,bo,пиза
168,Tier::N,djur,жува́та
169,Herde::N,flock,нал
170,Herde::N,flock,стада
171,Kuh::N,ko,скал
172,Kuh::N,ko,тракс
173,Bulle::N,tjur,бука
174,Pferd::N,häst,лишме
175,Schaf::N,får,уча́
176,Schwein::N,svin,тува
177,Hund::N,hund,пине
178,Katze::N,katt,катоня
179,Katze::N,katt,аваката
180,Bär::N,björn,офта
181,Eichhörnchen::N,ekorre,ур
182,Elch::N,älg,ся́рда
183,Fuchs::N,räv,келазь
184,Hase::N,hare,ну́мол
185,Maus::N,mus,шеер
186,Wolf::N,varg,върьгаз
187,Vogel::N,fågel,нармонь
188,Schwarm::N,svärm,ко́вол
189,Schwarm::N,svärm,ме́швеле
190,Huhn::N,höns,сараз
191,Hahn::N,tupp,а́тякш
192,Gans::N,gås,маци
193,Adler::N,örn,куцькан
194,Ente::N,anka,яксярга
195,Eule::N,uggla,ко́рож
196,Kranich::N,trana,ка́рга
197,Krähe::N,kråka,ва́рси
198,Kuckuck::N,gök,ку́ку
199,Schwan::N,svan,ло́ксти
200,Fisch::N,fisk,кал
201,Barsch::N,abborre,о́кунь
202,Hecht::N,gädda,щу́ка
203,Schlange[Tier]::N,orm,куй
204,Wurm::N,mask,сукс
205,Spinne::N,spindel,унжа́
206,Ameise::N,myra,панжам
207,Laus::N,lus,си
208,Mücke::N,mygga,ся́ське
209,Fliege::N,fluga,кару
210,Schmetterling::N,fjäril,ме́лав
211,Beere::N,bär,и́мож
212,Apfel::N,äpple,марь
213,Pilz::N,svamp,панга
214,Zwiebel::N,lök,шурьхкя́
215,Saat::N,sådd,видьмот
216,Korn::N,korn,сёра
217,Heu::N,hö,тише
218,Schale::N,skal,кедь
219,Grube::N,grop,лотка
220,Falle::N,fälla,туфкс
221,Falle::N,fälla,кунда́ма
222,Schlinge::N,snara,килькш
223,Spur::N,spår,пильгоки́
224,Asche::N,aska,кулу
225,Dreck::N,lort,ърда́з
226,Eisen::N,järn,кшни
227,Gold::N,guld,ока
228,Gold::N,guld,золота
229,Silber::N,silver,сия́
230,Kohle::N,kol,седь
231,Kohle::N,kol,седьвальмя
232,Glas::N,glas,кля́нцек
233,Lehm::N,lera,сёвонь
234,Sand::N,sand,шува́р
235,Mensch::N,människa,ломань
236,Mann::N,man,аля
237,Mann::N,man,цёраломань
238,Frau::N,kvinna,ава
239,Kind::N,barn,идь
240,Kind::N,barn,шаба
241,Junge::N,pojke,цёраня
242,Mädchen::N,flicka,стирня́
243,Familie::N,familj,тнал
244,Familie::N,familj,семья
245,Großvater::N,morfar,атя
246,Großvater::N,morfar,щя́тя
247,Großmutter::N,farmor,баба
248,Eltern::N,föräldrar,тя́дят-а́лят
249,Vater::N,far,аля
250,Mutter::N,mor,ава
251,Mutter::N,mor,тядя
252,Sohn::N,son,цёра
253,Tochter::N,dotter,стирь
254,Bruder::N,bror,дуган
255,Bruder::N,bror,пяльне
256,Schwester::N,syster,ака
257,Schwester::N,syster,сазор
258,Onkel::N,morbror,оця
259,Onkel::N,morbror,патя
260,Onkel::N,morbror,щеня́
261,Tante::N,tant,ака
262,Tante::N,tant,щака
263,Ehemann::N,äkta man,мирде
264,Ehefrau::N,hustru,ърьвя́
265,Freude::N,fröjd,ке́нярдема
266,Freude::N,glädje,ке́нярдема
267,Gelächter::N,åtlöje,рахсема
268,Glück::N,lycka,паваз
269,Kummer::N,sorg,ризф
270,Kummer::N,sorg,пичефкс
271,Wunsch::N,önskan,мяль
272,Wunsch::N,önskan,таколдома
273,Lust::N,lust,таколдома
274,Geist::N,ande,вайме
275,Gedanke::N,tanke,мяль
276,Gedächtnis::N,minne,прявий
277,Verstand::N,förstånd,прявий
278,Sinn::N,mening,ён
279,Sinn::N,betydelse,ён
280,Grund::N,skäl,туфта́л
281,Grund::N,grund,туфта́л
282,Wahrheit::N,sanning,ви́де
283,Wahrheit::N,sanning,видеши́
284,Gespräch::N,samtal,корхтама
285,Märchen::N,saga,ёфкс
286,Erzählung::N,berättelse,азкс
287,Nachricht::N,meddelande,куля́
288,Neuigkeit::N,nyhet,куля́
289,Name::N,namn,лем
290,Rätsel::N,gåta,со́дама ёфкс
291,Rede::N,tal,вал
292,Rede::N,tal,корхтама
293,Sprache::N,språk,кяль
294,Stimme::N,stämma,вайгяль
295,Wort::N,ord,вал
296,Zeichen::N,tecken,тя́ште
297,Zeichen::N,tecken,тя́штькс
298,Ruf::N,rop,тердема
299,Lärm::N,bråk,гайф
300,Lärm::N,bråk,жалакодома
301,Lärm::N,oväsen,гайф
302,Lärm::N,oväsen,жалакодома
303,Laut::N,ljud,вайгяль
304,Ton::N,ton,вайгяль
305,Lied::N,sång,мора
306,Ruhe::N,ro,сетьме
307,Ruhe::N,lugn,сетьме
308,Leute::N,folk,ломатть
309,Volk::N,folk,наро́д
310,Arbeit::N,arbete,тев
311,Gast::N,gäst,и́нжи
312,Gast::N,gäst,ко́нак
313,Geschenk::N,gåva,казне
314,Geschenk::N,present,казне
315,Spiel::N,lek,налхкома
316,Spiel::N,lek,налхксема
317,Spiel::N,spel,налхкома
318,Spiel::N,spel,налхксема
319,Gesellschaft::N,sällskap,кружок
320,Hilfe::N,hjälp,лездома
321,Freund::N,vän,я́лга
322,Kamerad::N,kamrat,я́лга
323,Angelegenheit::N,ärende,тев
324,Angelegenheit::N,angelägenhet,тев
325,Anzahl::N,antal,лувкс
326,Art::N,art,вид
327,Art::N,slag,вид
328,Stück::N,stycke,пакш
329,Teil::N,del,часть
330,Teil::N,del,пялькс
331,Hälfte::N,halva,пяле
332,Kreis::N,krets,шаркс
333,Kreis::N,cirkel,шаркс
334,Kreuz::N,kors,крёз
335,Kreuz::N,kryss,крёз
336,Linie::N,linje,межа
337,Linie::N,linje,китькс
338,Strich::N,streck,межа
339,Abstand::N,avstånd,ётка
340,Entfernung::N,avstånd,ётка
341,Gegend::N,trakt,ва́ста
342,Gegend::N,trakt,перьфпя́ль
343,Platz::N,plats,ва́ста
