,Concept_ID,xal,fr
0,Auge::N,нүдн,œil
1,Ohr::N,чикн,oreille
2,Nase::N,хамр,nez
3,Mund::N,амн,bouche
4,Zahn::N,шүдн,dent
5,Zunge::N,келн,langue
6,Lippe::N,урл,lèvre
7,Wange::N,халх,joue
8,Gesicht::N,нүр,face
9,Gesicht::N,нүр,visage
10,Stirn::N,маңна,front
11,Haar::N,үсн,cheveu
12,Schnurrbart::N,сахл,moustache
13,Bart::N,сахл,barbe
14,Bart::N,өргнә сахл,barbe
15,Kinn::N,өргн,menton
16,Kiefer[Anatomie]::N,өргн,mâchoire
17,Kehle::N,хол,gorge
18,Hals::N,күзүн,cou
19,Genick::N,гиҗг,nuque
20,Kopf::N,толһа,tête
21,Rücken::N,нурһн,dos
22,Bauch::N,гесн,ventre
23,Nabel::N,киисн,nombril
24,Busen::N,көкн,sein
25,Brust::N,чееҗ,poitrine
26,Schulter::N,ээм,épaule
27,Arm::N,һар,bras
28,Ellenbogen::N,тоха,coude
29,Hand::N,баһлцг,main
30,Handfläche::N,альхн,paume
31,Finger::N,хурһн,doigt
32,Finger::N,һарин хурһн,doigt
33,Fingernagel::N,хумсн,ongle
34,Nagel[Anatomie]::N,хумсн,ongle
35,Zeh::N,хурһн,orteil
36,Zeh::N,хурһн,doigt de pied
37,Zeh::N,көлин хурһн,orteil
38,Zeh::N,көлин хурһн,doigt de pied
39,Fuß::N,тавг,pied
40,Ferse::N,өскә,talon
41,Knie::N,өвдг,genou
42,Oberschenkel::N,һуй,cuisse
43,Bein::N,көл,jambe
44,Körper::N,махмуд,corps
45,Haut::N,арсн,peau
46,Blut::N,цусн,sang
47,Ader::N,судцн,veine
48,Sehne::N,шүрүсн,tendon
49,Knochen::N,ясн,os
50,Gehirn::N,экн,cerveau
51,Herz::N,зүркн,cœur
52,Magen::N,гесн,estomac
53,Leber::N,элкн,foie
54,Atem::N,әмсхл,haleine
55,Hunger::N,харһнлһн,faim
56,Träne::N,нульмсн,larme
57,Geschmack::N,амтн,goût
58,Geschmack::N,амтн,saveur
59,Geruch::N,үнр,odeur
60,Schlaf::N,нөр,sommeil
61,Traum::N,зүүдн,songe
62,Himmel::N,теңгр,ciel
63,Sonne::N,нарн,soleil
64,Mond::N,сар,lune
65,Stern::N,одн,étoile
66,Luft::N,аһар,air
67,Wind::N,салькн,vent
68,Welle::N,дольган,vague
69,Wasser::N,усн,eau
70,Stein::N,чолун,pierre
71,Boden::N,Һазр,sol
72,Boden::N,Һазр,terrain
73,Erde::N,Һазр,terre
74,Staub::N,тоосн,poussière
75,Rauch::N,утан,fumée
76,Funke::N,очн,étincelle
77,Feuer::N,һал,feu
78,Licht::N,герл,lumière
79,Schatten::N,сүүдр,ombre
80,Wetter::N,теңгр,temps
81,Nebel::N,будн,brume
82,Nebel::N,будн,brouillard
83,Wolke::N,үүлн,nuage
84,Regen::N,хур,pluie
85,Schnee::N,цасн,neige
86,Eis::N,мөсн,glace
87,Frost::N,киитн,gel
88,Frost::N,киитн,gelée
89,Kälte::N,киитн,froid
90,Hitze::N,халун,chaleur
91,Raureif::N,цаң,givre
92,Raureif::N,кирү,givre
93,Regenbogen::N,солңһ,arc-en-ciel
94,Donner::N,оһтрһун дун,tonnerre
95,Strömung::N,урсхл,courant
96,Tropfen::N,дусал,goutte
97,Schaum::N,көөсн,écume
98,Schaum::N,көөсн,mousse
99,Schmutz::N,кир,boue
100,Schmutz::N,кир,saleté
101,See::N,нур,lac
102,Sumpf::N,унул,marais
103,Sumpf::N,унул,marécage
104,Moor::N,улм,tourbière
105,Wiese::N,хадлһн,pré
106,Wald::N,ө-модн,bois
107,Wald::N,ө-модн,forêt
108,Hügel::N,толһа,coteau
109,Hügel::N,толһа,colline
110,Anhöhe::N,хамр,éminence
111,Anhöhe::N,хамр,élévation
112,Berg::N,уул,mont
113,Berg::N,уул,montagne
114,Gipfel::N,ора,cime
115,Gipfel::N,ора,sommet
116,Höhle::N,хадин көндә,caverne
117,Abhang::N,ташу,pente
118,Abhang::N,ташу,versant
119,Quelle::N,булг,source
120,Quelle::N,булг,fontaine
121,Bach::N,һооҗур,ruisseau
122,Fluss::N,һол,fleuve
123,Fluss::N,һол,rivière
124,Ufer::N,көвә,bord
125,Ufer::N,көвә,rivage
126,Küste::N,көвә,côte
127,Küste::N,теңгсин көвә,côte
128,Festland::N,хүүрә һазр,terre ferme
129,Meer::N,теңгс,mer
130,Bucht::N,цекә,baie
131,Bucht::N,теңгсин цекә,baie
132,Insel::N,арл,île
133,Blume::N,цецг,fleur
134,Gras::N,ноһан,herbe
135,Wurzel::N,уңг,racine
136,Baum::N,модн,arbre
137,Stamm::N,шилв,tronc
138,Stamm::N,һол модн,tronc
139,Rinde::N,көрсн,écorce
140,Ast::N,ац,branche
141,Zweig::N,ац,rameau
142,Blatt::N,хамтхасн,feuille
143,Birke::N,хусм модн,bouleau
144,Kiefer[Baum]::N,шар харһа,pin
145,Weide[Baum]::N,удн,saule
146,Tanne::N,җөөлн цаһан модн,sapin
147,Horn::N,өвр,corne
148,Feder::N,өрвлг,plume
149,Fell::N,арсн,peau
150,Flügel::N,җивр,aile
151,Klaue::N,хумсн,serre
152,Kralle::N,тавг,ongle
153,Kralle::N,тавг,griffe
154,Schwanz::N,сүл,queue
155,Ei::N,өндгн,œuf
156,Nest::N,үр,nid
157,Bau::N,нүкн,terrier
158,Tier::N,мал,animal
159,Herde::N,сүрг мал,troupeau
160,Kuh::N,үкр,vache
161,Bulle::N,бух,taureau
162,Pferd::N,мөрн,cheval
163,Schaf::N,хөн,mouton
164,Schwein::N,һаха,porc
165,Schwein::N,һаха,cochon
166,Hund::N,ноха,chien
167,Katze::N,мис,chat
168,Bär::N,аю,ours
169,Eichhörnchen::N,кермн,écureuil
170,Elch::N,хандһа,élan
171,Fuchs::N,арат,renard
172,Hase::N,туула,lièvre
173,Maus::N,хулһн,souris
174,Wolf::N,чон,loup
175,Vogel::N,шовун,oiseau
176,Schwarm::N,зел,nuée
177,Schwarm::N,зел,volée
178,Huhn::N,така,poule
179,Hahn::N,эр така,coq
180,Gans::N,һалун,oie
181,Adler::N,һәрд,aigle
182,Ente::N,нуһсн,canard
183,Eule::N,һурвлһ,hibou
184,Kranich::N,тоһрун,grue
185,Krähe::N,шаазһа,corneille
186,Kuckuck::N,эргин хуцдг,coucou
187,Schwan::N,хун,cygne
188,Fisch::N,заһсн,poisson
189,Barsch::N,шүрг,perche
190,Hecht::N,цурх,brochet
191,Schlange[Tier]::N,моһа,serpent
192,Wurm::N,өтн,ver
193,Spinne::N,аралҗн,araignée
194,Ameise::N,шорһлҗн,fourmi
195,Laus::N,бөөсн,pou
196,Mücke::N,бөкүн,moucheron
197,Fliege::N,батхн,mouche
198,Schmetterling::N,эрвәкә,papillon
199,Beere::N,бөөлҗрһн,baie
200,Apfel::N,альмн,pomme
201,Pilz::N,теңгрин ки,champignon
202,Zwiebel::N,мәңгрснә толһа,oignon
203,Saat::N,буудян экн,semence
204,Korn::N,экн,grain
205,Heu::N,өвсн,foin
206,Schale::N,хальсн,pelure
207,Grube::N,нүкн,fosse
208,Falle::N,урх,piège
209,Falle::N,хавх,piège
210,Schlinge::N,бүтү,lacs
211,Spur::N,мөр,trace
212,Asche::N,үмсн,cendre
213,Dreck::N,бальчг,crotte
214,Eisen::N,төмр,fer
215,Gold::N,алтн,or
216,Silber::N,мөңгн,argent
217,Silber::N,цаһан мөңгн,argent
218,Kohle::N,нүүрсн,charbon
219,Glas::N,шил,verre
220,Lehm::N,шавр,glaise
221,Sand::N,элсн,sable
222,Mensch::N,күн,homme
223,Mensch::N,күмн,homme
224,Mann::N,эр,homme
225,Frau::N,күүкд күн,femme
226,Kind::N,үрн,enfant
227,Junge::N,көвүн,garçon
228,Mädchen::N,бичкн күүкн,fille
229,Mädchen::N,бичкн күүкн,jeune fille
230,Familie::N,бүл,famille
231,Großvater::N,өвк эцк,grand-père
232,Großvater::N,наһц эцк,grand-père
233,Großmutter::N,эмг эк,grand-mère
234,Großmutter::N,наһц эк,grand-mère
235,Eltern::N,эк эцк хойр,parents
236,Vater::N,эцк,père
237,Mutter::N,эк,mère
238,Sohn::N,көвүн,fils
239,Tochter::N,күүкн,fille
240,Bruder::N,дү көвүн,frère
241,Schwester::N,эгч,sœur
242,Schwester::N,дү күүкн,sœur
243,Onkel::N,авһ,oncle
