,Concept_ID,ka,is
0,Auge::N,თვალი,auga
1,Ohr::N,ყური,eyra
2,Nase::N,ცხვირი,nef
3,Mund::N,პირი,munnur
4,Zahn::N,კბილი,tönn
5,Zunge::N,ენა,tunga
6,Lippe::N,ბაგე,vör
7,Wange::N,ლოყა,kinn
8,Wange::N,ლოყა,vangi
9,Gesicht::N,სახე,andlit
10,Stirn::N,შუბლი,enni
11,Haar::N,თმა,hár
12,Schnurrbart::N,ულვაში,yfirskegg
13,Bart::N,წვერი,skegg
14,Kinn::N,ნიკაპი,haka
15,Kiefer[Anatomie]::N,ყბა,kjálki
16,Kiefer[Anatomie]::N,ყბა,skoltur
17,Kehle::N,ყელი,kverk
18,Hals::N,ყელი,háls
19,Hals::N,კისერი,háls
20,Genick::N,კეფა,hnakki
21,Kopf::N,თავი,höfuð
22,Rücken::N,ზურგი,hryggur
23,Bauch::N,მუცელი,kviður
24,Nabel::N,ჭიპი,nafli
25,Busen::N,ძუძუ,barmur
26,Brust::N,მკერდი,brjóst
27,Schulter::N,მხარი,öxl
28,Schulter::N,მკლავი,öxl
29,Arm::N,ხელი,armur
30,Ellenbogen::N,იდაყვი,olnbogi
31,Hand::N,ხელი,hönd
32,Handfläche::N,ნები,lófi
33,Handfläche::N,ხელისგული,lófi
34,Finger::N,თითი,fingur
35,Fingernagel::N,ფრჩხილი,fingurnögl
36,Nagel[Anatomie]::N,ფრჩხილი,nögl
37,Zeh::N,ფეხის თითი,tá
38,Fuß::N,ტერფი,fótur
39,Fuß::N,ფეხისგული,fótur
40,Ferse::N,ქუსლი,hæll
41,Knie::N,მუხლი,kné
42,Oberschenkel::N,ბარძაყი,læri
43,Bein::N,ფეხი,fótleggur
44,Körper::N,ტანი,búkur
45,Körper::N,ტანი,líkami
46,Körper::N,სხეული,búkur
47,Körper::N,სხეული,líkami
48,Haut::N,კანი,húð
49,Haut::N,კანი,skinn
50,Blut::N,სისხლი,blóð
51,Ader::N,ძარღვი,æð
52,Sehne::N,მყესი,sin
53,Knochen::N,ძვალი,bein
54,Gehirn::N,ტვინი,heili
55,Herz::N,გული,hjarta
56,Magen::N,კუჭი,magi
57,Leber::N,ღვიძლი,lifur
58,Atem::N,სუნთქვა,andi
59,Atem::N,სუნთქვა,andardráttur
60,Hunger::N,შიმშილი,hungur
61,Träne::N,ცრემლი,tár
62,Geschmack::N,გემო,smekkur
63,Geruch::N,სუნი,lykt
64,Schlaf::N,ძილი,svefn
65,Traum::N,სიზმარი,draumur
66,Himmel::N,ცა,himinn
67,Sonne::N,მზე,sól
68,Mond::N,მთვარე,tungl
69,Stern::N,ვარსკვლავი,stjarna
70,Luft::N,ჰაერი,loft
71,Wind::N,ქარი,vindur
72,Welle::N,ტალღა,alda
73,Welle::N,ტალღა,bylgja
74,Wasser::N,წყალი,vatn
75,Stein::N,ქვა,steinn
76,Boden::N,მიწა,botn
77,Erde::N,ნიადაგი,jörð
78,Staub::N,მტვერი,ryk
79,Staub::N,მტვერი,duft
80,Rauch::N,ბოლი,reykur
81,Rauch::N,კვამლი,reykur
82,Funke::N,ნაკვესი,neisti
83,Feuer::N,ცეცხლი,eldur
84,Licht::N,შუქი,ljós
85,Licht::N,სინათლე,ljós
86,Schatten::N,ლანდი,skuggi
87,Schatten::N,ჩრდილი,skuggi
88,Wetter::N,ამინდი,veður
89,Nebel::N,ნისლი,þoka
90,Wolke::N,ღრუბელი,ský
91,Regen::N,წვიმა,regn
92,Schnee::N,თოვლი,snjór
93,Eis::N,თოში,ís
94,Eis::N,ყინული,ís
95,Frost::N,ყინვა,frost
96,Kälte::N,სიცივე,kuldi
97,Hitze::N,სიცხე,hiti
98,Raureif::N,ჭირხლი,hrím
99,Raureif::N,თრთვილი,hrím
100,Regenbogen::N,ცისარტყელა,regnbogi
101,Donner::N,ქუხილი,þruma
102,Strömung::N,დინება,straumur
103,Tropfen::N,წვეთი,dropi
104,Schaum::N,ქაფი,froða
105,Schaum::N,დორბლი,froða
106,Schmutz::N,ჭუჭყი,óhreinindi
107,Schmutz::N,ტალახი,óhreinindi
108,See::N,ტბა,stöðuvatn
109,Sumpf::N,ჭაობი,fen
110,Moor::N,ტორფნარი,mýri
111,Wiese::N,ველი,engi
112,Wiese::N,მდელო,engi
113,Wald::N,ტყე,skógur
114,Hügel::N,ბორცვი,hæð
115,Hügel::N,ბორცვი,hóll
116,Anhöhe::N,მაღლობი,hæð
117,Anhöhe::N,მაღლობი,hóll
118,Berg::N,მთა,fell
119,Berg::N,მთა,fjall
120,Gipfel::N,მწვერვალი,tindur
121,Höhle::N,მღვიმე,hellir
122,Höhle::N,გამოქვებული,hellir
123,Abhang::N,ფერდობი,hlíð
124,Abhang::N,ფერდობი,brekka
125,Quelle::N,წყარო,lind
126,Quelle::N,წყარო,uppspretta
127,Quelle::N,სათავე,lind
128,Quelle::N,სათავე,uppspretta
129,Bach::N,რუ,lækur
130,Bach::N,ნაკადული,lækur
131,Fluss::N,მდინარე,á
132,Fluss::N,მდინარე,fljót
133,Ufer::N,კიდე,árbakki
134,Ufer::N,კიდე,sjávarbakki
135,Ufer::N,ნაპირი,árbakki
136,Ufer::N,ნაპირი,sjávarbakki
137,Küste::N,ნაპირი,strönd
138,Festland::N,ხმელეთი,meginland
139,Meer::N,ზღვა,haf
140,Meer::N,ზღვა,sjór
141,Bucht::N,ყურე,vík
142,Insel::N,კუნძული,eyja
143,Blume::N,ყვავილი,blóm
144,Gras::N,ბალახი,gras
145,Wurzel::N,ძირი,rót
146,Wurzel::N,ფესვი,rót
147,Baum::N,ხე,tré
148,Stamm::N,ტანი,stofn
149,Rinde::N,ქერქი,börkur
150,Ast::N,ტოტი,grein
151,Zweig::N,შტო,angi
152,Zweig::N,შტო,kvistur
153,Blatt::N,ფოთოლი,blað
154,Birke::N,არყი,birki
155,Kiefer[Baum]::N,ფიჭვი,fura
156,Weide[Baum]::N,ტირიფი,víðir
157,Tanne::N,ნაძვი,greni
158,Horn::N,რქა,horn
159,Feder::N,ფრთა,fjöður
160,Fell::N,ტყავი,skinn
161,Flügel::N,ფრთა,vængur
162,Klaue::N,კლანჭი,kló
163,Kralle::N,ტორი,kló
164,Schwanz::N,კუდი,rófa
165,Schwanz::N,კუდი,skott
166,Ei::N,კვერცხი,egg
167,Nest::N,ბუდე,hreiður
168,Bau::N,სორო,greni
169,Bau::N,სორო,bæli
170,Tier::N,ნადირი,dýr
171,Tier::N,ცხოველი,dýr
172,Herde::N,ფარა,hjörð
173,Kuh::N,ფური,kýr
174,Kuh::N,ძროხა,kýr
175,Bulle::N,ხარი,boli
176,Pferd::N,რაში,hestur
177,Pferd::N,ცხენი,hestur
178,Schaf::N,ცხვარი,kind
179,Schwein::N,ღორი,svín
180,Hund::N,ძაღლი,hundur
181,Katze::N,კატა,köttur
182,Bär::N,დათვი,björn
183,Eichhörnchen::N,ციყვი,íkorni
184,Elch::N,ცხენ-ირემი,elgur
185,Fuchs::N,მელა,refur
186,Hase::N,კურდღელი,héri
187,Maus::N,თაგვი,mús
188,Wolf::N,მგელი,úlfur
189,Vogel::N,ჩიტი,fugl
190,Vogel::N,ფრინველი,fugl
191,Schwarm::N,გუნდი,sægur
192,Huhn::N,დედალი,hæna
193,Hahn::N,მამალი,hani
194,Gans::N,ბატი,gæs
195,Adler::N,არწივი,örn
196,Ente::N,იხვი,önd
197,Eule::N,ბუ,uggla
198,Kranich::N,წერო,trana
199,Krähe::N,ყვავი,kráka
200,Kuckuck::N,გუგული,gaukur
201,Schwan::N,გედი,svanur
202,Fisch::N,თევზი,fiskur
203,Barsch::N,ქორჭილა,aborri
