,Concept_ID,en,ja
0,Auge::N,eye,目
1,Ohr::N,ear,耳
2,Nase::N,nose,鼻
3,Mund::N,mouth,口
4,Zahn::N,tooth,歯
5,Zunge::N,tongue,舌
6,Lippe::N,lip,唇
7,Wange::N,cheek,頬
8,Gesicht::N,face,顔
9,Stirn::N,forehead,額
10,Haar::N,hair,髪
11,Schnurrbart::N,moustache,口髭
12,Bart::N,beard,髭
13,Kinn::N,chin,顎
14,Kiefer[Anatomie]::N,jaw,顎
15,Kehle::N,throat,喉
16,Hals::N,neck,首
17,Genick::N,nape,首
18,Kopf::N,head,頭
19,Rücken::N,back,背中
20,Rücken::N,spine,背中
21,Bauch::N,belly,腹
22,Bauch::N,belly,お腹
23,Nabel::N,navel,へそ
24,Busen::N,bosom,乳房
25,Brust::N,chest,胸
26,Brust::N,breast,胸
27,Schulter::N,shoulder,肩
28,Arm::N,arm,腕
29,Ellenbogen::N,elbow,肘
30,Hand::N,hand,手
31,Handfläche::N,palm,手のひら
32,Finger::N,finger,指
33,Fingernagel::N,fingernail,爪
34,Nagel[Anatomie]::N,nail,爪
35,Zeh::N,toe,足の指
36,Fuß::N,foot,足
37,Ferse::N,heel,かかと
38,Knie::N,knee,膝
39,Oberschenkel::N,thigh,上腿
40,Bein::N,leg,足
41,Körper::N,body,体
42,Haut::N,skin,皮膚
43,Blut::N,blood,血
44,Ader::N,vein,血管
45,Sehne::N,sinew,腱
46,Knochen::N,bone,骨
47,Gehirn::N,brain,脳
48,Herz::N,heart,心
49,Herz::N,heart,心臓
50,Magen::N,stomach,胃
51,Leber::N,liver,肝臓
52,Atem::N,breath,息
53,Atem::N,breath,呼吸
54,Hunger::N,hunger,空腹
55,Träne::N,tear,涙
56,Geschmack::N,flavour,味
57,Geschmack::N,flavor,味
58,Geruch::N,odour,匂い
59,Geruch::N,odor,匂い
60,Schlaf::N,sleep,睡眠
61,Traum::N,dream,夢
62,Himmel::N,sky,空
63,Sonne::N,sun,太陽
64,Mond::N,moon,月
65,Stern::N,star,星
66,Luft::N,air,空気
67,Wind::N,wind,風
68,Welle::N,wave,波
69,Wasser::N,water,水
70,Stein::N,stone,石
71,Boden::N,soil,土地
72,Boden::N,ground,土地
73,Erde::N,earth,土
74,Staub::N,dust,埃
75,Rauch::N,smoke,煙
76,Funke::N,spark,火花
77,Feuer::N,fire,火
78,Licht::N,light,光
79,Schatten::N,shadow,陰
80,Wetter::N,weather,天気
81,Nebel::N,fog,霧
82,Wolke::N,cloud,雲
83,Regen::N,rain,雨
84,Schnee::N,snow,雪
85,Eis::N,ice,氷
86,Frost::N,frost,霜
87,Kälte::N,chill,寒さ
88,Hitze::N,heat,暑さ
89,Raureif::N,hoarfrost,霧氷
90,Regenbogen::N,rainbow,虹
91,Donner::N,thunder,雷
92,Strömung::N,current,流れ
93,Tropfen::N,drop,滴
94,Schaum::N,foam,泡
95,Schmutz::N,dirt,汚れ
96,See::N,lake,湖
97,Sumpf::N,swamp,沼
98,Moor::N,moor,湿原
99,Wiese::N,meadow,草原
100,Wald::N,forest,森
101,Hügel::N,hill,丘
102,Anhöhe::N,elevation,高み
103,Berg::N,mountain,山
104,Gipfel::N,summit,頂上
105,Höhle::N,cave,洞窟
106,Abhang::N,slope,斜面
107,Quelle::N,source,泉
108,Bach::N,brook,小川
109,Fluss::N,river,川
110,Ufer::N,shore,岸
111,Küste::N,coast,海岸
112,Festland::N,land,陸
113,Meer::N,sea,海
114,Bucht::N,cove,湾
115,Insel::N,island,島
116,Blume::N,flower,花
117,Gras::N,grass,草
118,Wurzel::N,root,根
119,Baum::N,tree,木
120,Stamm::N,trunk,幹
121,Rinde::N,bark,皮層
122,Ast::N,limb,枝
123,Zweig::N,branch,小枝
124,Blatt::N,leaf,葉
125,Birke::N,birch,樺
126,Kiefer[Baum]::N,pine,松
127,Weide[Baum]::N,willow,柳
128,Tanne::N,fir,樅
129,Horn::N,horn,角
130,Feder::N,feather,羽根
131,Fell::N,fur,毛皮
132,Flügel::N,wing,羽
133,Klaue::N,claw,鉤爪
134,Kralle::N,claw,爪
135,Schwanz::N,tail,尻尾
136,Ei::N,egg,卵
137,Nest::N,nest,巣
138,Bau::N,lair,穴
139,Tier::N,animal,動物
140,Herde::N,flock,群れ
141,Kuh::N,cow,牛
142,Bulle::N,bull,雄牛
143,Pferd::N,horse,馬
144,Schaf::N,sheep,羊
145,Schwein::N,pig,豚
146,Hund::N,dog,犬
147,Katze::N,cat,猫
148,Bär::N,bear,熊
149,Eichhörnchen::N,squirrel,栗鼠
150,Elch::N,elk,ヘラジカ
151,Fuchs::N,fox,狐
152,Hase::N,hare,兎
153,Maus::N,mouse,鼠
154,Wolf::N,wolf,狼
155,Vogel::N,bird,鳥
156,Schwarm::N,swarm,群れ
157,Huhn::N,chicken,鶏
158,Hahn::N,cock,雄鶏
159,Gans::N,goose,ガチョウ
160,Adler::N,eagle,鷲
161,Ente::N,duck,鴨
162,Eule::N,owl,フクロウ
163,Kranich::N,crane,鶴
164,Krähe::N,crow,烏
165,Kuckuck::N,cuckoo,郭公
166,Schwan::N,swan,白鳥
167,Fisch::N,fish,魚
168,Barsch::N,perch,鱸
169,Hecht::N,pike,川魳
170,Schlange[Tier]::N,snake,蛇
171,Wurm::N,worm,虫
172,Spinne::N,spider,蜘蛛
173,Ameise::N,ant,蟻
174,Laus::N,louse,虱
175,Mücke::N,midge,蚊
176,Fliege::N,fly,蝿
177,Schmetterling::N,butterfly,蝶
178,Beere::N,berry,漿果
179,Apfel::N,apple,林檎
180,Pilz::N,mushroom,茸
181,Zwiebel::N,onion,玉葱
182,Saat::N,seed,種
183,Korn::N,grain,粒
184,Heu::N,hay,干し草
185,Schale::N,husk,皮
186,Grube::N,pit,穴
187,Falle::N,trap,わな
188,Schlinge::N,noose,輪
189,Spur::N,track,跡
190,Asche::N,ashes,灰
191,Dreck::N,filth,泥
192,Eisen::N,iron,鉄
193,Gold::N,gold,金
194,Silber::N,silver,銀
195,Kohle::N,coal,炭
196,Glas::N,glass,ガラス
197,Lehm::N,clay,ローム
198,Sand::N,sand,砂
199,Mensch::N,human,人
200,Mann::N,man,男
201,Mann::N,man,男性
202,Frau::N,woman,女
203,Frau::N,woman,女性
204,Kind::N,child,子
205,Kind::N,child,子供
206,Junge::N,boy,男の子
207,Mädchen::N,girl,女の子
208,Familie::N,family,家族
209,Großvater::N,grandfather,祖父
210,Großvater::N,grandfather,おじいさん
211,Großmutter::N,grandmother,祖母
212,Großmutter::N,grandmother,おばあさん
213,Eltern::N,parents,親
214,Eltern::N,parents,両親
215,Vater::N,father,父
216,Vater::N,father,お父さん
217,Mutter::N,mother,母
218,Mutter::N,mother,お母さん
219,Sohn::N,son,息子
220,Sohn::N,son,息子さん
221,Tochter::N,daughter,娘
222,Tochter::N,daughter,お嬢さん
223,Bruder::N,brother,弟
224,Schwester::N,sister,妹
225,Onkel::N,uncle,伯父
226,Onkel::N,uncle,伯父さん
227,Tante::N,aunt,叔母
228,Tante::N,aunt,叔母さん
