,Concept_ID,fr,eu
0,Auge::N,œil,begi
1,Ohr::N,oreille,belarri
2,Nase::N,nez,sudur
3,Mund::N,bouche,aho
4,Zahn::N,dent,hortz
5,Zunge::N,langue,mihi
6,Lippe::N,lèvre,ezpain
7,Wange::N,joue,masail
8,Gesicht::N,face,aurpegi
9,Gesicht::N,visage,aurpegi
10,Stirn::N,front,bekoki
11,Haar::N,cheveu,ile
12,Haar::N,cheveu,bilo
13,Schnurrbart::N,moustache,bibote
14,Schnurrbart::N,moustache,sudurpeko
15,Bart::N,barbe,bizar
16,Kinn::N,menton,kokots
17,Kiefer[Anatomie]::N,mâchoire,masailezur
18,Kehle::N,gorge,eztarri
19,Hals::N,cou,sama
20,Genick::N,nuque,garondo
21,Kopf::N,tête,buru
22,Rücken::N,dos,bizkar
23,Bauch::N,ventre,sabel
24,Nabel::N,nombril,zilbor
25,Busen::N,sein,titi
26,Busen::N,sein,ugatz
27,Brust::N,poitrine,bular
28,Schulter::N,épaule,besaburu
29,Arm::N,bras,beso
30,Ellenbogen::N,coude,ukondo
31,Hand::N,main,esku
32,Handfläche::N,paume,ahur
33,Finger::N,doigt,hatz
34,Fingernagel::N,ongle,azazkal
35,Nagel[Anatomie]::N,ongle,azazkal
36,Zeh::N,orteil,behatz
37,Zeh::N,doigt de pied,behatz
38,Fuß::N,pied,oin
39,Ferse::N,talon,orpo
40,Ferse::N,talon,oinburu
41,Knie::N,genou,belaun
42,Oberschenkel::N,cuisse,izter
43,Bein::N,jambe,zango
44,Körper::N,corps,soin
45,Haut::N,peau,azal
46,Blut::N,sang,odol
47,Ader::N,veine,zain
48,Sehne::N,tendon,gihar-zain
49,Knochen::N,os,hezur
50,Gehirn::N,cerveau,garun
51,Gehirn::N,cerveau,burmuin
52,Herz::N,cœur,bihotz
53,Magen::N,estomac,urdail
54,Leber::N,foie,gibel
55,Atem::N,haleine,hats
56,Atem::N,haleine,arnasa
57,Hunger::N,faim,gose
58,Träne::N,larme,malko
59,Geschmack::N,goût,dasta
60,Geschmack::N,saveur,dasta
61,Geruch::N,odeur,usain
62,Schlaf::N,sommeil,lo
63,Traum::N,songe,amets
64,Himmel::N,ciel,zeru
65,Sonne::N,soleil,eguzki
66,Mond::N,lune,ilargi
67,Stern::N,étoile,izar
68,Luft::N,air,aire
69,Wind::N,vent,haize
70,Welle::N,vague,uhin
71,Welle::N,vague,olatu
72,Wasser::N,eau,ur
73,Stein::N,pierre,harri
74,Boden::N,sol,lur
75,Boden::N,sol,zoru
76,Boden::N,terrain,lur
77,Boden::N,terrain,zoru
78,Erde::N,terre,lur
79,Staub::N,poussière,hauts
80,Rauch::N,fumée,ke
81,Funke::N,étincelle,zirta
82,Funke::N,étincelle,txinparta
83,Feuer::N,feu,su
84,Licht::N,lumière,argi
85,Schatten::N,ombre,itzal
86,Schatten::N,ombre,geriza
87,Wetter::N,temps,eguraldi
88,Nebel::N,brume,laino
89,Nebel::N,brouillard,laino
90,Wolke::N,nuage,hodei
91,Regen::N,pluie,euri
92,Schnee::N,neige,elur
93,Eis::N,glace,horma
94,Frost::N,gel,izotzaldi
95,Frost::N,gelée,izotzaldi
96,Kälte::N,froid,hotz
97,Hitze::N,chaleur,bero
98,Raureif::N,givre,antzigar
99,Regenbogen::N,arc-en-ciel,ostadar
100,Regenbogen::N,arc-en-ciel,ortzadar
101,Donner::N,tonnerre,ostots
102,Donner::N,tonnerre,ihurtzuri
103,Strömung::N,courant,laster
104,Tropfen::N,goutte,xorta
105,Schaum::N,écume,bits
106,Schaum::N,mousse,bits
107,Schmutz::N,boue,lohi
108,Schmutz::N,boue,zikin
109,Schmutz::N,saleté,lohi
110,Schmutz::N,saleté,zikin
111,See::N,lac,laku
112,See::N,lac,aintzira
113,Sumpf::N,marais,zingira
114,Sumpf::N,marécage,zingira
115,Moor::N,tourbière,zohikaztegi
116,Wiese::N,pré,larre
117,Wiese::N,pré,belardi
118,Wald::N,bois,baso
119,Wald::N,bois,oihan
120,Wald::N,forêt,baso
121,Wald::N,forêt,oihan
122,Hügel::N,coteau,muino
123,Hügel::N,coteau,pentoka
124,Hügel::N,colline,muino
125,Hügel::N,colline,pentoka
126,Anhöhe::N,éminence,garai
127,Anhöhe::N,éminence,goragune
128,Anhöhe::N,élévation,garai
129,Anhöhe::N,élévation,goragune
130,Berg::N,mont,mendi
131,Berg::N,montagne,mendi
132,Gipfel::N,cime,gain
133,Gipfel::N,cime,tontor
134,Gipfel::N,sommet,gain
135,Gipfel::N,sommet,tontor
136,Höhle::N,caverne,kobazulo
137,Abhang::N,pente,aldapa
138,Abhang::N,versant,aldapa
139,Quelle::N,source,iturri
140,Quelle::N,source,iturbegi
141,Quelle::N,fontaine,iturri
142,Quelle::N,fontaine,iturbegi
143,Bach::N,ruisseau,lats
144,Bach::N,ruisseau,erreka
145,Fluss::N,fleuve,ibai
146,Fluss::N,fleuve,uhaitz
147,Fluss::N,rivière,ibai
148,Fluss::N,rivière,uhaitz
149,Ufer::N,bord,bazter
150,Ufer::N,rivage,bazter
151,Küste::N,côte,itsasalde
152,Festland::N,terre ferme,lehor
153,Meer::N,mer,itsaso
154,Bucht::N,baie,golko
155,Insel::N,île,irla
156,Insel::N,île,uharte
157,Blume::N,fleur,lili
158,Gras::N,herbe,belar
159,Wurzel::N,racine,zuztar
160,Wurzel::N,racine,sustrai
161,Baum::N,arbre,zuhaitz
162,Stamm::N,tronc,enbor
163,Rinde::N,écorce,azal
164,Ast::N,branche,adar
165,Zweig::N,rameau,abar
166,Blatt::N,feuille,hosto
167,Birke::N,bouleau,urki
168,Kiefer[Baum]::N,pin,ler
169,Weide[Baum]::N,saule,zume
170,Weide[Baum]::N,saule,sahats
171,Tanne::N,sapin,izei
172,Horn::N,corne,adar
173,Feder::N,plume,luma
174,Feder::N,plume,hegaki
175,Fell::N,peau,ile
176,Fell::N,peau,larru
177,Flügel::N,aile,hego
178,Klaue::N,serre,atzapar
179,Kralle::N,ongle,erpe
180,Kralle::N,ongle,atzapar
181,Kralle::N,griffe,erpe
182,Kralle::N,griffe,atzapar
183,Schwanz::N,queue,isats
184,Schwanz::N,queue,buztan
185,Ei::N,œuf,arrautza
186,Nest::N,nid,habia
187,Bau::N,terrier,ohantze
188,Tier::N,animal,abere
189,Tier::N,animal,piztia
190,Herde::N,troupeau,saldo
191,Herde::N,troupeau,abere talde
192,Kuh::N,vache,behi
193,Bulle::N,taureau,zezen
194,Pferd::N,cheval,zaldi
195,Schaf::N,mouton,ardi
196,Schwein::N,porc,urde
197,Schwein::N,porc,txerri
198,Schwein::N,cochon,urde
199,Schwein::N,cochon,txerri
200,Hund::N,chien,txakur
201,Katze::N,chat,katu
202,Bär::N,ours,hartz
203,Eichhörnchen::N,écureuil,urtxintxa
204,Elch::N,élan,altze
205,Fuchs::N,renard,azeri
206,Hase::N,lièvre,erbi
207,Maus::N,souris,sagu
208,Wolf::N,loup,otso
209,Vogel::N,oiseau,txori
210,Vogel::N,oiseau,hegazti
211,Schwarm::N,nuée,aldra
212,Schwarm::N,volée,aldra
213,Huhn::N,poule,oilo
214,Hahn::N,coq,oilar
215,Gans::N,oie,antzara
216,Adler::N,aigle,arrano
217,Ente::N,canard,ahate
218,Eule::N,hibou,hontza
219,Kranich::N,grue,kurrilo
220,Krähe::N,corneille,bele
221,Kuckuck::N,coucou,kuku
222,Schwan::N,cygne,beltxarga
223,Fisch::N,poisson,arrain
224,Barsch::N,perche,perka
225,Hecht::N,brochet,lutxo
226,Schlange[Tier]::N,serpent,suge
227,Wurm::N,ver,har
228,Spinne::N,araignée,armiarma
229,Ameise::N,fourmi,inurri
230,Laus::N,pou,zorri
231,Mücke::N,moucheron,eltxo
232,Fliege::N,mouche,euli
233,Schmetterling::N,papillon,pinpirin
234,Schmetterling::N,papillon,tximeleta
235,Beere::N,baie,baia
236,Apfel::N,pomme,sagar
237,Pilz::N,champignon,onddo
238,Pilz::N,champignon,perretxiko
239,Zwiebel::N,oignon,tipula
240,Saat::N,semence,haziak
241,Korn::N,grain,ale
242,Korn::N,grain,pikor
243,Heu::N,foin,belar ondu
244,Schale::N,pelure,azal
245,Grube::N,fosse,hobi
246,Falle::N,piège,harrapagailu
247,Schlinge::N,lacs,bilur
248,Schlinge::N,lacs,xedera
249,Spur::N,trace,lorratz
250,Asche::N,cendre,errauts
251,Dreck::N,crotte,satsukeria
252,Eisen::N,fer,burdina
253,Gold::N,or,urre
254,Gold::N,or,urregorri
255,Silber::N,argent,zilar
256,Silber::N,argent,urrezuri
257,Kohle::N,charbon,ikatz
258,Glas::N,verre,beira
259,Lehm::N,glaise,buztin
260,Sand::N,sable,harea
261,Sand::N,sable,hondar
262,Mensch::N,homme,gizaki
263,Mann::N,homme,gizon
264,Frau::N,femme,andere
265,Frau::N,femme,emakume
266,Kind::N,enfant,haur
267,Junge::N,garçon,mutil
268,Mädchen::N,fille,neska
269,Mädchen::N,jeune fille,neska
270,Familie::N,famille,sendi
271,Familie::N,famille,familia
272,Großvater::N,grand-père,aitona
273,Großvater::N,grand-père,aitatxi
274,Großmutter::N,grand-mère,amona
275,Großmutter::N,grand-mère,amatxi
276,Eltern::N,parents,gurasoak
277,Vater::N,père,aita
278,Mutter::N,mère,ama
279,Sohn::N,fils,seme
280,Tochter::N,fille,alaba
281,Bruder::N,frère,neba
282,Bruder::N,frère,anaia
283,Schwester::N,sœur,ahizpa
284,Onkel::N,oncle,osaba
285,Tante::N,tante,izeba
286,Ehemann::N,mari,senar
287,Ehemann::N,époux,senar
288,Ehefrau::N,femme,emazte
289,Ehefrau::N,épouse,emazte
290,Freude::N,joie,poz
291,Freude::N,joie,pozkari
292,Freude::N,plaisir,poz
293,Freude::N,plaisir,pozkari
294,Gelächter::N,rires,barre
