,Concept_ID,lv,ro
0,Auge::N,син,ochi
1,Auge::N,acs,ochi
2,Ohr::N,пель,ureche
3,Ohr::N,auss,ureche
4,Nase::N,ныр,nas
5,Nase::N,deguns,nas
6,Mund::N,вом,gură
7,Mund::N,mute,gură
8,Zahn::N,пинь,dinte
9,Zahn::N,zobs,dinte
10,Zunge::N,кыв,limbă
11,Zunge::N,mēle,limbă
12,Lippe::N,вом дор,buză
13,Lippe::N,lūpa,buză
14,Wange::N,бан,bucă
15,Wange::N,бан,obraz
16,Wange::N,vaigs,bucă
17,Wange::N,vaigs,obraz
18,Gesicht::N,чужӧм,față
19,Gesicht::N,чужӧм,figură
20,Gesicht::N,seja,față
21,Gesicht::N,seja,figură
22,Gesicht::N,ģīmis,față
23,Gesicht::N,ģīmis,figură
24,Stirn::N,плеш,frunte
25,Stirn::N,кымӧс,frunte
26,Stirn::N,piere,frunte
27,Haar::N,си,păr
28,Haar::N,юрси,păr
29,Haar::N,mats,păr
30,Schnurrbart::N,ус,mustață
31,Schnurrbart::N,пыртсим,mustață
32,Schnurrbart::N,ūsas,mustață
33,Bart::N,тош,barbă
34,Bart::N,bārda,barbă
35,Kinn::N,тшӧка,bărbie
36,Kinn::N,zods,bărbie
37,Kinn::N,smakrs,bărbie
38,Kiefer[Anatomie]::N,черлы,falcă
39,Kiefer[Anatomie]::N,алака лы,falcă
40,Kiefer[Anatomie]::N,вомкӧтш лы,falcă
41,Kiefer[Anatomie]::N,žoklis,falcă
42,Kehle::N,голя,beregată
43,Kehle::N,rīkle,beregată
44,Hals::N,сьылі,gât
45,Hals::N,kakls,gât
46,Genick::N,юрбӧр,ceafă
47,Genick::N,балябӧж,ceafă
48,Genick::N,sprands,ceafă
49,Kopf::N,юр,cap
50,Kopf::N,galva,cap
51,Rücken::N,мыш,dos
52,Rücken::N,мыш,spate
53,Rücken::N,мыш,spinare
54,Rücken::N,mugura,dos
55,Rücken::N,mugura,spate
56,Rücken::N,mugura,spinare
57,Bauch::N,рушку,burtă
58,Bauch::N,рушку,pântece
59,Bauch::N,vēders,burtă
60,Bauch::N,vēders,pântece
61,Nabel::N,гӧг,buric
62,Nabel::N,naba,buric
63,Busen::N,морӧс,sân
64,Busen::N,krūts,sân
65,Brust::N,морӧс,piept
