,Concept_ID,cs,es
0,Auge::N,oko,ojo
1,Ohr::N,ucho,oreja
2,Nase::N,nos,nariz
3,Mund::N,pusa,boca
4,Zahn::N,zub,diente
5,Zunge::N,jazyk,lengua
6,Lippe::N,ret,labio
7,Wange::N,tvář,mejilla
8,Gesicht::N,obličej,cara
9,Stirn::N,čelo,frente
10,Haar::N,vlas,cabello
11,Haar::N,vlasy,cabello
12,Schnurrbart::N,kníry,bigote
13,Bart::N,vousy,barba
14,Kinn::N,brada,barbilla
15,Kiefer[Anatomie]::N,čelist,mandíbula
16,Kehle::N,hrdlo,garganta
17,Hals::N,krk,cuello
18,Genick::N,týl,nuca
19,Genick::N,týl,cerviz
20,Kopf::N,hlava,cabeza
21,Rücken::N,záda,espalda
22,Rücken::N,hřbet,espalda
23,Bauch::N,břicho,vientre
24,Nabel::N,pupek,ombligo
25,Busen::N,ňadra,pecho
26,Brust::N,prsa,pecho
27,Schulter::N,plece,hombro
28,Schulter::N,rameno,hombro
29,Arm::N,ruka,brazo
30,Ellenbogen::N,loket,codo
31,Hand::N,ruka,mano
32,Handfläche::N,dlaň,palma
33,Finger::N,prst,dedo
34,Fingernagel::N,nehet,uña
35,Nagel[Anatomie]::N,nehet,uña
36,Zeh::N,prst u nohy,dedo del pie
37,Fuß::N,noha,pie
38,Ferse::N,pata,talón
39,Knie::N,koleno,rodilla
40,Oberschenkel::N,stehno,muslo
41,Bein::N,noha,pierna
42,Körper::N,tělo,cuerpo
43,Haut::N,kůže,piel
44,Blut::N,krev,sangre
45,Ader::N,céva,vena
46,Sehne::N,šlacha,tendón
47,Knochen::N,kost,hueso
48,Gehirn::N,mozek,cerebro
49,Gehirn::N,mozek,encéfalo
50,Herz::N,srdce,corazón
51,Magen::N,žaludek,estómago
52,Leber::N,játra,hígado
53,Atem::N,dech,aliento
54,Hunger::N,hlad,hambre
55,Träne::N,slza,lágrima
56,Geschmack::N,vkus,gusto
57,Geruch::N,vůně,olor
58,Geruch::N,zápach,olor
59,Schlaf::N,spánek,sueño
60,Traum::N,sen,sueño
61,Traum::N,sen,ensueño
62,Himmel::N,nebe,cielo
63,Sonne::N,slunce,sol
64,Mond::N,měsíc,luna
65,Stern::N,hvězda,estrella
66,Luft::N,vzduch,aire
67,Wind::N,vítr,viento
68,Welle::N,vlna,ola
69,Welle::N,vlna,onda
70,Wasser::N,voda,agua
71,Stein::N,kámen,piedra
72,Boden::N,půda,suelo
73,Erde::N,země,tierra
74,Staub::N,prach,polvo
75,Rauch::N,dým,humo
76,Rauch::N,kouř,humo
77,Funke::N,jiskra,chispa
78,Feuer::N,oheň,fuego
79,Licht::N,světlo,luz
80,Schatten::N,stín,sombra
81,Wetter::N,počasí,tiempo
82,Nebel::N,mlha,niebla
83,Wolke::N,mrak,nube
84,Wolke::N,oblak,nube
85,Regen::N,déšť,lluvia
86,Schnee::N,sníh,nieve
87,Eis::N,led,hielo
88,Frost::N,mráz,helada
89,Kälte::N,chlad,frío
90,Hitze::N,horko,calor
91,Raureif::N,jinovatka,escarcha
92,Regenbogen::N,duha,arco iris
93,Donner::N,hrom,trueno
94,Strömung::N,proudění,corriente
95,Tropfen::N,kapka,gota
96,Schaum::N,pěna,espuma
97,Schmutz::N,špína,suciedad
98,See::N,jezero,lago
99,Sumpf::N,močál,pantano
100,Sumpf::N,bažina,pantano
101,Moor::N,bažina,turbera
102,Moor::N,slatina,turbera
103,Wiese::N,louka,prado
104,Wiese::N,louka,pradera
105,Wald::N,les,bosque
106,Hügel::N,kopec,colina
107,Anhöhe::N,pahorek,cerro
108,Berg::N,hora,monte
109,Berg::N,hora,montaña
110,Gipfel::N,vrchol,cima
111,Gipfel::N,vrchol,cumbre
112,Höhle::N,jeskyně,cueva
113,Höhle::N,jeskyně,caverna
114,Abhang::N,svah,cuesta
115,Abhang::N,svah,declive
116,Abhang::N,stráň,cuesta
117,Abhang::N,stráň,declive
118,Quelle::N,pramen,fuente
119,Quelle::N,pramen,manantial
120,Bach::N,potok,arroyo
121,Fluss::N,řeka,río
122,Ufer::N,břeh,orilla
123,Küste::N,pobřeží,costa
124,Festland::N,souš,tierra firme
125,Festland::N,pevnina,tierra firme
126,Meer::N,moře,mar
127,Bucht::N,záliv,cala
128,Bucht::N,záliv,bahía
129,Bucht::N,zátoka,cala
130,Bucht::N,zátoka,bahía
131,Insel::N,ostrov,isla
132,Blume::N,květina,flor
133,Gras::N,tráva,hierba
