,Concept_ID,en,sv
0,Auge::N,eye,öga
1,Ohr::N,ear,öra
2,Nase::N,nose,näsa
3,Mund::N,mouth,mun
4,Zahn::N,tooth,tand
5,Zunge::N,tongue,tunga
6,Lippe::N,lip,läpp
7,Wange::N,cheek,kind
8,Gesicht::N,face,syn
9,Gesicht::N,face,ansikte
10,Stirn::N,forehead,panna
11,Haar::N,hair,hår
12,Schnurrbart::N,moustache,mustasch
13,Bart::N,beard,skägg
14,Kinn::N,chin,haka
15,Kiefer[Anatomie]::N,jaw,käke
16,Kehle::N,throat,strupe
17,Hals::N,neck,hals
18,Genick::N,nape,nacke
19,Kopf::N,head,huvud
20,Rücken::N,back,rygg
21,Rücken::N,spine,rygg
22,Bauch::N,belly,buk
23,Bauch::N,belly,mage
24,Nabel::N,navel,navel
25,Busen::N,bosom,barm
26,Brust::N,chest,bröst
27,Brust::N,breast,bröst
28,Schulter::N,shoulder,skuldra
29,Arm::N,arm,arm
30,Ellenbogen::N,elbow,armbåge
31,Hand::N,hand,hand
32,Handfläche::N,palm,handflata
33,Finger::N,finger,finger
34,Fingernagel::N,fingernail,fingernagel
35,Nagel[Anatomie]::N,nail,nagel
36,Zeh::N,toe,tå
37,Fuß::N,foot,fot
38,Ferse::N,heel,häl
39,Knie::N,knee,knä
40,Oberschenkel::N,thigh,lår
41,Bein::N,leg,ben
42,Körper::N,body,kropp
43,Haut::N,skin,hud
44,Haut::N,skin,skinn
45,Blut::N,blood,blod
46,Ader::N,vein,åder
47,Sehne::N,sinew,sena
48,Knochen::N,bone,ben
49,Gehirn::N,brain,hjärna
50,Herz::N,heart,hjärta
51,Magen::N,stomach,mage
52,Leber::N,liver,lever
53,Atem::N,breath,anda
54,Atem::N,breath,andedräkt
55,Hunger::N,hunger,svält
56,Hunger::N,hunger,hunger
57,Träne::N,tear,tår
58,Geschmack::N,flavour,smak
59,Geschmack::N,flavor,smak
60,Geruch::N,odour,lukt
61,Geruch::N,odor,lukt
62,Schlaf::N,sleep,sömn
63,Traum::N,dream,dröm
64,Himmel::N,sky,himmel
65,Sonne::N,sun,sol
66,Mond::N,moon,måne
67,Stern::N,star,stjärna
68,Luft::N,air,luft
69,Wind::N,wind,vind
70,Welle::N,wave,våg
71,Welle::N,wave,bölja
72,Wasser::N,water,vatten
73,Stein::N,stone,sten
74,Boden::N,soil,mark
75,Boden::N,ground,mark
76,Erde::N,earth,jord
77,Staub::N,dust,damm
78,Rauch::N,smoke,rök
79,Funke::N,spark,gnista
80,Feuer::N,fire,eld
81,Licht::N,light,ljus
82,Schatten::N,shadow,skugga
83,Wetter::N,weather,väder
84,Nebel::N,fog,dimma
85,Nebel::N,fog,töcken
86,Wolke::N,cloud,sky
87,Wolke::N,cloud,moln
88,Regen::N,rain,regn
89,Schnee::N,snow,snö
90,Eis::N,ice,is
91,Frost::N,frost,frost
92,Kälte::N,chill,köld
93,Hitze::N,heat,hetta
94,Raureif::N,hoarfrost,rimfrost
95,Regenbogen::N,rainbow,regnbåge
96,Donner::N,thunder,åska
97,Donner::N,thunder,dunder
98,Strömung::N,current,strömning
99,Tropfen::N,drop,dropper
100,Schaum::N,foam,skum
101,Schmutz::N,dirt,lort
102,Schmutz::N,dirt,smuts
103,See::N,lake,sjö
104,Sumpf::N,swamp,träsk
105,Moor::N,moor,myr
106,Moor::N,moor,mosse
107,Wiese::N,meadow,äng
108,Wald::N,forest,skog
109,Hügel::N,hill,höjd
110,Hügel::N,hill,kulle
111,Anhöhe::N,elevation,höjd
112,Anhöhe::N,elevation,backe
113,Berg::N,mountain,berg
114,Berg::N,mountain,fjäll
115,Gipfel::N,summit,topp
116,Höhle::N,cave,håla
117,Höhle::N,cave,grotta
118,Abhang::N,slope,slänt
119,Abhang::N,slope,sluttning
120,Quelle::N,source,källa
121,Bach::N,brook,bäck
122,Fluss::N,river,älv
123,Fluss::N,river,flod
124,Ufer::N,shore,strand
125,Küste::N,coast,kust
126,Festland::N,land,fastland
127,Meer::N,sea,hav
128,Bucht::N,cove,vik
129,Bucht::N,cove,bukt
130,Insel::N,island,ö
131,Blume::N,flower,blomma
132,Blume::N,flower,blomster
133,Gras::N,grass,gräs
134,Wurzel::N,root,rot
135,Baum::N,tree,träd
136,Stamm::N,trunk,stam
137,Rinde::N,bark,bark
138,Ast::N,limb,gren
139,Zweig::N,branch,kvist
140,Blatt::N,leaf,löv
141,Blatt::N,leaf,blad
142,Birke::N,birch,björk
143,Kiefer[Baum]::N,pine,tall
144,Weide[Baum]::N,willow,pil
145,Weide[Baum]::N,willow,vide
146,Tanne::N,fir,gran
147,Horn::N,horn,horn
148,Feder::N,feather,fjäder
149,Fell::N,fur,fäll
150,Fell::N,fur,skinn
151,Flügel::N,wing,vinge
152,Klaue::N,claw,klöv
153,Kralle::N,claw,klo
154,Schwanz::N,tail,svans
155,Schwanz::N,tail,stjärt
156,Ei::N,egg,ägg
157,Nest::N,nest,rede
158,Nest::N,nest,näste
159,Bau::N,lair,bo
160,Tier::N,animal,djur
161,Herde::N,flock,flock
162,Kuh::N,cow,ko
163,Bulle::N,bull,tjur
164,Pferd::N,horse,häst
165,Schaf::N,sheep,får
166,Schwein::N,pig,svin
167,Hund::N,dog,hund
168,Katze::N,cat,katt
169,Bär::N,bear,björn
170,Eichhörnchen::N,squirrel,ekorre
171,Elch::N,elk,älg
172,Fuchs::N,fox,räv
173,Hase::N,hare,hare
174,Maus::N,mouse,mus
175,Wolf::N,wolf,varg
