,Concept_ID,hu,mdf
0,Auge::N,szem,сельме
1,Ohr::N,fül,пиле
2,Nase::N,orr,шалхка
3,Mund::N,száj,курга
4,Zahn::N,fog,пей
5,Zunge::N,nyelv,кяль
6,Lippe::N,ajak,търва́
7,Wange::N,orca,щёка
8,Gesicht::N,arc,шама
9,Stirn::N,homlok,коня
10,Haar::N,haj,шя́ярь
11,Schnurrbart::N,bajusz,уса́
12,Bart::N,szakáll,сакал
13,Kinn::N,áll,ула
14,Kiefer[Anatomie]::N,állkapocs,саласка
15,Kehle::N,gége,кълдома
16,Kehle::N,gége,кърга́парь
17,Kehle::N,torok,кълдома
18,Kehle::N,torok,кърга́парь
19,Hals::N,nyak,сялдаз
20,Genick::N,tarkó,шовонь
21,Kopf::N,fő,пря
22,Kopf::N,fej,пря
23,Rücken::N,hát,копорь
24,Bauch::N,has,пеке
25,Nabel::N,köldök,по́кон
26,Busen::N,mell,потя
27,Busen::N,kebel,потя
28,Brust::N,mell,мяште
29,Schulter::N,váll,лафту
30,Arm::N,kar,кядь
31,Ellenbogen::N,könyök,кенерьба́карь
32,Hand::N,kéz,кядь
33,Handfläche::N,tenyér,кядьлапш
34,Finger::N,ujj,сур
35,Fingernagel::N,köröm,кенже
36,Nagel[Anatomie]::N,köröm,кенже
37,Zeh::N,lábujj,пильгосу́р
38,Fuß::N,láb,пильге
39,Fuß::N,láb,пильгелапа
40,Ferse::N,sarok,кочкяря
41,Knie::N,térd,эль
42,Knie::N,térd,пълма́нжа
43,Oberschenkel::N,comb,пильгепукша
44,Bein::N,láb,пильге
45,Bein::N,lábszár,пильге
46,Körper::N,test,ро́нга
47,Körper::N,test,по́нда
48,Haut::N,bőr,киське
49,Blut::N,vér,вер
50,Ader::N,ér,сан
51,Ader::N,ér,верза́н
52,Sehne::N,ín,коське сан
53,Knochen::N,csont,пакарь
54,Gehirn::N,agy,уй
55,Gehirn::N,agyvelő,уй
56,Herz::N,szív,седи
57,Magen::N,gyomor,коткърдазь
58,Leber::N,máj,макса
59,Atem::N,lehelet,лекома
60,Atem::N,lehelet,ваймонь тарксема
61,Atem::N,lélegzet,лекома
62,Atem::N,lélegzet,ваймонь тарксема
63,Hunger::N,éhség,вачеши
64,Träne::N,könny,сельмове́дь
65,Geschmack::N,íz,таньф
66,Geruch::N,szag,шине
67,Schlaf::N,álom,удома́
68,Schlaf::N,alvás,удома́
69,Traum::N,álom,он
70,Himmel::N,ég,менель
71,Himmel::N,menny,менель
72,Sonne::N,nap,ши
73,Mond::N,hold,ков
74,Stern::N,csillag,тяште
75,Luft::N,levegő,кожф
76,Wind::N,szél,варма
77,Welle::N,hullám,тавла
78,Wasser::N,víz,ведь
79,Stein::N,kő,кев
80,Boden::N,föld,мода
81,Boden::N,föld,потмакс
82,Boden::N,talaj,мода
83,Boden::N,talaj,потмакс
84,Erde::N,föld,мода
85,Erde::N,föld,мастор
86,Staub::N,por,пуль
87,Rauch::N,füst,качам
88,Funke::N,szikra,ця́тка
89,Feuer::N,tűz,тол
90,Licht::N,fény,ва́лда
91,Schatten::N,árnyék,цильф
92,Wetter::N,idő,уша
93,Wetter::N,időjárás,уша
94,Nebel::N,köd,тума́н
95,Wolke::N,felhő,ковол
96,Regen::N,eső,пизем
97,Schnee::N,hó,лов
98,Eis::N,jég,эй
99,Frost::N,fagy,ке́льме
100,Kälte::N,hideg,якшама
101,Hitze::N,hő,пси
102,Hitze::N,hőség,пси
103,Raureif::N,zúzmara,леш
104,Regenbogen::N,szivárvány,а́тямъёнга
105,Donner::N,dörgés,атям
106,Donner::N,mennydörgés,атям
107,Strömung::N,áramlat,шудема́
108,Tropfen::N,csepp,путькс
109,Tropfen::N,csepp,пътняфкс
110,Schaum::N,hab,шов
111,Schaum::N,tajték,шов
112,Schmutz::N,piszok,ърда́з
113,See::N,tó,эрьхке
114,Sumpf::N,mocsár,шяй
115,Moor::N,láp,шяй
116,Wiese::N,rét,луга
117,Wiese::N,mező,луга
118,Wald::N,erdő,вирь
119,Hügel::N,domb,губо́р
120,Hügel::N,domb,пандоня
121,Anhöhe::N,magaslat,губо́р
122,Berg::N,hegy,панда
123,Gipfel::N,csúcs,пря
124,Höhle::N,barlang,у́нда
125,Abhang::N,lejtő,па́нда ша́ма
126,Quelle::N,forrás,эшиня
127,Bach::N,patak,шудерькс
128,Fluss::N,folyó,ляй
129,Ufer::N,part,търва́
130,Küste::N,tengerpart,ляйтърва́
131,Festland::N,szárazföld,мода
132,Meer::N,tenger,моря
133,Bucht::N,öböl,ведьуське
134,Insel::N,sziget,цёнга
135,Blume::N,virág,панчф
136,Gras::N,fű,тише
137,Wurzel::N,gyökér,юр
138,Wurzel::N,gyökér,ункс
139,Baum::N,fa,шуфта
140,Stamm::N,tő,ро́нга
141,Stamm::N,törzs,ро́нга
142,Rinde::N,kéreg,кер
143,Ast::N,ág,морга
144,Zweig::N,gally,тарад
145,Blatt::N,levél,лопа
146,Birke::N,nyír,ке́лу
147,Kiefer[Baum]::N,fenyő,пиче
148,Weide[Baum]::N,fűz,каль
149,Tanne::N,fenyő,куз
150,Horn::N,szarv,сюра
151,Feder::N,toll,толга
152,Fell::N,szőr,кедь
153,Fell::N,bunda,кедь
154,Flügel::N,szárny,паця
155,Klaue::N,köröm,кенже
156,Kralle::N,karom,кенже
157,Schwanz::N,farok,пула
158,Ei::N,tojás,ал
159,Nest::N,fészek,пиза
160,Bau::N,odú,пиза
161,Tier::N,állat,жува́та
162,Herde::N,nyáj,нал
163,Herde::N,nyáj,стада
164,Herde::N,csorda,нал
165,Herde::N,csorda,стада
166,Kuh::N,tehén,скал
167,Kuh::N,tehén,тракс
168,Bulle::N,bika,бука
169,Pferd::N,ló,лишме
170,Schaf::N,juh,уча́
171,Schaf::N,birka,уча́
172,Schwein::N,sertés,тува
173,Hund::N,eb,пине
174,Hund::N,kutya,пине
175,Katze::N,macska,катоня
176,Katze::N,macska,аваката
177,Bär::N,medve,офта
178,Eichhörnchen::N,mókus,ур
179,Elch::N,jávorszarvas,ся́рда
180,Fuchs::N,róka,келазь
181,Hase::N,nyúl,ну́мол
182,Maus::N,egér,шеер
183,Wolf::N,farkas,върьгаз
184,Vogel::N,madár,нармонь
185,Schwarm::N,raj,ко́вол
186,Schwarm::N,raj,ме́швеле
187,Huhn::N,tyúk,сараз
188,Hahn::N,kakas,а́тякш
189,Gans::N,lúd,маци
190,Gans::N,liba,маци
191,Adler::N,sas,куцькан
192,Ente::N,kacsa,яксярга
193,Eule::N,bagoly,ко́рож
194,Kranich::N,daru,ка́рга
195,Krähe::N,varjú,ва́рси
196,Kuckuck::N,kakukk,ку́ку
197,Schwan::N,hattyú,ло́ксти
198,Fisch::N,hal,кал
199,Barsch::N,sügér,о́кунь
200,Hecht::N,csuka,щу́ка
201,Schlange[Tier]::N,kígyó,куй
202,Wurm::N,kukac,сукс
203,Spinne::N,pók,унжа́
204,Ameise::N,hangya,панжам
205,Laus::N,tetű,си
206,Mücke::N,szúnyog,ся́ське
207,Fliege::N,légy,кару
208,Schmetterling::N,lepke,ме́лав
209,Schmetterling::N,pillangó,ме́лав
210,Beere::N,bogyó,и́мож
211,Apfel::N,alma,марь
212,Pilz::N,gomba,панга
213,Zwiebel::N,hagyma,шурьхкя́
214,Saat::N,vetőmag,видьмот
215,Korn::N,mag,сёра
216,Korn::N,szem,сёра
217,Heu::N,széna,тише
218,Schale::N,héj,кедь
219,Grube::N,verem,лотка
220,Falle::N,csapda,туфкс
221,Falle::N,csapda,кунда́ма
222,Schlinge::N,tőr,килькш
223,Spur::N,nyom,пильгоки́
224,Asche::N,hamu,кулу
225,Dreck::N,sár,ърда́з
226,Dreck::N,piszok,ърда́з
227,Eisen::N,vas,кшни
228,Gold::N,arany,ока
229,Gold::N,arany,золота
230,Silber::N,ezüst,сия́
231,Kohle::N,szén,седь
232,Kohle::N,szén,седьвальмя
233,Glas::N,üveg,кля́нцек
234,Lehm::N,agyag,сёвонь
235,Lehm::N,vályog,сёвонь
236,Sand::N,homok,шува́р
237,Mensch::N,ember,ломань
238,Mann::N,úr,аля
239,Mann::N,úr,цёраломань
240,Mann::N,férfi,аля
241,Mann::N,férfi,цёраломань
242,Frau::N,nő,ава
243,Frau::N,asszony,ава
244,Kind::N,gyerek,идь
245,Kind::N,gyerek,шаба
246,Kind::N,gyermek,идь
247,Kind::N,gyermek,шаба
248,Junge::N,fiú,цёраня
249,Mädchen::N,lány,стирня́
250,Familie::N,család,тнал
251,Familie::N,család,семья
252,Großvater::N,nagyapa,атя
253,Großvater::N,nagyapa,щя́тя
254,Großmutter::N,nagyanya,баба
255,Eltern::N,szülők,тя́дят-а́лят
256,Vater::N,apa,аля
257,Vater::N,atya,аля
258,Mutter::N,anya,ава
259,Mutter::N,anya,тядя
260,Sohn::N,fiú,цёра
261,Tochter::N,lány,стирь
262,Bruder::N,fivér,дуган
263,Bruder::N,fivér,пяльне
264,Bruder::N,testvér,дуган
265,Bruder::N,testvér,пяльне
266,Schwester::N,nővér,ака
267,Schwester::N,nővér,сазор
268,Schwester::N,lánytestvér,ака
269,Schwester::N,lánytestvér,сазор
270,Onkel::N,nagybácsi,оця
271,Onkel::N,nagybácsi,патя
272,Onkel::N,nagybácsi,щеня́
273,Tante::N,nagynéni,ака
274,Tante::N,nagynéni,щака
275,Ehemann::N,férj,мирде
276,Ehefrau::N,feleség,ърьвя́
277,Freude::N,öröm,ке́нярдема
278,Gelächter::N,nevetés,рахсема
279,Gelächter::N,hahotázás,рахсема
280,Glück::N,boldogság,паваз
281,Kummer::N,bánat,ризф
282,Kummer::N,bánat,пичефкс
283,Wunsch::N,óhaj,мяль
284,Wunsch::N,óhaj,таколдома
285,Lust::N,kedv,таколдома
286,Geist::N,elme,вайме
287,Geist::N,szellem,вайме
288,Gedanke::N,gondolat,мяль
289,Gedächtnis::N,emlékezet,прявий
290,Verstand::N,ész,прявий
291,Verstand::N,értelem,прявий
292,Sinn::N,értelem,ён
293,Grund::N,ok,туфта́л
294,Grund::N,alap,туфта́л
295,Wahrheit::N,igaz,ви́де
296,Wahrheit::N,igaz,видеши́
297,Wahrheit::N,igazság,ви́де
298,Wahrheit::N,igazság,видеши́
299,Gespräch::N,beszélgetés,корхтама
300,Märchen::N,mese,ёфкс
301,Erzählung::N,elbeszélés,азкс
302,Nachricht::N,hír,куля́
303,Nachricht::N,híradás,куля́
304,Neuigkeit::N,újság,куля́
305,Name::N,név,лем
306,Rätsel::N,rejtvény,со́дама ёфкс
307,Rede::N,beszéd,вал
308,Rede::N,beszéd,корхтама
309,Rede::N,szónoklat,вал
310,Rede::N,szónoklat,корхтама
311,Sprache::N,nyelv,кяль
312,Stimme::N,hang,вайгяль
313,Wort::N,szó,вал
314,Zeichen::N,jel,тя́ште
315,Zeichen::N,jel,тя́штькс
316,Ruf::N,kiáltás,тердема
317,Lärm::N,zaj,гайф
318,Lärm::N,zaj,жалакодома
319,Laut::N,hang,вайгяль
320,Ton::N,hang,вайгяль
321,Lied::N,dal,мора
322,Lied::N,ének,мора
323,Ruhe::N,csend,сетьме
324,Ruhe::N,nyugalom,сетьме
325,Leute::N,emberek,ломатть
326,Volk::N,nép,наро́д
327,Arbeit::N,dolog,тев
328,Gast::N,vendég,и́нжи
329,Gast::N,vendég,ко́нак
330,Geschenk::N,ajándék,казне
331,Spiel::N,játék,налхкома
332,Spiel::N,játék,налхксема
333,Gesellschaft::N,társaság,кружок
334,Hilfe::N,segítség,лездома
335,Freund::N,barát,я́лга
336,Kamerad::N,társ,я́лга
337,Angelegenheit::N,ügy,тев
338,Anzahl::N,szám,лувкс
339,Art::N,faj,вид
340,Art::N,fajta,вид
341,Stück::N,darab,пакш
342,Teil::N,rész,часть
343,Teil::N,rész,пялькс
344,Hälfte::N,fél,пяле
345,Kreis::N,kör,шаркс
346,Kreuz::N,kereszt,крёз
347,Linie::N,vonal,межа
348,Linie::N,vonal,китькс
349,Strich::N,vonás,межа
350,Abstand::N,köz,ётка
351,Entfernung::N,távolság,ётка
352,Gegend::N,táj,ва́ста
353,Gegend::N,táj,перьфпя́ль
354,Gegend::N,vidék,ва́ста
355,Gegend::N,vidék,перьфпя́ль
356,Platz::N,hely,ва́ста
357,Ort::N,hely,ва́ста
358,Seite::N,fél,пяле
359,Seite::N,oldal,пяле
360,Mitte::N,közép,кучка́
361,Gegenstand::N,tárgy,веща
362,Sache::N,dolog,тев
363,Sache::N,dolog,веща
364,Rand::N,szél,пе
365,Rand::N,perem,пе
366,Rand::N,szegély,пе
367,Kante::N,él,и́рдез
368,Ecke::N,sarok,ужа
369,Ecke::N,szöglet,ужа
370,Spitze::N,csúcs,пря
371,Ende::N,vég,пе
372,Loch::N,lyuk,варя
373,Winkel::N,szög,ужа
374,Muster::N,minta,сёрма
375,Größe::N,nagyság,серь
376,Länge::N,hossz,кува́лма
377,Länge::N,hosszúság,кува́лма
378,Höhe::N,magasság,серь
379,Gewicht::N,súly,сталма
380,Menge::N,sokaság,лувкс
381,Menge::N,mennyiség,лувкс
382,Haufen::N,halom,мар
383,Reihe::N,sor,ряд
384,Boot::N,csónak,венеж
385,Ruder::N,evező,миле
386,Schlitten::N,szánkó,ну́рда
387,Ski::N,sí,сокс
388,Lagerfeuer::N,tábortűz,то́лмар
389,Last::N,teher,канкс
390,Last::N,teher,сталма
391,Gang::N,járás,молема
392,Schritt::N,lépés,аськолкс
393,Norden::N,észak,якшама шире
394,Süden::N,dél,ля́мбе ши́ре
395,Westen::N,nyugat,ши валгома шире
396,Osten::N,kelet,шинь стяма шире
397,Holz::N,fa,вирь
398,Holz::N,fa,шуфта
399,Brett::N,deszka,лавця
400,Platte::N,lap,плита́
401,Platte::N,lemez,плита́
402,Stütze::N,támasz,неже
403,Stütze::N,támaszték,неже
404,Stange::N,rúd,олга
405,Stange::N,pózna,олга
406,Stock::N,pálca,байдек
407,Stab::N,bot,олгоня
408,Rohr::N,cső,турама
409,Haus::N,ház,куд
410,Heim::N,otthon,куд
411,Ofen::N,kályha,пянакуд
412,Fußboden::N,padló,кия́кс
413,Tisch::N,asztal,шра
414,Tisch::N,asztal,моркш
415,Stuhl::N,szék,стул
416,Wiege::N,bölcső,нюря́м
417,Bett::N,ágy,ацам
418,Regal::N,polc,лавцяланга
419,Regal::N,állvány,лавцяланга
420,Kiste::N,láda,парга
421,Fenster::N,ablak,валмья
422,Tür::N,ajtó,кенкш
423,Tor::N,kapu,ортат
424,Zaun::N,kerítés,перяфкс
425,Dach::N,tető,кудпря
426,Leiter::N,létra,куцема
427,Besen::N,seprű,тяльме
428,Spaten::N,ásó,ка́йме
429,Schaufel::N,lapát,ко́поня
430,Schaufel::N,lapát,ця́рдом
431,Gabel::N,villa,ця́нгоня
432,Löffel::N,kanál,куцю
433,Messer::N,kés,пеель
434,Nagel::N,szeg,эска
435,Netz::N,háló,
436,Haken::N,kampó,кя́чказ
