,Concept_ID,mdf,hi
0,Auge::N,сельме,आँख
1,Auge::N,сельме,चक्षु
2,Ohr::N,пиле,कान
3,Ohr::N,пиле,कर्ण
4,Nase::N,шалхка,नाक
5,Nase::N,шалхка,नासा
6,Mund::N,курга,मुख
7,Mund::N,курга,मुँह
8,Zahn::N,пей,दंत
9,Zahn::N,пей,दाँत
10,Zunge::N,кяль,जीभ
11,Zunge::N,кяль,ज़बान
12,Zunge::N,кяль,जिह्वा
13,Lippe::N,търва́,ओंठ
14,Lippe::N,търва́,होंठ
15,Wange::N,щёка,गाल
16,Wange::N,щёка,कपोल
17,Gesicht::N,шама,मुँह
18,Gesicht::N,шама,चेहरा
19,Stirn::N,коня,माथा
20,Stirn::N,коня,मस्तक
21,Haar::N,шя́ярь,बाल
22,Schnurrbart::N,уса́,मूँछें
23,Bart::N,сакал,दाढ़ी
24,Kinn::N,ула,चिबुक
25,Kiefer[Anatomie]::N,саласка,जबड़ा
26,Kehle::N,кълдома,गला
27,Kehle::N,кърга́парь,गला
28,Hals::N,сялдаз,गला
29,Hals::N,сялдаз,गरदन
30,Genick::N,шовонь,गरदन
31,Genick::N,шовонь,ग्रीवा
32,Kopf::N,пря,सिर
33,Kopf::N,пря,शीर्ष
34,Rücken::N,копорь,पीठ
35,Bauch::N,пеке,उदर
36,Nabel::N,по́кон,नाभि
37,Nabel::N,по́кон,ढोंढी
38,Busen::N,потя,कुच
39,Busen::N,потя,स्तन
40,Brust::N,мяште,वक्ष
41,Schulter::N,лафту,कंधा
42,Schulter::N,лафту,स्कंध
43,Arm::N,кядь,बाँह
44,Arm::N,кядь,बाज़ू
45,Ellenbogen::N,кенерьба́карь,कुहनी
46,Hand::N,кядь,हाथ
47,Hand::N,кядь,हस्त
48,Handfläche::N,кядьлапш,हथेली
49,Finger::N,сур,उँगली
50,Finger::N,сур,अँगुली
51,Fingernagel::N,кенже,नख
52,Fingernagel::N,кенже,नाख़ून
53,Nagel[Anatomie]::N,кенже,नख
54,Nagel[Anatomie]::N,кенже,नाख़ून
55,Zeh::N,пильгосу́р,उँगली
56,Zeh::N,пильгосу́р,पाँव की उँगली
57,Fuß::N,пильге,चरण
58,Fuß::N,пильге,पाँव
59,Fuß::N,пильгелапа,चरण
60,Fuß::N,пильгелапа,पाँव
61,Ferse::N,кочкяря,एड़ी
62,Knie::N,эль,जानु
63,Knie::N,эль,घुटना
64,Knie::N,пълма́нжа,जानु
65,Knie::N,пълма́нжа,घुटना
66,Oberschenkel::N,пильгепукша,उरु
67,Bein::N,пильге,टाँग
68,Körper::N,ро́нга,तन
69,Körper::N,ро́нга,देह
70,Körper::N,ро́нга,शरीर
71,Körper::N,по́нда,तन
72,Körper::N,по́нда,देह
73,Körper::N,по́нда,शरीर
74,Haut::N,киське,चर्म
75,Haut::N,киське,त्वचा
76,Blut::N,вер,लहू
77,Blut::N,вер,ख़ून
78,Ader::N,сан,रग
79,Ader::N,сан,शिरा
80,Ader::N,верза́н,रग
81,Ader::N,верза́н,शिरा
82,Sehne::N,коське сан,कंडरा
83,Sehne::N,коське сан,स्नायु
84,Knochen::N,пакарь,अस्थि
85,Gehirn::N,уй,दिमाग़
86,Gehirn::N,уй,मस्तिष्क
87,Herz::N,седи,दिल
88,Herz::N,седи,हृदय
89,Magen::N,коткърдазь,मेदा
90,Magen::N,коткърдазь,अमाशय
