,Concept_ID,be,de
0,Auge::N,вока,Auge
1,Ohr::N,вуха,Ohr
2,Nase::N,нос,Nase
3,Mund::N,рот,Mund
4,Zahn::N,зуб,Zahn
5,Zunge::N,язык,Zunge
6,Lippe::N,губа,Lippe
7,Wange::N,шчака,Wange
8,Gesicht::N,твар,Gesicht
9,Stirn::N,лоб,Stirn
10,Haar::N,волас,Haar
11,Haar::N,валасы,Haar
12,Schnurrbart::N,вус,Schnurrbart
13,Schnurrbart::N,вусы,Schnurrbart
14,Bart::N,барада,Bart
15,Kinn::N,падбародак,Kinn
16,Kiefer[Anatomie]::N,сківіца,Kiefer
17,Kehle::N,горла,Kehle
18,Hals::N,шыя,Hals
19,Genick::N,патыліца,Genick
20,Kopf::N,галава,Kopf
21,Rücken::N,спіна,Rücken
22,Bauch::N,жывот,Bauch
23,Nabel::N,пупок,Nabel
24,Busen::N,грудзі,Busen
25,Brust::N,грудзі,Brust
26,Schulter::N,плячо,Schulter
27,Arm::N,рука,Arm
28,Ellenbogen::N,локаць,Ellenbogen
29,Hand::N,кісць,Hand
30,Handfläche::N,далонь,Handfläche
31,Finger::N,палец,Finger
32,Fingernagel::N,ногаць,Fingernagel
33,Nagel[Anatomie]::N,ногаць,Nagel
34,Zeh::N,палец,Zeh
35,Fuß::N,нага,Fuß
36,Ferse::N,пята,Ferse
37,Ferse::N,пятка,Ferse
38,Knie::N,калена,Knie
39,Oberschenkel::N,бядро,Oberschenkel
40,Oberschenkel::N,сцягно,Oberschenkel
41,Bein::N,нага,Bein
42,Körper::N,цела,Körper
43,Haut::N,скура,Haut
44,Blut::N,кроў,Blut
45,Ader::N,вена,Ader
46,Ader::N,сасуд,Ader
47,Sehne::N,жыла,Sehne
48,Sehne::N,цеціва,Sehne
49,Sehne::N,сухажылле,Sehne
50,Knochen::N,косць,Knochen
51,Gehirn::N,мозг,Gehirn
52,Herz::N,сэрца,Herz
53,Magen::N,страўнік,Magen
54,Leber::N,печань,Leber
55,Atem::N,дыханне,Atem
56,Hunger::N,голад,Hunger
57,Träne::N,сляза,Träne
58,Geschmack::N,смак,Geschmack
59,Geruch::N,пах,Geruch
60,Schlaf::N,сон,Schlaf
61,Traum::N,сон,Traum
62,Himmel::N,неба,Himmel
63,Sonne::N,сонца,Sonne
64,Mond::N,месяц,Mond
65,Stern::N,зорка,Stern
66,Luft::N,паветра,Luft
67,Wind::N,вецер,Wind
68,Welle::N,хваля,Welle
69,Wasser::N,вада,Wasser
70,Stein::N,камень,Stein
71,Boden::N,глеба,Boden
72,Erde::N,зямля,Erde
73,Staub::N,пыл,Staub
74,Rauch::N,дым,Rauch
75,Funke::N,іскра,Funke
76,Feuer::N,агонь,Feuer
77,Licht::N,святло,Licht
78,Schatten::N,цень,Schatten
79,Wetter::N,пагода,Wetter
80,Wetter::N,надворʼе,Wetter
81,Nebel::N,туман,Nebel
82,Wolke::N,воблака,Wolke
83,Regen::N,дождж,Regen
