,Concept_ID,da,lez
0,Auge::N,øje,вил
1,Ohr::N,øre,яб
2,Nase::N,næse,нер
3,Mund::N,mund,сив
4,Zahn::N,tand,сас
5,Zahn::N,tand,свах
6,Zunge::N,tunge,мез
7,Lippe::N,læbe,пӏуз
8,Wange::N,kind,хъвехъ
9,Gesicht::N,ansigt,ччин
10,Stirn::N,pande,пел
11,Haar::N,hår,чӏар
12,Schnurrbart::N,overskæg,спел
13,Schnurrbart::N,overskæg,спелар
14,Bart::N,skæg,ччуру
15,Kinn::N,hage,чене
16,Kiefer[Anatomie]::N,kæbe,чене
17,Kehle::N,strube,туьд
18,Hals::N,hals,гардан
19,Genick::N,nakke,кьам
20,Kopf::N,hoved,кьил
21,Rücken::N,ryg,далу
22,Bauch::N,mave,руфун
23,Nabel::N,navle,пицӏ
24,Busen::N,barm,мам
25,Brust::N,bryst,хур
26,Schulter::N,skulder,къуьн
27,Arm::N,arm,гъил
28,Ellenbogen::N,albue,кьуьнт
29,Hand::N,hånd,капаш
30,Handfläche::N,håndflade,капан юкь
31,Finger::N,finger,тӏуб
32,Fingernagel::N,fingernegl,кек
33,Nagel[Anatomie]::N,negl,кек
34,Zeh::N,tå,кул
35,Fuß::N,fod,кӏвач
36,Ferse::N,hæl,дабан
37,Knie::N,knæ,мет
38,Oberschenkel::N,lår,
39,Bein::N,ben,кӏвач
40,Körper::N,krop,беден
41,Körper::N,legeme,беден
42,Haut::N,hud,хам
43,Blut::N,blod,иви
44,Ader::N,åre,дамар
45,Sehne::N,sene,кьуру дамар
46,Knochen::N,ben,кӏараб
47,Gehirn::N,hjerne,мефт
48,Herz::N,hjerte,рикӏ
49,Magen::N,mave,хук
50,Leber::N,lever,лекь
51,Atem::N,ånde,ял
52,Atem::N,ånde,нефес
53,Hunger::N,sult,каш
54,Träne::N,tåre,вилин нагъв
55,Geschmack::N,smag,дад
56,Geschmack::N,smag,тӏям
57,Geruch::N,lugt,ни
58,Schlaf::N,søvn,ахвар
59,Traum::N,drøm,ахвар
60,Himmel::N,himmel,цав
61,Sonne::N,sol,рагъ
62,Mond::N,måne,варз
63,Stern::N,stjerne,гъед
64,Luft::N,luft,гьава
65,Wind::N,vind,гар
66,Welle::N,bølge,лепе
67,Wasser::N,vand,яд
68,Stein::N,sten,къван
69,Boden::N,jord,накьв
70,Erde::N,jord,ччил
71,Staub::N,støv,руг
72,Rauch::N,røg,гум
73,Funke::N,gnist,цӏелхем
74,Feuer::N,ild,цӏай
75,Licht::N,lys,экв
76,Schatten::N,skygge,серин
77,Wetter::N,vejr,гьава
78,Nebel::N,tåge,ччилин циф
79,Wolke::N,sky,циф
80,Regen::N,regn,марф
81,Schnee::N,sne,жив
82,Eis::N,is,мурк
83,Frost::N,frost,аяз
84,Kälte::N,kulde,мекь
85,Kälte::N,kulde,мекьивал
86,Hitze::N,hede,зегьем
87,Raureif::N,rimfrost,къирав
88,Regenbogen::N,regnbue,яргъируш
89,Donner::N,torden,цавун ван
90,Strömung::N,strømning,
91,Tropfen::N,dråbe,стӏал
92,Schaum::N,skum,каф
93,Schmutz::N,snavs,чирк
94,Schmutz::N,snavs,кьуруш
95,See::N,sø,вир
96,Sumpf::N,sump,уьлен
97,Moor::N,mose,
98,Wiese::N,eng,векь
99,Wald::N,skov,там
100,Hügel::N,høj,кӏунтӏ
101,Hügel::N,bakke,кӏунтӏ
102,Anhöhe::N,høj,тепе
103,Anhöhe::N,høj,гьуьндуьрвал
104,Anhöhe::N,bakke,тепе
105,Anhöhe::N,bakke,гьуьндуьрвал
106,Berg::N,bjerg,дагъ
107,Gipfel::N,top,кӏукӏ
108,Höhle::N,hule,кьветӏ
109,Abhang::N,skrænt,гуьне
110,Abhang::N,skråning,гуьне
111,Quelle::N,kilde,чешме
112,Bach::N,bæk,булах
113,Fluss::N,flod,вацӏ
114,Ufer::N,bred,къерех
115,Küste::N,kyst,къерех
116,Festland::N,fastland,кьурамат
117,Meer::N,hav,гьуьл
118,Bucht::N,bugt,бухта
119,Insel::N,ø,остров
120,Blume::N,blomst,цуьк
121,Gras::N,græs,хъач
122,Wurzel::N,rod,дувул
123,Baum::N,træ,ттар
124,Stamm::N,stamme,тан
125,Rinde::N,bark,чкал
126,Ast::N,gren,тӏур
127,Zweig::N,kvist,хел
128,Blatt::N,blad,пеш
129,Birke::N,birk,верх
130,Kiefer[Baum]::N,fyrretræ,шамагъаж
131,Weide[Baum]::N,piletræ,цӏвелин ттар
132,Tanne::N,gran,ель
133,Horn::N,horn,карч
134,Feder::N,fjer,цӏакул
135,Fell::N,skind,хам
136,Flügel::N,vinge,лув
137,Klaue::N,klov,къармах
138,Kralle::N,klo,пац
139,Kralle::N,klo,тапас
140,Schwanz::N,hale,ттум
141,Ei::N,æg,кака
142,Nest::N,rede,муг
143,Bau::N,bo,тӏеквен
144,Tier::N,dyr,гьайван
145,Herde::N,flok,суьруь
146,Kuh::N,ko,ккал
147,Bulle::N,tyr,яц
148,Bulle::N,tyr,бугъа
149,Pferd::N,hest,балкӏан
150,Schaf::N,får,хеб
151,Schwein::N,gris,вак
152,Hund::N,hund,кицӏ
153,Katze::N,kat,кац
