,Concept_ID,da,mn
0,Auge::N,øje,нүд
1,Ohr::N,øre,чих
2,Nase::N,næse,хамар
3,Mund::N,mund,ам
4,Zahn::N,tand,шүд
5,Zunge::N,tunge,хэл
6,Lippe::N,læbe,уруул
7,Wange::N,kind,хацар
8,Gesicht::N,ansigt,царай
9,Gesicht::N,ansigt,нүүр
10,Stirn::N,pande,дух
11,Haar::N,hår,үс
12,Schnurrbart::N,overskæg,дээд сахал
13,Schnurrbart::N,overskæg,живэр сахал
14,Bart::N,skæg,сахал
15,Kinn::N,hage,эрүү
16,Kiefer[Anatomie]::N,kæbe,эрүү
17,Kehle::N,strube,хоолой
18,Hals::N,hals,хүзүү
19,Genick::N,nakke,шил
20,Genick::N,nakke,хүзүү
21,Kopf::N,hoved,толгой
22,Rücken::N,ryg,ар
23,Rücken::N,ryg,нуруу
24,Bauch::N,mave,хэвлий
25,Bauch::N,mave,гэдэс
26,Nabel::N,navle,хүйс
27,Busen::N,barm,хөх
28,Brust::N,bryst,цээж
29,Schulter::N,skulder,мөр
30,Schulter::N,skulder,бугалга
31,Arm::N,arm,гар
32,Ellenbogen::N,albue,тохой
33,Hand::N,hånd,гар
34,Hand::N,hånd,алга
35,Handfläche::N,håndflade,алга
36,Finger::N,finger,хуруу
37,Fingernagel::N,fingernegl,хурууны хумс
38,Nagel[Anatomie]::N,negl,хумс
39,Zeh::N,tå,хуруу
40,Fuß::N,fod,хөл
41,Ferse::N,hæl,өсгий
42,Knie::N,knæ,өвдөг
43,Oberschenkel::N,lår,гуя
44,Bein::N,ben,хөл
45,Körper::N,krop,бие
46,Körper::N,legeme,бие
47,Haut::N,hud,арьс
48,Blut::N,blod,цус
49,Ader::N,åre,судас
50,Sehne::N,sene,бүлх
51,Sehne::N,sene,шандас
52,Knochen::N,ben,яс
53,Gehirn::N,hjerne,тархи
54,Herz::N,hjerte,зүрх
55,Magen::N,mave,ходоод
56,Leber::N,lever,элэг
57,Atem::N,ånde,амьсгаа
58,Hunger::N,sult,өлсгөлөн
59,Träne::N,tåre,нулимс
60,Geschmack::N,smag,амт
61,Geruch::N,lugt,үнэр
62,Schlaf::N,søvn,нойр
63,Traum::N,drøm,зүүд
64,Himmel::N,himmel,тэнгэр
65,Himmel::N,himmel,огторгуй
66,Sonne::N,sol,нар
67,Mond::N,måne,сар
68,Stern::N,stjerne,од
69,Luft::N,luft,агаар
70,Wind::N,vind,салхи
71,Welle::N,bølge,долгио
72,Welle::N,bølge,давалгаа
73,Wasser::N,vand,ус
74,Stein::N,sten,чулуу
75,Boden::N,jord,хөрс
76,Erde::N,jord,газар
77,Erde::N,jord,шороо
78,Staub::N,støv,тоос
79,Rauch::N,røg,утаа
80,Funke::N,gnist,оч
81,Feuer::N,ild,гал
82,Licht::N,lys,гэрэл
83,Licht::N,lys,гэгээ
84,Schatten::N,skygge,сүүдэр
85,Wetter::N,vejr,тэнгэр
86,Wetter::N,vejr,цаг уур
87,Nebel::N,tåge,будан
88,Wolke::N,sky,үүл
89,Regen::N,regn,бороо
90,Schnee::N,sne,цас
91,Eis::N,is,мөс
92,Frost::N,frost,хүйт
93,Kälte::N,kulde,хүйт
94,Hitze::N,hede,халуун
95,Raureif::N,rimfrost,цан
96,Raureif::N,rimfrost,хяруу
97,Regenbogen::N,regnbue,солонго
98,Donner::N,torden,тэнгэрийн дуу
99,Strömung::N,strømning,урсгал
100,Tropfen::N,dråbe,дусал
