,Concept_ID,,de
0,Auge::N,,Auge
1,Ohr::N,,Ohr
2,Nase::N,,Nase
3,Mund::N,,Mund
4,Zahn::N,,Zahn
5,Zunge::N,,Zunge
6,Lippe::N,,Lippe
7,Wange::N,,Wange
8,Gesicht::N,,Gesicht
9,Stirn::N,,Stirn
10,Haar::N,,Haar
11,Schnurrbart::N,,Schnurrbart
12,Bart::N,,Bart
13,Kinn::N,,Kinn
14,Kiefer[Anatomie]::N,,Kiefer
15,Kehle::N,,Kehle
16,Hals::N,,Hals
17,Genick::N,,Genick
18,Kopf::N,,Kopf
19,Rücken::N,,Rücken
20,Bauch::N,,Bauch
21,Nabel::N,,Nabel
22,Busen::N,,Busen
23,Brust::N,,Brust
24,Schulter::N,,Schulter
25,Arm::N,,Arm
26,Ellenbogen::N,,Ellenbogen
27,Hand::N,,Hand
28,Handfläche::N,,Handfläche
29,Finger::N,,Finger
30,Fingernagel::N,,Fingernagel
31,Nagel[Anatomie]::N,,Nagel
32,Zeh::N,,Zeh
33,Fuß::N,,Fuß
34,Ferse::N,,Ferse
35,Knie::N,,Knie
36,Oberschenkel::N,,Oberschenkel
37,Bein::N,,Bein
38,Körper::N,,Körper
39,Haut::N,,Haut
40,Blut::N,,Blut
41,Ader::N,,Ader
42,Sehne::N,,Sehne
43,Knochen::N,,Knochen
44,Gehirn::N,,Gehirn
45,Herz::N,,Herz
46,Magen::N,,Magen
47,Leber::N,,Leber
48,Atem::N,,Atem
49,Hunger::N,,Hunger
50,Träne::N,,Träne
51,Geschmack::N,,Geschmack
52,Geruch::N,,Geruch
53,Schlaf::N,,Schlaf
54,Traum::N,,Traum
55,Himmel::N,,Himmel
56,Sonne::N,,Sonne
57,Mond::N,,Mond
58,Stern::N,,Stern
59,Luft::N,,Luft
60,Wind::N,,Wind
61,Welle::N,,Welle
62,Wasser::N,,Wasser
63,Stein::N,,Stein
64,Boden::N,,Boden
65,Erde::N,,Erde
66,Staub::N,,Staub
67,Rauch::N,,Rauch
68,Funke::N,,Funke
69,Feuer::N,,Feuer
70,Licht::N,,Licht
71,Schatten::N,,Schatten
72,Wetter::N,,Wetter
73,Nebel::N,,Nebel
74,Wolke::N,,Wolke
75,Regen::N,,Regen
76,Schnee::N,,Schnee
77,Eis::N,,Eis
78,Frost::N,,Frost
79,Kälte::N,,Kälte
80,Hitze::N,,Hitze
81,Raureif::N,,Raureif
82,Regenbogen::N,,Regenbogen
83,Donner::N,,Donner
84,Strömung::N,,Strömung
85,Tropfen::N,,Tropfen
86,Schaum::N,,Schaum
87,Schmutz::N,,Schmutz
88,See::N,,See
89,Sumpf::N,,Sumpf
90,Moor::N,,Moor
91,Wiese::N,,Wiese
92,Wald::N,,Wald
93,Hügel::N,,Hügel
94,Anhöhe::N,,Anhöhe
95,Berg::N,,Berg
96,Gipfel::N,,Gipfel
97,Höhle::N,,Höhle
98,Abhang::N,,Abhang
99,Quelle::N,,Quelle
100,Bach::N,,Bach
