,Concept_ID,kv,hi
0,Auge::N,син,आँख
1,Auge::N,син,चक्षु
2,Ohr::N,пель,कान
3,Ohr::N,пель,कर्ण
4,Nase::N,ныр,नाक
5,Nase::N,ныр,नासा
6,Mund::N,ӧм,मुख
7,Mund::N,ӧм,मुँह
8,Zahn::N,пинь,दंत
9,Zahn::N,пинь,दाँत
10,Zunge::N,кыв,जीभ
11,Zunge::N,кыв,ज़बान
12,Zunge::N,кыв,जिह्वा
13,Lippe::N,тырп,ओंठ
14,Lippe::N,тырп,होंठ
15,Wange::N,рожабан,गाल
16,Wange::N,рожабан,कपोल
17,Gesicht::N,бан,मुँह
18,Gesicht::N,бан,चेहरा
19,Stirn::N,кымӧс,माथा
20,Stirn::N,кымӧс,मस्तक
21,Haar::N,юрси,बाल
22,Schnurrbart::N,уссэз,मूँछें
23,Bart::N,тош,दाढ़ी
24,Kinn::N,тшӧка,चिबुक
25,Kiefer[Anatomie]::N,ан,जबड़ा
26,Kehle::N,юан,गला
27,Hals::N,юан,गला
28,Hals::N,юан,गरदन
29,Genick::N,юр бӧр,गरदन
30,Genick::N,юр бӧр,ग्रीवा
31,Kopf::N,юр,सिर
32,Kopf::N,юр,शीर्ष
33,Rücken::N,мышк,पीठ
34,Bauch::N,кынӧм,उदर
35,Nabel::N,гӧг,नाभि
36,Nabel::N,гӧг,ढोंढी
37,Busen::N,морос,कुच
38,Busen::N,морос,स्तन
39,Brust::N,морос,वक्ष
40,Schulter::N,пельпон,कंधा
41,Schulter::N,пельпон,स्कंध
42,Arm::N,ки,बाँह
43,Arm::N,ки,बाज़ू
44,Ellenbogen::N,гырдзза,कुहनी
45,Hand::N,кикар,हाथ
46,Hand::N,кикар,हस्त
47,Handfläche::N,ки пыдӧс,हथेली
48,Finger::N,чунь,उँगली
49,Finger::N,чунь,अँगुली
50,Fingernagel::N,гыж,नख
51,Fingernagel::N,гыж,नाख़ून
52,Nagel[Anatomie]::N,гыж,नख
53,Nagel[Anatomie]::N,гыж,नाख़ून
54,Zeh::N,чунь,उँगली
55,Zeh::N,чунь,पाँव की उँगली
56,Fuß::N,кокпыдӧс,चरण
57,Fuß::N,кокпыдӧс,पाँव
58,Ferse::N,кокдзир,एड़ी
59,Knie::N,пидзӧс,जानु
60,Knie::N,пидзӧс,घुटना
61,Oberschenkel::N,лядьбей,उरु
62,Bein::N,кок,टाँग
63,Körper::N,вывтыр,तन
64,Körper::N,вывтыр,देह
65,Körper::N,вывтыр,शरीर
66,Haut::N,кучик,चर्म
67,Haut::N,кучик,त्वचा
68,Blut::N,вир,लहू
69,Blut::N,вир,ख़ून
70,Ader::N,сӧн,रग
71,Ader::N,сӧн,शिरा
72,Sehne::N,жила,कंडरा
73,Sehne::N,жила,स्नायु
74,Knochen::N,коска,अस्थि
75,Gehirn::N,вем,दिमाग़
76,Gehirn::N,вем,मस्तिष्क
77,Herz::N,сьӧлӧм,दिल
78,Herz::N,сьӧлӧм,हृदय
79,Magen::N,жӧвдӧк,मेदा
80,Magen::N,жӧвдӧк,अमाशय
81,Leber::N,мус,जिगर
82,Leber::N,мус,यकृत्
83,Atem::N,лолалӧм,दम
84,Atem::N,лолалӧм,साँस
85,Atem::N,лолалӧм,श्वास
86,Hunger::N,тшыг,भूख
87,Hunger::N,тшыг,क्षुधा
88,Träne::N,синва,आँसू
