,Concept_ID,sv,myv
0,Auge::N,öga,сельме
1,Ohr::N,öra,пиле
2,Nase::N,näsa,судо
3,Mund::N,mun,курго
4,Zahn::N,tand,пей
5,Zunge::N,tunga,кель
6,Lippe::N,läpp,турва
7,Wange::N,kind,чамабока
8,Wange::N,kind,чамаумарь
9,Gesicht::N,syn,чама
10,Gesicht::N,ansikte,чама
11,Stirn::N,panna,коня
12,Haar::N,hår,черь
13,Schnurrbart::N,mustasch,ус
14,Schnurrbart::N,mustasch,муюк
15,Bart::N,skägg,сакал
16,Kinn::N,haka,уло
17,Kiefer[Anatomie]::N,käke,пейпакар
18,Kiefer[Anatomie]::N,käke,пейловажа
19,Kehle::N,strupe,кирьгапарь
20,Hals::N,hals,кирьга
21,Genick::N,nacke,човонь
22,Kopf::N,huvud,пря
23,Rücken::N,rygg,копорь
24,Bauch::N,buk,пеке
25,Bauch::N,mage,пеке
26,Nabel::N,navel,почо
27,Busen::N,barm,поте
28,Brust::N,bröst,меште
29,Schulter::N,skuldra,лавтов
30,Arm::N,arm,кедь
31,Ellenbogen::N,armbåge,кенерепакарь
32,Hand::N,hand,кедь
33,Handfläche::N,handflata,кедькуншка
34,Handfläche::N,handflata,кедьлапушка
35,Finger::N,finger,сур
36,Fingernagel::N,fingernagel,кенже
37,Nagel[Anatomie]::N,nagel,кенже
38,Zeh::N,tå,пильге сур
39,Fuß::N,fot,пильге
40,Ferse::N,häl,кочкаря
41,Knie::N,knä,эле
42,Knie::N,knä,эзне
43,Knie::N,knä,кумажа
44,Oberschenkel::N,lår,качо
45,Bein::N,ben,пильге
46,Körper::N,kropp,рунго
47,Haut::N,hud,киське
48,Haut::N,skinn,киське
49,Blut::N,blod,верь
50,Ader::N,åder,сан
51,Sehne::N,sena,коське сан
52,Knochen::N,ben,пакарь
53,Gehirn::N,hjärna,удем
54,Herz::N,hjärta,седей
55,Magen::N,mage,пеке
56,Leber::N,lever,максо
57,Atem::N,anda,лексема
58,Atem::N,anda,оймень таргсема
59,Atem::N,andedräkt,лексема
60,Atem::N,andedräkt,оймень таргсема
61,Hunger::N,svält,вачочи
62,Hunger::N,hunger,вачочи
63,Träne::N,tår,селведь
64,Geschmack::N,smak,тансть
65,Geruch::N,lukt,чине
66,Schlaf::N,sömn,удома
67,Traum::N,dröm,он
68,Himmel::N,himmel,менель
69,Sonne::N,sol,чи
70,Mond::N,måne,ков
71,Stern::N,stjärna,теште
72,Luft::N,luft,кошт
73,Wind::N,vind,варма
74,Welle::N,våg,толкун
75,Welle::N,bölja,толкун
76,Wasser::N,vatten,ведь
77,Stein::N,sten,кев
78,Boden::N,mark,мода
79,Erde::N,jord,мастор
80,Staub::N,damm,пуль
81,Rauch::N,rök,качамо
82,Funke::N,gnista,сятко
83,Feuer::N,eld,тол
84,Licht::N,ljus,валдо
85,Schatten::N,skugga,сулей
86,Schatten::N,skugga,сулейкс
87,Wetter::N,väder,ушо
88,Nebel::N,dimma,сув
89,Nebel::N,töcken,сув
90,Wolke::N,sky,пель
91,Wolke::N,moln,пель
92,Regen::N,regn,пиземс
93,Schnee::N,snö,лов
94,Eis::N,is,эй
95,Frost::N,frost,кельме
96,Kälte::N,köld,якшамо
97,Hitze::N,hetta,пси
98,Raureif::N,rimfrost,лекш
99,Regenbogen::N,regnbåge,пурьгинечирьке
100,Regenbogen::N,regnbåge,пурьгинеёнкс
101,Donner::N,åska,пурьгине
102,Donner::N,dunder,пурьгине
103,Strömung::N,strömning,чудема
104,Strömung::N,strömning,чудевкс
105,Tropfen::N,dropper,петнявкс
106,Schaum::N,skum,чов
107,Schmutz::N,lort,рудаз
108,Schmutz::N,smuts,рудаз
109,See::N,sjö,эрьке
110,Sumpf::N,träsk,чей
111,Moor::N,myr,чей
112,Moor::N,mosse,чей
113,Wiese::N,äng,луга
114,Wald::N,skog,вирь
115,Hügel::N,höjd,губорь
116,Hügel::N,höjd,пандыне
117,Hügel::N,kulle,губорь
118,Hügel::N,kulle,пандыне
119,Anhöhe::N,höjd,губорь
120,Anhöhe::N,höjd,пандыне
121,Anhöhe::N,backe,губорь
122,Anhöhe::N,backe,пандыне
123,Berg::N,berg,пандо
124,Berg::N,fjäll,пандо
125,Gipfel::N,topp,пря
126,Höhle::N,håla,пещера
127,Höhle::N,grotta,пещера
128,Abhang::N,slänt,пандочама
129,Abhang::N,sluttning,пандочама
130,Quelle::N,källa,ушодкс
131,Bach::N,bäck,чудикерькс
132,Fluss::N,älv,лей
133,Fluss::N,flod,лей
134,Ufer::N,strand,чире
135,Küste::N,kust,лейчире
136,Festland::N,fastland,мода
137,Meer::N,hav,моря
138,Bucht::N,vik,усия
139,Bucht::N,bukt,усия
140,Insel::N,ö,усия
141,Blume::N,blomma,цеця
142,Blume::N,blomster,цеця
143,Gras::N,gräs,тикше
144,Wurzel::N,rot,юр
145,Wurzel::N,rot,ундокс
146,Baum::N,träd,чувто
147,Stamm::N,stam,рунго
148,Rinde::N,bark,суд
149,Rinde::N,bark,керь
150,Ast::N,gren,морго
151,Zweig::N,kvist,тарад
152,Blatt::N,löv,лопа
153,Blatt::N,blad,лопа
154,Birke::N,björk,килей
155,Kiefer[Baum]::N,tall,пиче
156,Weide[Baum]::N,pil,каль
157,Weide[Baum]::N,vide,каль
158,Tanne::N,gran,куз
159,Horn::N,horn,сюро
160,Feder::N,fjäder,толга
161,Fell::N,fäll,пона
162,Fell::N,skinn,пона
163,Flügel::N,vinge,сёлмо
164,Klaue::N,klöv,кенже
165,Kralle::N,klo,кенже
166,Schwanz::N,svans,пуло
167,Schwanz::N,stjärt,пуло
168,Ei::N,ägg,ал
169,Nest::N,rede,пизэ
170,Nest::N,näste,пизэ
171,Bau::N,bo,варя
172,Bau::N,bo,пизе
173,Tier::N,djur,ракша
174,Herde::N,flock,стада
175,Kuh::N,ko,скал
176,Bulle::N,tjur,бука
177,Pferd::N,häst,лишме
178,Schaf::N,får,реве
179,Schwein::N,svin,туво
180,Hund::N,hund,пине
181,Hund::N,hund,киска
182,Katze::N,katt,псака
183,Bär::N,björn,овто
184,Eichhörnchen::N,ekorre,ур
185,Elch::N,älg,сярдо
186,Fuchs::N,räv,ривезь
187,Hase::N,hare,нумоло
188,Maus::N,mus,чеерь
189,Wolf::N,varg,верьгиз
190,Vogel::N,fågel,нармунь
191,Schwarm::N,svärm,полк
192,Schwarm::N,svärm,стада
193,Huhn::N,höns,сараз
194,Hahn::N,tupp,атякш
195,Gans::N,gås,гала
196,Gans::N,gås,мацей
197,Adler::N,örn,куцькан
198,Adler::N,örn,тумоатякш
199,Ente::N,anka,яксярго
200,Eule::N,uggla,корж
201,Kranich::N,trana,карго
202,Krähe::N,kråka,варака
203,Kuckuck::N,gök,куко
204,Schwan::N,svan,локсей
205,Fisch::N,fisk,кал
206,Barsch::N,abborre,окунь
207,Hecht::N,gädda,щука
208,Schlange[Tier]::N,orm,гуй
209,Wurm::N,mask,сукс
210,Spinne::N,spindel,шанжав
211,Ameise::N,myra,коткудав
212,Laus::N,lus,сий
213,Mücke::N,mygga,сеське
214,Fliege::N,fluga,карво
215,Schmetterling::N,fjäril,нимиляв
216,Beere::N,bär,умарь
217,Apfel::N,äpple,умарь
218,Pilz::N,svamp,панго
219,Zwiebel::N,lök,чурька
220,Saat::N,sådd,видьметь
221,Korn::N,korn,сюро
222,Heu::N,hö,тикше
223,Schale::N,skal,кедь
224,Schale::N,skal,ваткавкс
225,Grube::N,grop,латко
226,Falle::N,fälla,тувор
227,Falle::N,fälla,кундамка
228,Schlinge::N,snara,килькш
229,Spur::N,spår,челькс
230,Spur::N,spår,пильгеки
231,Asche::N,aska,кулов
232,Dreck::N,lort,рудаз
233,Eisen::N,järn,кшни
234,Gold::N,guld,сырне
235,Silber::N,silver,сия
236,Kohle::N,kol,сэдь
237,Kohle::N,kol,уголия
238,Glas::N,glas,сулика
239,Lehm::N,lera,сёвонь
240,Sand::N,sand,човар
241,Mensch::N,människa,ломань
242,Mann::N,man,аля
243,Mann::N,man,цёраломань
244,Frau::N,kvinna,ава
245,Kind::N,barn,эйкакш
246,Junge::N,pojke,цёрыне
247,Mädchen::N,flicka,тейтерне
248,Familie::N,familj,семия
249,Großvater::N,morfar,покштя
250,Großmutter::N,farmor,баба
251,Eltern::N,föräldrar,тетят-ават
252,Vater::N,far,тетя
253,Mutter::N,mor,ава
254,Sohn::N,son,цёра
255,Tochter::N,dotter,тейтерь
256,Bruder::N,bror,леля
257,Bruder::N,bror,ялакс
258,Schwester::N,syster,сазор
259,Onkel::N,morbror,леля
260,Tante::N,tant,патя
261,Ehemann::N,äkta man,мирде
262,Ehefrau::N,hustru,ни
263,Freude::N,fröjd,кеняркс
264,Freude::N,glädje,кеняркс
265,Gelächter::N,åtlöje,ракамо
266,Gelächter::N,åtlöje,пейдема
267,Glück::N,lycka,уцяска
268,Kummer::N,sorg,рискс
269,Kummer::N,sorg,мелявкс
270,Wunsch::N,önskan,мель
271,Wunsch::N,önskan,бажамо
272,Lust::N,lust,бажамо
273,Geist::N,ande,ойме
274,Gedanke::N,tanke,мель
275,Gedächtnis::N,minne,мель
276,Verstand::N,förstånd,прев
277,Sinn::N,mening,толк
278,Sinn::N,mening,смысла
279,Sinn::N,betydelse,толк
280,Sinn::N,betydelse,смысла
281,Grund::N,skäl,тувтал
282,Grund::N,grund,тувтал
283,Wahrheit::N,sanning,видечи
284,Gespräch::N,samtal,кортнема
285,Märchen::N,saga,ёвкс
286,Erzählung::N,berättelse,ёвтнема
287,Nachricht::N,meddelande,куля
288,Neuigkeit::N,nyhet,куля
289,Name::N,namn,лем
290,Rätsel::N,gåta,содамоёвкс
291,Rede::N,tal,кортамо
292,Sprache::N,språk,кель
293,Stimme::N,stämma,ваигель
294,Wort::N,ord,вал
295,Zeichen::N,tecken,теште
296,Ruf::N,rop,тердема
297,Lärm::N,bråk,шалнома
298,Lärm::N,oväsen,шалнома
299,Laut::N,ljud,вайгель
300,Ton::N,ton,гайнема
301,Lied::N,sång,моро
302,Ruhe::N,ro,оймамо
303,Ruhe::N,lugn,оймамо
304,Leute::N,folk,ломанть
305,Volk::N,folk,народ
306,Arbeit::N,arbete,тев
307,Gast::N,gäst,инже
308,Geschenk::N,gåva,казне
309,Geschenk::N,present,казне
310,Spiel::N,lek,налксема
311,Spiel::N,spel,налксема
312,Gesellschaft::N,sällskap,община
313,Hilfe::N,hjälp,лездамо
314,Freund::N,vän,оя
315,Freund::N,vän,ялга
316,Kamerad::N,kamrat,оя
317,Kamerad::N,kamrat,ялга
318,Angelegenheit::N,ärende,тев
319,Angelegenheit::N,angelägenhet,тев
320,Anzahl::N,antal,ламоксчи
321,Art::N,art,вид
322,Art::N,slag,вид
323,Stück::N,stycke,пакш
324,Stück::N,stycke,пелькс
325,Teil::N,del,часть
326,Teil::N,del,пелькс
327,Hälfte::N,halva,пель
328,Hälfte::N,halva,пелькс
329,Kreis::N,krets,кирькс
330,Kreis::N,cirkel,кирькс
331,Kreuz::N,kors,крёст
332,Kreuz::N,kryss,крёст
333,Linie::N,linje,кикс
334,Strich::N,streck,межа
335,Abstand::N,avstånd,ютко
336,Entfernung::N,avstånd,ютко
337,Gegend::N,trakt,тарка
338,Gegend::N,trakt,пертьпелькс
339,Platz::N,plats,васолкс
340,Ort::N,plats,тарка
341,Ort::N,ställe,тарка
342,Seite::N,sida,ён
343,Seite::N,sida,чире
344,Mitte::N,mitt,куншка
345,Gegenstand::N,föremål,предмет
346,Sache::N,sak,тев
347,Sache::N,sak,веща
348,Rand::N,rand,пе
349,Rand::N,rand,чире
350,Kante::N,kant,ирдез
