,Concept_ID,el,lv
0,Auge::N,μάτι,син
1,Auge::N,μάτι,acs
2,Auge::N,οφθαλμός,син
3,Auge::N,οφθαλμός,acs
4,Ohr::N,αυτί,пель
5,Ohr::N,αυτί,auss
6,Nase::N,μύτη,ныр
7,Nase::N,μύτη,deguns
8,Mund::N,στόμα,вом
9,Mund::N,στόμα,mute
10,Zahn::N,δόντι,пинь
11,Zahn::N,δόντι,zobs
12,Zunge::N,γλώσσα,кыв
13,Zunge::N,γλώσσα,mēle
14,Lippe::N,χείλος,вом дор
15,Lippe::N,χείλος,lūpa
16,Wange::N,παρειά,бан
17,Wange::N,παρειά,vaigs
18,Wange::N,μάγουλο,бан
19,Wange::N,μάγουλο,vaigs
20,Gesicht::N,πρόσωπο,чужӧм
21,Gesicht::N,πρόσωπο,seja
22,Gesicht::N,πρόσωπο,ģīmis
23,Stirn::N,μέτωπο,плеш
24,Stirn::N,μέτωπο,кымӧс
25,Stirn::N,μέτωπο,piere
26,Haar::N,μαλλιά,си
27,Haar::N,μαλλιά,юрси
28,Haar::N,μαλλιά,mats
29,Schnurrbart::N,μουστάκι,ус
30,Schnurrbart::N,μουστάκι,пыртсим
31,Schnurrbart::N,μουστάκι,ūsas
32,Bart::N,γένια,тош
33,Bart::N,γένια,bārda
34,Kinn::N,πιγούνι,тшӧка
35,Kinn::N,πιγούνι,zods
36,Kinn::N,πιγούνι,smakrs
37,Kiefer[Anatomie]::N,σαγόνι,черлы
38,Kiefer[Anatomie]::N,σαγόνι,алака лы
39,Kiefer[Anatomie]::N,σαγόνι,вомкӧтш лы
40,Kiefer[Anatomie]::N,σαγόνι,žoklis
41,Kehle::N,λαρύγγι,голя
42,Kehle::N,λαρύγγι,rīkle
43,Hals::N,λαιμός,сьылі
44,Hals::N,λαιμός,kakls
45,Genick::N,σβέρκος,юрбӧр
46,Genick::N,σβέρκος,балябӧж
47,Genick::N,σβέρκος,sprands
48,Kopf::N,κεφάλι,юр
49,Kopf::N,κεφάλι,galva
50,Rücken::N,ράχη,мыш
51,Rücken::N,ράχη,mugura
52,Bauch::N,κοιλιά,рушку
53,Bauch::N,κοιλιά,vēders
54,Nabel::N,αφαλός,гӧг
55,Nabel::N,αφαλός,naba
56,Busen::N,στήθος,морӧс
57,Busen::N,στήθος,krūts
58,Brust::N,στήθος,морӧс
59,Brust::N,στήθος,krūts
60,Schulter::N,ώμος,пельпом
61,Schulter::N,ώμος,plecs
62,Arm::N,χέρι,ки
63,Arm::N,χέρι,roka
64,Arm::N,χέρι,delms
65,Arm::N,μπράτςο,ки
66,Arm::N,μπράτςο,roka
67,Arm::N,μπράτςο,delms
68,Ellenbogen::N,αγκώνας,гырддза
69,Ellenbogen::N,αγκώνας,elkonis
70,Hand::N,χέρι,ки
71,Hand::N,χέρι,roka
72,Hand::N,χέρι,plauksta
73,Handfläche::N,παλάμη,ки пыдӧс
74,Handfläche::N,παλάμη,delna
75,Handfläche::N,παλάμη,plauksta
76,Finger::N,δάχτυλο,чунь
77,Finger::N,δάχτυλο,pirksts
78,Fingernagel::N,νύχι,гыж
79,Fingernagel::N,νύχι,nags
80,Nagel[Anatomie]::N,νύχι,гыж
81,Nagel[Anatomie]::N,νύχι,nags
82,Zeh::N,δάχτυλο του ποδιού,кок чунь
83,Zeh::N,δάχτυλο του ποδιού,pirksts
84,Fuß::N,πόδι,кок
85,Fuß::N,πόδι,kāja
86,Ferse::N,φτέρνα,кокбӧр
87,Ferse::N,φτέρνα,papēdis
88,Knie::N,γόνατο,пидзӧс
89,Knie::N,γόνατο,celis
90,Oberschenkel::N,μηρός,лядьвей
91,Oberschenkel::N,μηρός,бек
92,Oberschenkel::N,μηρός,ciska
93,Oberschenkel::N,μηρός,augšstilbs
94,Bein::N,πόδι,кок
95,Bein::N,πόδι,kāja
96,Körper::N,σώμα,туша
97,Körper::N,σώμα,вывтыр
98,Körper::N,σώμα,miesa
99,Körper::N,σώμα,ķermenis
100,Körper::N,κορμί,туша
101,Körper::N,κορμί,вывтыр
102,Körper::N,κορμί,miesa
103,Körper::N,κορμί,ķermenis
104,Haut::N,πετσί,ку
105,Haut::N,πετσί,āda
106,Blut::N,αίμα,вир
107,Blut::N,αίμα,asins
108,Ader::N,φλέβα,сӧн
109,Ader::N,φλέβα,asinsvads
110,Sehne::N,νεύρο,вез
111,Sehne::N,νεύρο,dzīsla
112,Sehne::N,τένοντας,вез
113,Sehne::N,τένοντας,dzīsla
114,Knochen::N,οστό,лы
115,Knochen::N,οστό,kauls
116,Knochen::N,κόκκαλο,лы
117,Knochen::N,κόκκαλο,kauls
118,Gehirn::N,μυαλό,вем
119,Gehirn::N,μυαλό,smadzenes
120,Gehirn::N,εγκέφαλος,вем
121,Gehirn::N,εγκέφαλος,smadzenes
122,Herz::N,καρδιά,сьӧлӧм
123,Herz::N,καρδιά,sirds
124,Magen::N,στομάχι,кынӧм
125,Magen::N,στομάχι,kuņģis
126,Leber::N,ήπαρ,мус
127,Leber::N,ήπαρ,aknas
128,Leber::N,συκωτί,мус
129,Leber::N,συκωτί,aknas
130,Atem::N,αναπνοή,лов
131,Atem::N,αναπνοή,elpa
132,Hunger::N,πείνα,тшыг
133,Hunger::N,πείνα,bads
134,Hunger::N,πείνα,izsalkums
135,Träne::N,δάκρυ,синва
136,Träne::N,δάκρυ,asara
137,Geschmack::N,γεύση,кӧр
138,Geschmack::N,γεύση,чӧсмӧс
139,Geschmack::N,γεύση,garša
140,Geruch::N,οσμή,зын
141,Geruch::N,οσμή,дук
142,Geruch::N,οσμή,smaka
143,Geruch::N,μυρωδία,зын
144,Geruch::N,μυρωδία,дук
145,Geruch::N,μυρωδία,smaka
