,Concept_ID,ka,no
0,Auge::N,თვალი,øye
1,Ohr::N,ყური,øre
2,Nase::N,ცხვირი,nese
3,Mund::N,პირი,munn
4,Zahn::N,კბილი,tann
5,Zunge::N,ენა,tunge
6,Lippe::N,ბაგე,leppe
7,Wange::N,ლოყა,kinn
8,Gesicht::N,სახე,fjes
9,Gesicht::N,სახე,ansikt
10,Stirn::N,შუბლი,panne
11,Haar::N,თმა,hår
12,Schnurrbart::N,ულვაში,bart
13,Bart::N,წვერი,skjegg
14,Kinn::N,ნიკაპი,hake
15,Kiefer[Anatomie]::N,ყბა,kjeve
16,Kehle::N,ყელი,strupe
17,Hals::N,ყელი,hals
18,Hals::N,კისერი,hals
19,Genick::N,კეფა,nakke
20,Kopf::N,თავი,hode
21,Rücken::N,ზურგი,rygg
22,Bauch::N,მუცელი,buk
23,Bauch::N,მუცელი,mage
24,Nabel::N,ჭიპი,navle
25,Busen::N,ძუძუ,barm
26,Brust::N,მკერდი,bryst
27,Schulter::N,მხარი,skulder
28,Schulter::N,მკლავი,skulder
29,Arm::N,ხელი,arm
30,Ellenbogen::N,იდაყვი,albue
31,Hand::N,ხელი,hånd
32,Handfläche::N,ნები,håndflate
33,Handfläche::N,ხელისგული,håndflate
34,Finger::N,თითი,finger
35,Fingernagel::N,ფრჩხილი,fingernegl
36,Nagel[Anatomie]::N,ფრჩხილი,negl
37,Zeh::N,ფეხის თითი,tå
38,Fuß::N,ტერფი,fot
39,Fuß::N,ფეხისგული,fot
40,Ferse::N,ქუსლი,hæl
41,Knie::N,მუხლი,kne
42,Oberschenkel::N,ბარძაყი,lår
43,Bein::N,ფეხი,bein
44,Körper::N,ტანი,kropp
45,Körper::N,ტანი,legeme
46,Körper::N,სხეული,kropp
47,Körper::N,სხეული,legeme
48,Haut::N,კანი,hud
49,Haut::N,კანი,skinn
50,Blut::N,სისხლი,blod
51,Ader::N,ძარღვი,åre
52,Sehne::N,მყესი,sene
53,Knochen::N,ძვალი,bein
54,Knochen::N,ძვალი,knokkel
55,Gehirn::N,ტვინი,hjerne
56,Herz::N,გული,hjerte
57,Magen::N,კუჭი,mage
58,Leber::N,ღვიძლი,lever
59,Atem::N,სუნთქვა,pust
60,Hunger::N,შიმშილი,sult
61,Träne::N,ცრემლი,tåre
62,Geschmack::N,გემო,smak
63,Geruch::N,სუნი,lukt
64,Schlaf::N,ძილი,søvn
65,Traum::N,სიზმარი,drøm
66,Himmel::N,ცა,himmel
67,Sonne::N,მზე,sol
68,Mond::N,მთვარე,måne
69,Stern::N,ვარსკვლავი,stjerne
70,Luft::N,ჰაერი,luft
71,Wind::N,ქარი,vind
72,Welle::N,ტალღა,bølge
73,Wasser::N,წყალი,vann
74,Stein::N,ქვა,stein
75,Boden::N,მიწა,bakke
76,Erde::N,ნიადაგი,jord
77,Staub::N,მტვერი,støv
78,Rauch::N,ბოლი,røyk
79,Rauch::N,კვამლი,røyk
80,Funke::N,ნაკვესი,gnist
81,Feuer::N,ცეცხლი,ild
82,Licht::N,შუქი,lys
83,Licht::N,სინათლე,lys
84,Schatten::N,ლანდი,skygge
85,Schatten::N,ჩრდილი,skygge
86,Wetter::N,ამინდი,vær
87,Nebel::N,ნისლი,tåke
88,Wolke::N,ღრუბელი,sky
89,Regen::N,წვიმა,regn
90,Schnee::N,თოვლი,snø
91,Eis::N,თოში,is
92,Eis::N,ყინული,is
93,Frost::N,ყინვა,frost
94,Kälte::N,სიცივე,kulde
95,Hitze::N,სიცხე,hete
96,Raureif::N,ჭირხლი,rimfrost
97,Raureif::N,თრთვილი,rimfrost
98,Regenbogen::N,ცისარტყელა,regnbue
99,Donner::N,ქუხილი,torden
100,Strömung::N,დინება,strømning
101,Tropfen::N,წვეთი,dråpe
