,Concept_ID,myv,en
0,Auge::N,сельме,eye
1,Ohr::N,пиле,ear
2,Nase::N,судо,nose
3,Mund::N,курго,mouth
4,Zahn::N,пей,tooth
5,Zunge::N,кель,tongue
6,Lippe::N,турва,lip
7,Wange::N,чамабока,cheek
8,Wange::N,чамаумарь,cheek
9,Gesicht::N,чама,face
10,Stirn::N,коня,forehead
11,Haar::N,черь,hair
12,Schnurrbart::N,ус,moustache
13,Schnurrbart::N,муюк,moustache
14,Bart::N,сакал,beard
15,Kinn::N,уло,chin
16,Kiefer[Anatomie]::N,пейпакар,jaw
17,Kiefer[Anatomie]::N,пейловажа,jaw
18,Kehle::N,кирьгапарь,throat
19,Hals::N,кирьга,neck
20,Genick::N,човонь,nape
21,Kopf::N,пря,head
22,Rücken::N,копорь,back
23,Rücken::N,копорь,spine
24,Bauch::N,пеке,belly
25,Nabel::N,почо,navel
26,Busen::N,поте,bosom
27,Brust::N,меште,chest
28,Brust::N,меште,breast
29,Schulter::N,лавтов,shoulder
30,Arm::N,кедь,arm
31,Ellenbogen::N,кенерепакарь,elbow
32,Hand::N,кедь,hand
33,Handfläche::N,кедькуншка,palm
34,Handfläche::N,кедьлапушка,palm
35,Finger::N,сур,finger
36,Fingernagel::N,кенже,fingernail
37,Nagel[Anatomie]::N,кенже,nail
38,Zeh::N,пильге сур,toe
39,Fuß::N,пильге,foot
40,Ferse::N,кочкаря,heel
41,Knie::N,эле,knee
42,Knie::N,эзне,knee
43,Knie::N,кумажа,knee
44,Oberschenkel::N,качо,thigh
45,Bein::N,пильге,leg
46,Körper::N,рунго,body
47,Haut::N,киське,skin
48,Blut::N,верь,blood
49,Ader::N,сан,vein
50,Sehne::N,коське сан,sinew
51,Knochen::N,пакарь,bone
52,Gehirn::N,удем,brain
53,Herz::N,седей,heart
54,Magen::N,пеке,stomach
55,Leber::N,максо,liver
56,Atem::N,лексема,breath
57,Atem::N,оймень таргсема,breath
58,Hunger::N,вачочи,hunger
59,Träne::N,селведь,tear
60,Geschmack::N,тансть,flavour
61,Geschmack::N,тансть,flavor
62,Geruch::N,чине,odour
63,Geruch::N,чине,odor
64,Schlaf::N,удома,sleep
65,Traum::N,он,dream
66,Himmel::N,менель,sky
67,Sonne::N,чи,sun
68,Mond::N,ков,moon
69,Stern::N,теште,star
70,Luft::N,кошт,air
71,Wind::N,варма,wind
72,Welle::N,толкун,wave
73,Wasser::N,ведь,water
74,Stein::N,кев,stone
75,Boden::N,мода,soil
76,Boden::N,мода,ground
77,Erde::N,мастор,earth
78,Staub::N,пуль,dust
79,Rauch::N,качамо,smoke
80,Funke::N,сятко,spark
81,Feuer::N,тол,fire
82,Licht::N,валдо,light
83,Schatten::N,сулей,shadow
84,Schatten::N,сулейкс,shadow
85,Wetter::N,ушо,weather
86,Nebel::N,сув,fog
87,Wolke::N,пель,cloud
88,Regen::N,пиземс,rain
89,Schnee::N,лов,snow
90,Eis::N,эй,ice
91,Frost::N,кельме,frost
92,Kälte::N,якшамо,chill
93,Hitze::N,пси,heat
94,Raureif::N,лекш,hoarfrost
95,Regenbogen::N,пурьгинечирьке,rainbow
96,Regenbogen::N,пурьгинеёнкс,rainbow
97,Donner::N,пурьгине,thunder
98,Strömung::N,чудема,current
99,Strömung::N,чудевкс,current
100,Tropfen::N,петнявкс,drop
101,Schaum::N,чов,foam
102,Schmutz::N,рудаз,dirt
103,See::N,эрьке,lake
104,Sumpf::N,чей,swamp
105,Moor::N,чей,moor
