,Concept_ID,no,mdf
0,Auge::N,øye,сельме
1,Ohr::N,øre,пиле
2,Nase::N,nese,шалхка
3,Mund::N,munn,курга
4,Zahn::N,tann,пей
5,Zunge::N,tunge,кяль
6,Lippe::N,leppe,търва́
7,Wange::N,kinn,щёка
8,Gesicht::N,fjes,шама
9,Gesicht::N,ansikt,шама
10,Stirn::N,panne,коня
11,Haar::N,hår,шя́ярь
12,Schnurrbart::N,bart,уса́
13,Bart::N,skjegg,сакал
14,Kinn::N,hake,ула
15,Kiefer[Anatomie]::N,kjeve,саласка
16,Kehle::N,strupe,кълдома
17,Kehle::N,strupe,кърга́парь
18,Hals::N,hals,сялдаз
19,Genick::N,nakke,шовонь
20,Kopf::N,hode,пря
21,Rücken::N,rygg,копорь
22,Bauch::N,buk,пеке
23,Bauch::N,mage,пеке
24,Nabel::N,navle,по́кон
25,Busen::N,barm,потя
26,Brust::N,bryst,мяште
27,Schulter::N,skulder,лафту
28,Arm::N,arm,кядь
29,Ellenbogen::N,albue,кенерьба́карь
30,Hand::N,hånd,кядь
31,Handfläche::N,håndflate,кядьлапш
32,Finger::N,finger,сур
33,Fingernagel::N,fingernegl,кенже
34,Nagel[Anatomie]::N,negl,кенже
35,Zeh::N,tå,пильгосу́р
36,Fuß::N,fot,пильге
37,Fuß::N,fot,пильгелапа
38,Ferse::N,hæl,кочкяря
39,Knie::N,kne,эль
40,Knie::N,kne,пълма́нжа
41,Oberschenkel::N,lår,пильгепукша
42,Bein::N,bein,пильге
43,Körper::N,kropp,ро́нга
44,Körper::N,kropp,по́нда
45,Körper::N,legeme,ро́нга
46,Körper::N,legeme,по́нда
47,Haut::N,hud,киське
48,Haut::N,skinn,киське
49,Blut::N,blod,вер
50,Ader::N,åre,сан
51,Ader::N,åre,верза́н
52,Sehne::N,sene,коське сан
53,Knochen::N,bein,пакарь
54,Knochen::N,knokkel,пакарь
55,Gehirn::N,hjerne,уй
56,Herz::N,hjerte,седи
57,Magen::N,mage,коткърдазь
58,Leber::N,lever,макса
59,Atem::N,pust,лекома
60,Atem::N,pust,ваймонь тарксема
61,Hunger::N,sult,вачеши
62,Träne::N,tåre,сельмове́дь
63,Geschmack::N,smak,таньф
64,Geruch::N,lukt,шине
65,Schlaf::N,søvn,удома́
66,Traum::N,drøm,он
67,Himmel::N,himmel,менель
68,Sonne::N,sol,ши
69,Mond::N,måne,ков
70,Stern::N,stjerne,тяште
71,Luft::N,luft,кожф
72,Wind::N,vind,варма
73,Welle::N,bølge,тавла
74,Wasser::N,vann,ведь
75,Stein::N,stein,кев
76,Boden::N,bakke,мода
77,Boden::N,bakke,потмакс
78,Erde::N,jord,мода
79,Erde::N,jord,мастор
80,Staub::N,støv,пуль
81,Rauch::N,røyk,качам
82,Funke::N,gnist,ця́тка
83,Feuer::N,ild,тол
84,Licht::N,lys,ва́лда
85,Schatten::N,skygge,цильф
86,Wetter::N,vær,уша
87,Nebel::N,tåke,тума́н
88,Wolke::N,sky,ковол
89,Regen::N,regn,пизем
90,Schnee::N,snø,лов
91,Eis::N,is,эй
92,Frost::N,frost,ке́льме
93,Kälte::N,kulde,якшама
94,Hitze::N,hete,пси
95,Raureif::N,rimfrost,леш
96,Regenbogen::N,regnbue,а́тямъёнга
97,Donner::N,torden,атям
98,Strömung::N,strømning,шудема́
99,Tropfen::N,dråpe,путькс
100,Tropfen::N,dråpe,пътняфкс
101,Schaum::N,skum,шов
102,Schmutz::N,søl,ърда́з
103,Schmutz::N,skitt,ърда́з
104,See::N,sjø,эрьхке
105,Sumpf::N,sump,шяй
